,yphH
Cr_1,0.002344710316186644
Cr_2,0.005992784139699477
Cr_3,0.00931442046006063
Cr_4,0.014651852209810447
Cr_5,0.019643394492280968
Cr_6,0.022273398693146085
Fe_1,-0.00564607681810549
Fe_2,-0.013654162674349322
Fe_3,-0.02012055978789758
Fe_4,-0.026525892544118305
Fe_5,-0.02804748357935933
Fe_6,-0.02414018255840236
Cd_1,0.0025061271419313715
Cd_2,0.006540815269976497
Cd_3,0.009652075646160534
Cd_4,0.01144271714175744
Cd_5,0.011888346343775105
Cd_6,0.018680512356629733
Zn_1,-0.0014959136326156016
Zn_2,0.003345737930772401
Zn_3,0.018286801697520186
Zn_4,0.039568912911161686
Zn_5,0.0601071104072036
Zn_6,0.0786844083947612
Cu_1,-0.0010544863695185296
Cu_2,0.0002771617528679458
Cu_3,0.0043954680307197935
Cu_4,0.006630117039055789
Cu_5,0.010562720649108166
Cu_6,0.01899984630661409
Pb_1,0.0037452518500921354
Pb_2,0.012860771776491505
Pb_3,0.021163814773598424
Pb_4,0.03268878001432212
Pb_5,0.04748276603961545
Pb_6,0.06256002328985115
