,ydcX
Cr_1,-0.0015808209513280653
Cr_2,0.00017069906582331694
Cr_3,0.005189390539741067
Cr_4,0.00962282209586866
Cr_5,0.014826067042138706
Cr_6,0.02278883895121426
Fe_1,-0.0027276118435367804
Fe_2,0.014840490791679244
Fe_3,0.0598941043439277
Fe_4,0.1234018823417272
Fe_5,0.1898933123636014
Fe_6,0.2440654162244758
Cd_1,0.01651570577197931
Cd_2,0.052111539996886516
Cd_3,0.11481117787661915
Cd_4,0.1971111609078801
Cd_5,0.28878176034943337
Cd_6,0.3970262597829616
Zn_1,-0.006357076287896704
Zn_2,0.0001713565810772223
Zn_3,0.009013641862574764
Zn_4,0.013001243329365631
Zn_5,0.007438021981311766
Zn_6,0.0014369806101140051
Cu_1,-0.0019071889229125003
Cu_2,0.0015162448529405846
Cu_3,0.012370963185847166
Cu_4,0.021088538028418903
Cu_5,0.03206617046381187
Cu_6,0.04270756821060229
Pb_1,0.005419121822655897
Pb_2,0.012668048543276404
Pb_3,0.02199144246858252
Pb_4,0.03479300936906482
Pb_5,0.050067542279352784
Pb_6,0.06861419839064742
