,A,FliA
R2,,0.8015609302330393
xmin,,-3.15766432
xmid,,0.11318524193922978
xmax,,7.53876095
ystart,,0.4269282515896087
yend,,29.56432645553941
ecoli_00001,0.1722238935,-0.441198611
ecoli_00002,-0.1722238935,0.441198611
ecoli_00003,0.3101873166,-0.9934258690000001
ecoli_00004,0.6565415734000001,-0.8406642950000001
ecoli_00005,-0.7843062049,-2.821620562
ecoli_00006,-0.9613471745000001,-2.085812974
ecoli_00007,0.4305401332,-1.286829738
ecoli_00008,-0.027749584400000003,-1.314116172
ecoli_00009,0.0465961935,-0.195879946
ecoli_00010,-0.14717557720000002,-0.187154586
ecoli_00011,-0.40950056,-0.7627856620000001
ecoli_00012,-0.6902144768,-0.42652484
ecoli_00014,-0.7941054523000001,-0.716883189
ecoli_00015,-0.5038711616,-0.6662751250000001
ecoli_00016,-0.8074908233,-0.365508524
ecoli_00017,-0.25417626200000004,-1.109662629
ecoli_00018,-0.267461597,-0.774630012
ecoli_00019,1.8615645836999999,-1.7977564990000001
ecoli_00020,1.6332628957000002,-1.115201668
ecoli_00021,1.4205235734000001,-0.692303
ecoli_00022,0.8953927937,-0.50696695
ecoli_00023,1.3309332102,-1.322156512
ecoli_00024,0.8085458552,-1.077505064
ecoli_00025,2.1054181055,-0.888597716
ecoli_00026,1.6041159943999999,-1.138355615
ecoli_00027,0.9325810950000001,-1.5384015560000002
ecoli_00028,0.9941930405,-0.91928834
ecoli_00029,-0.1851009832,-1.798863291
ecoli_00030,-0.19025096700000002,-2.5776356700000003
ecoli_00031,0.817199663,-1.616161089
ecoli_00032,0.8551947544,-1.5275729500000002
ecoli_00033,2.8095373227,-0.21183327500000002
ecoli_00034,1.9624850819000002,-0.7336206390000001
ecoli_00035,0.7295971440000001,-1.091575798
ecoli_00036,0.5733337254,-1.355723569
ecoli_00037,6.3612201767,0.48322176
ecoli_00038,6.3201522035,-0.27626768100000004
ecoli_00039,19.371265227,5.506442909
ecoli_00040,19.5965383636,5.482318495
ecoli_00041,1.0179263742,-1.3315784590000002
ecoli_00042,0.6949927604,-0.024715101000000003
ecoli_00043,-0.5085995479000001,0.38061378500000004
ecoli_00044,-0.1599124587,0.12802553
ecoli_00045,27.8606991747,6.338852354
ecoli_00046,27.9322557363,6.29847379
ecoli_00047,12.4038684417,3.701069099
ecoli_00048,12.3388188911,3.7798291390000003
ecoli_00049,0.166201489,-1.019087859
ecoli_00050,0.6958386009,-0.6270399790000001
ecoli_00051,0.6508384489,-0.726443417
ecoli_00052,-0.22758183510000002,0.036753423
ecoli_00053,0.1363772343,-0.037635784000000005
ecoli_00054,4.0737908174,-0.039918523000000004
ecoli_00055,2.6157660367,-0.7932843780000001
ecoli_00056,1.5253348361999999,2.633596715
ecoli_00057,1.209694405,2.695164058
ecoli_00058,12.9552275229,4.9488013220000004
ecoli_00059,12.7174521303,4.818248385
ecoli_00060,-0.0077044751,1.159702549
ecoli_00061,0.4429474399,1.03047844
ecoli_00062,-0.3415959226,2.050716285
ecoli_00063,0.3644515145,0.80096221
ecoli_00064,0.4275246388,-1.489382901
ecoli_00065,0.3246604719,-1.586745553
ecoli_00066,10.1314597187,2.379338996
ecoli_00067,10.5990135549,2.364150518
ecoli_00068,5.2850986604,0.752202185
ecoli_00070,23.9071860792,4.68835246
ecoli_00071,24.4210802001,4.87069769
ecoli_00072,24.5621338484,5.124117615
ecoli_00073,26.4653273908,5.872928722
ecoli_00074,26.8872659722,6.090076528
ecoli_00075,24.7893239711,4.950085377
ecoli_00077,4.5990336055,1.152351727
ecoli_00078,8.1341329402,1.71565951
ecoli_00079,32.1460259174,7.06250892
ecoli_00080,7.0231813007,1.223803409
ecoli_00081,18.0311499871,4.546580162
ecoli_00082,2.2164543363,1.271620864
ecoli_00083,2.02498719,1.390330536
ecoli_00084,9.1416213115,2.401768644
ecoli_00085,9.0608606643,2.559838626
ecoli_00086,0.3039995666,-0.575694663
ecoli_00087,0.29481630410000004,-0.13178572600000002
ecoli_00088,-0.0753622046,-0.8985303320000001
ecoli_00089,-0.0892181225,-1.018014937
ecoli_00090,-0.4129346977,-0.045303087000000006
ecoli_00091,-0.2621950441,0.124065826
ecoli_00092,0.27674749060000003,-0.49233563700000005
ecoli_00093,-0.5741512152,-1.229185741
ecoli_00094,-0.16229982140000002,-1.07860136
ecoli_00095,-0.2453251338,-1.01843232
ecoli_00096,0.6078646888,-0.8037244020000001
ecoli_00097,1.1769486003,-0.7359663310000001
ecoli_00098,0.0426910962,-1.9109005940000001
ecoli_00099,-0.429935624,-2.7390527000000002
ecoli_00100,-1.7449632823,-2.480270735
ecoli_00101,-1.4478886135,-1.630622207
ecoli_00102,-1.7922657561,-1.712337701
ecoli_00103,-0.8873351386,-2.202199642
ecoli_00104,-0.07459115670000001,-1.239203649
ecoli_00105,15.9222984432,3.969220717
ecoli_00106,22.9788742219,5.135762768
ecoli_00107,22.5222070831,5.078594482
ecoli_00108,0.5212254276,-2.23489396
ecoli_00109,0.09171981850000001,-2.394157653
ecoli_00110,0.2782083484,-1.379098601
ecoli_00111,-0.0089001179,-1.538929349
ecoli_00112,-0.2918332486,-1.258225485
ecoli_00113,23.9181725741,5.831020689
ecoli_00114,23.0482250436,5.647752668
ecoli_00115,23.1009459623,5.868198063
ecoli_00116,0.2387665789,-1.7634558450000002
ecoli_00117,0.23886286240000001,-1.16887326
ecoli_00118,0.0500392205,-2.37525163
ecoli_00119,0.5298776907,-1.352997472
ecoli_00120,-0.37331070780000003,-1.812119526
ecoli_00121,0.3545788233,-2.11080213
ecoli_00122,0.10135254040000001,-1.871674326
ecoli_00123,-0.1366447641,-1.350732749
ecoli_00124,-0.26356382230000003,-1.800334764
ecoli_00125,14.0485755345,4.14662875
ecoli_00126,25.5920962096,5.548085236
ecoli_00127,5.4210427807,6.424271734
ecoli_00128,9.4052838314,3.384359508
