,ssuE
Cr_1,-0.000466071535074605
Cr_2,0.003449191597235018
Cr_3,0.01096634949491004
Cr_4,0.017192543674669027
Cr_5,0.02170322658170066
Cr_6,0.023039864817559597
Fe_1,-0.015648198070715418
Fe_2,-0.035185093495532525
Fe_3,-0.052894638309723
Fe_4,-0.07145449247343769
Fe_5,-0.08197904673062092
Fe_6,-0.09517038441630088
Cd_1,0.0001375839129909573
Cd_2,0.00255504928792505
Cd_3,0.010414545506940648
Cd_4,0.014898595059631745
Cd_5,0.013323638209977885
Cd_6,0.016413150556700427
Zn_1,-0.011194735815603866
Zn_2,-0.010103668337917971
Zn_3,0.0029560808320386045
Zn_4,0.016052727577010418
Zn_5,0.032574587465406445
Zn_6,0.04083320379025823
Cu_1,0.008623224359251645
Cu_2,0.010026068995191671
Cu_3,0.018754626516231398
Cu_4,0.01865178567943921
Cu_5,0.02297997465449536
Cu_6,0.02844334564027934
Pb_1,0.007916300975943416
Pb_2,0.014953531920925188
Pb_3,0.023232428999612545
Pb_4,0.031103705900135274
Pb_5,0.03608552133569915
Pb_6,0.03921502337611134
