,A,PhoP
R2,,0.1097709255232624
xmin,,-2.951450304
xmid,,0.58039616713129
xmax,,2.0566111100000013
ystart,,0.7333882748278349
yend,,8.726535064932449
control__wt_glc__1,-0.0751988299099107,0.002265124999999202
control__wt_glc__2,0.0751988299099011,-0.002265124999999202
fur__wt_dpd__1,-5.88291020327945,-0.2690500339999993
fur__wt_dpd__2,-6.801171299185336,-0.34529701799999923
fur__wt_fe__1,0.6647144475410814,0.037620397000002186
fur__wt_fe__2,0.5420921799950524,0.06327618100000088
fur__delfur_dpd__1,-4.711354683423357,-0.08593071500000082
fur__delfur_dpd__2,-5.230512169432614,-0.2057813589999995
fur__delfur_fe2__1,-0.4702022281238196,0.2279946690000001
fur__delfur_fe2__2,-0.3636407018383657,0.2450786330000012
acid__wt_ph5__1,-0.3970941013166197,-0.03286591599999955
acid__wt_ph5__2,-0.3018019277225394,0.002809724000000457
acid__delgadx_ph5__2,0.6005050988135983,0.033163416000000716
acid__delgadw_ph5__1,-0.2084716265965942,0.12689948200000067
acid__delgadw_ph5__2,-0.3464715090331819,0.14356656500000042
acid__delgade_ph5__1,0.1205226768822854,0.2361918049999998
acid__delgade_ph5__2,-0.3053519255943417,0.16928376700000047
oxidative__wt_pq__1,-0.9761886846741008,0.5892676450000005
oxidative__wt_pq__2,-1.0900986507275023,0.5953293570000016
oxidative__deloxyr_pq__1,-1.708198222771206,0.6273248460000014
oxidative__deloxyr_pq__2,-2.27100567907451,0.5806267480000011
oxidative__delsoxr_pq__1,-1.8336879252181608,0.5022779420000001
oxidative__delsoxr_pq__2,-1.6591964813105913,0.5145534670000016
oxidative__delsoxs_pq__1,-2.307293523780674,0.6008520030000009
oxidative__delsoxs_pq__2,-3.057100946969092,0.6610660850000007
nac_ntrc__wt_csn__1,7.385767963856704,1.1442462880000006
nac_ntrc__wt_csn__2,7.202017018836022,1.154755079
nac_ntrc__wt_cytd__1,12.823402762918242,1.9944625170000012
nac_ntrc__wt_cytd__2,12.8760287065722,2.0566111100000013
nac_ntrc__wt_gln__1,11.262387775324134,1.980148744
nac_ntrc__wt_gln__2,11.368778558449955,1.9776625
nac_ntrc__bw_delnac_csn__1,-0.8529988086289034,0.3936575180000004
nac_ntrc__bw_delnac_csn__2,-1.5541133207344948,0.2722973340000001
nac_ntrc__bw_delnac_cytd__1,5.131509748532983,1.13095531
nac_ntrc__bw_delnac_cytd__2,5.196927543681925,1.1026312360000017
nac_ntrc__bw_delnac_gln__1,4.71297695719921,1.284813949000001
nac_ntrc__bw_delnac_gln__2,5.191713906741727,1.2696616600000017
nac_ntrc__bw_delnac_nh4__1,-0.7451125935340266,0.00036883200000215055
nac_ntrc__bw_delnac_nh4__2,-1.7800316836604608,-0.08925007299999788
misc__wt_no_te__1,-1.6754954571272205,0.2338737170000007
misc__wt_no_te__2,-0.8170322010702677,0.08725743000000019
misc__bw_delcbl__1,-1.080576637171743,-0.45628072299999894
misc__bw_delcbl__2,-1.3448347120003905,-0.36159343299999946
misc__bw_delfabr__1,-0.9043205001596192,-0.5409969900000009
misc__bw_delfabr__2,-1.1201751269187294,-0.5560542269999997
misc__bw_delfadr__1,-1.790672916636141,-0.3818249819999986
misc__bw_delfadr__2,-1.249842857800633,-0.29517014600000024
misc__nitr_031__1,-2.2490545265160704,0.057152163000001366
omics__wt_glu__1,0.625497082776344,1.176615804
omics__wt_glu__2,-0.1166123438457951,1.2132023710000004
omics__wt_gly__1,0.3155417778346739,0.8975636180000004
omics__wt_gly__2,0.3629537609882378,0.8458161120000005
omics__wt_thr__1,-0.8285917885938158,1.0337496610000008
omics__wt_thr__2,-0.618675279501394,0.983833624
omics__bw_ac__1,-0.0793980570227061,0.4177656900000004
omics__bw_ac__2,0.1261011513838742,0.4111290030000019
omics__bw_fum__1,1.3482869799505866,0.07551865100000033
omics__bw_fum__2,1.498729550289453,-0.021594447999999208
