,kbl
Cr_1,0.0006465866825278349
Cr_2,0.0017691856566982513
Cr_3,0.004778491580411086
Cr_4,0.009697105877836345
Cr_5,0.013529260063509328
Cr_6,0.015659914713419147
Fe_1,0.004610600792057237
Fe_2,-0.0024107495795594298
Fe_3,-0.014119457260619347
Fe_4,-0.029127775434148243
Fe_5,-0.0353260330375918
Fe_6,-0.03671564247011239
Cd_1,-0.002643461787761781
Cd_2,-0.0033171945157208296
Cd_3,-0.005471340334598083
Cd_4,-0.008360388135212268
Cd_5,-0.01523849496338123
Cd_6,-0.0159374931792053
Zn_1,-0.00366437168421209
Zn_2,-0.014864178222681447
Zn_3,-0.026139459757916816
Zn_4,-0.03045726770637245
Zn_5,-0.030425266147928943
Zn_6,-0.025715098537770847
Cu_1,0.004290545650698862
Cu_2,0.007565954233888171
Cu_3,0.009267527866112431
Cu_4,0.007883746999512473
Cu_5,0.005586627011532079
Cu_6,0.0034516445506262683
Pb_1,0.009461020081817869
Pb_2,0.01902057602191866
Pb_3,0.03154977597371659
Pb_4,0.04496152535950347
Pb_5,0.060132478040709675
Pb_6,0.07097513373568523
