,erfK
Cr_1,-0.0003810996473822842
Cr_2,0.0014093174223774538
Cr_3,0.002568712868029104
Cr_4,0.007060900432980109
Cr_5,0.012240432948371882
Cr_6,0.008524750081529931
Fe_1,-0.0071513534395186065
Fe_2,-0.027465047418601857
Fe_3,-0.05261136995519457
Fe_4,-0.08344964852957061
Fe_5,-0.1065942520374012
Fe_6,-0.12696012159948067
Cd_1,-0.002307662832336835
Cd_2,-0.005395989006838627
Cd_3,-0.008118428429595566
Cd_4,-0.012004352357950566
Cd_5,-0.022022857294620776
Cd_6,-0.02212286690558427
Zn_1,-0.003959059855828677
Zn_2,-0.005664739132869395
Zn_3,0.0024406567902601393
Zn_4,0.01828828634836113
Zn_5,0.02223579122004989
Zn_6,0.02417059015498252
Cu_1,0.005360557889527833
Cu_2,0.008961872130874864
Cu_3,0.01453879442739759
Cu_4,0.015414138864278204
Cu_5,0.02205083856509957
Cu_6,0.02776414131559341
Pb_1,0.005293156384918657
Pb_2,0.01365489315711057
Pb_3,0.022831824440974296
Pb_4,0.03312805390271311
Pb_5,0.0449857471566127
Pb_6,0.05834330934404189
