,A,FnrA
R2,,0.28172842753044647
xmin,,-1.7189172867500009
xmid,,-0.923549801639979
xmax,,1.309135876500001
ystart,,-14.46049443422247
yend,,9.72774924706014
ALE:GalactoseA5:1.0,-11.00186978433798,0.1900998677499998
ALE:GalactoseA5:2.0,-11.990669065460311,0.172741811749999
ALE:GalactoseA6:1.0,-8.385357795988973,-0.0961209602500012
ALE:GalactoseA6:2.0,-6.130426085625686,0.0214513747499989
ALE:GalactoseA8:1.0,-1.7237036289876946,0.1204779757499991
ALE:GalactoseA8:2.0,-3.557990548289776,-0.0309438162500015
ALE:IL_Control:1.0,0.6784318960057932,0.012408871749999
ALE:IL_Control:2.0,0.2855908476436845,0.1735510367499984
ALE:IL_Control:3.0,-0.5240013514109365,-0.0964333012500002
ALE:IL_Control:4.0,-0.4400213910092166,-0.0895266072500007
ALE:IL_TEOH_OAc:1.0,-1.1499619724968475,0.4355594707499985
ALE:IL_TEOH_OAc:2.0,-1.0449106430766804,0.1459830587499997
ALE:IL_TEA_HS:1.0,-1.3499119842932124,0.1486392887499992
ALE:IL_TEA_HS:2.0,-0.3395848542947716,0.3029263517499991
ALE:IL_Mixed:1.0,-1.622945812028591,0.1974488757499983
ALE:IL_Mixed:2.0,-1.2756208251614127,0.3679687607499993
ALE:IL_PP5350:1.0,-0.3968127616064011,-0.1720133432500006
ALE:IL_PP5350:2.0,-0.8656052128326421,-0.1989211282500012
ALE:IL_T8:1.0,-0.5965467101990497,-0.0591890362500002
ALE:IL_T8:2.0,-0.8228297639093729,-0.1936296752500013
ALE:IL_T9:1.0,-1.8429644719177125,0.0626850587499987
ALE:IL_T9:2.0,-2.4962969075124555,-0.0186688452500014
ALE:IL_Control2:1.0,-15.668165283808342,-0.7968662902500014
ALE:IL_Control2:2.0,-12.536606023847709,-0.677556398250001
ALE:IL_Glc+Ace:1.0,-1.5216146412388496,-0.1134267382500002
ALE:IL_Glc+Ace:2.0,-0.7640209774615321,-0.0721593732500007
ALE:XyloseA1:1.0,-11.20274215172339,-0.2570258432500001
ALE:XyloseA1:2.0,-10.857583014340898,-0.0102565732500004
ALE:XyloseA2:1.0,-19.92445443001945,-0.2748170002500014
ALE:XyloseA2:2.0,-18.201721849236392,-0.0040289792500001
ALE:XyloseA3:1.0,-21.03331802743652,-0.3928132852500017
ALE:XyloseA3:2.0,-20.82702622793845,-0.2246422832500005
ALE:XyloseA4:1.0,-17.193628941000142,-0.3780517012500013
ALE:XyloseA4:2.0,-17.65040095355554,-0.4904121892500015
Aromatic:Coumarate:1.0,-2.6725601509254666,-0.0204459826666676
Aromatic:Coumarate:2.0,-0.7855525216472351,-0.2053731276666672
Aromatic:Coumarate:3.0,-0.0917701197593437,-0.0564614126666676
Aromatic:Coumarate+ferulate:1.0,-0.1561781046820966,0.2405005263333324
Aromatic:Coumarate+ferulate:2.0,0.3708467184393268,0.0961561883333326
Aromatic:Coumarate+ferulate:3.0,-0.1761952928286178,0.2941020393333327
Aromatic:Ferulate:1.0,-2.930832716974557,0.2916351393333327
Aromatic:Ferulate:2.0,-3.1205534043592653,0.2384932633333329
Aromatic:Ferulate:3.0,-2.743822614557544,0.4278506053333331
Aromatic:Glucose:1.0,0.0338472700671624,-0.1195279616666669
Aromatic:Glucose:2.0,-0.202137080776533,0.0436539733333329
Aromatic:Glucose:3.0,0.1682898106882699,0.075873988333333
Bioreactor1:24h:1.0,1.127078667026106,0.1091494785000009
Bioreactor1:24h:2.0,-1.1270786668882715,-0.1091494784999991
Bioreactor2:S_0min:1.0,-2.0056938940891054,-0.0582048696666674
Bioreactor2:S_15min:1.0,-1.3330567597876146,0.2881259163333327
Bioreactor2:P1_15min:1.0,-1.1197314511121443,0.3411411303333329
Bioreactor2:P3_15min:1.0,0.1400732171569306,0.3960742973333326
Bioreactor2:P5_15min:1.0,1.956404271454092,0.193078030333333
Bioreactor2:S_1h:1.0,-0.3998003638898744,0.384364987333333
Bioreactor2:S_3h:1.0,-0.7295247022550866,0.4025654593333332
Bioreactor2:S_9h:1.0,-0.080798516969308,0.4622816253333335
Bioreactor2:S_25h:1.0,-0.0020741276979672,0.554493169333333
Bioreactor2:P1_25h:1.0,1.087854944155554,0.2590612803333325
Bioreactor2:P3_25h:1.0,3.0617840770424625,0.6641191823333328
Bioreactor2:P5_25h:1.0,3.7313383857769526,0.4238496053333334
Bioreactor2:S_0min:2.0,1.917982408083352,0.2032341413333327
Bioreactor2:S_15min:2.0,-0.0642134335391996,0.1704702613333326
Bioreactor2:P1_15min:2.0,0.0718720411098575,0.0664827273333328
Bioreactor2:P3_15min:2.0,1.7047674655610576,0.4449948753333332
Bioreactor2:P5_15min:2.0,2.366961603595418,0.2598679563333332
Bioreactor2:S_1h:2.0,1.2035309940687824,0.1111810033333329
Bioreactor2:S_3h:2.0,1.243294620659809,0.2157422993333329
Bioreactor2:S_9h:2.0,1.9183782594702987,0.3981698193333329
Bioreactor2:S_25h:2.0,2.043695130746498,0.3585548213333327
Bioreactor2:P1_25h:2.0,2.9935395120175343,0.3612833003333326
Bioreactor2:P3_25h:2.0,4.011167517011604,0.4288251823333331
Bioreactor2:P5_25h:2.0,4.86787778173829,0.1872371243333326
Bioreactor2:S_0min:3.0,0.0877114859265316,-0.145029271666667
Bioreactor2:S_15min:3.0,-0.9159207204011116,0.271044255333333
Bioreactor2:P1_15min:3.0,-0.3067726402010614,-0.2112888656666669
Bioreactor2:P3_15min:3.0,1.0935857310286747,0.2625730163333326
Bioreactor2:P5_15min:3.0,1.7892715511904478,0.4072804163333332
Bioreactor2:S_1h:3.0,0.7200951669573619,0.3745091633333324
Bioreactor2:S_3h:3.0,0.9755918729023164,0.4519251153333323
Bioreactor2:S_9h:3.0,1.339121686213277,0.4766313313333326
Bioreactor2:S_25h:3.0,1.3511627125487542,0.1418470723333325
Bioreactor2:P1_25h:3.0,2.566329463004361,0.5973434203333321
Bioreactor2:P3_25h:3.0,3.877642295006104,0.3635064793333331
Bioreactor2:P5_25h:3.0,4.424076952817906,0.042122232333333
Carbon:Citrate:1.0,-2.84126025436012,0.6340519990000004
Carbon:Citrate:2.0,-2.9815657640615707,0.762948046
Carbon:Citrate:3.0,-1.791136145562147,0.3253299300000005
Carbon:Ferulate:1.0,2.15027074111899,0.582213941
Carbon:Ferulate:2.0,0.3160955234866969,0.5236921130000001
Carbon:Ferulate:3.0,3.5249777192849057,0.4208893019999999
Carbon:Glucose:1.0,0.0950771886730301,-0.3840490049999996
Carbon:Glucose:2.0,-0.0950771887571724,0.3840490050000005
Carbon:Serine:1.0,-0.159941588270546,0.8129381980000003
Carbon:Serine:2.0,-0.3910602062028327,1.0145128630000002
Carbon:Serine:3.0,-0.4823352469903066,0.5285930260000002
Carbon2:Glucose:1.0,-0.1921522064160239,0.0684522303333334
Carbon2:Glucose:2.0,0.0321480852574326,-0.0601687076666674
Carbon2:Glucose:3.0,0.1600041213681519,-0.0082835226666659
Carbon2:Coumarate:1.0,-1.2524873453511385,0.0245783473333336
Carbon2:Coumarate:2.0,-0.2705308087818132,0.0877491043333336
Carbon2:Coumarate:3.0,-0.303893398897663,0.1250483413333327
Crc:Control:1.0,0.5016190740143598,-0.1237554984999995
Crc:Control:2.0,-0.5016190731732451,0.1237554985000004
Crc:Del_crc:1.0,-0.8219394866263522,0.3383437505
Crc:Del_crc:2.0,-1.05894601891412,0.2418248204999997
Crc:Del_crcZ_crcY:1.0,-0.1467030028183003,0.5915054474999994
Crc:Del_crcZ_crcY:2.0,-0.9932602908779952,0.4473257804999999
FinR:Control:1.0,-0.0284705419147769,0.1232083740000007
FinR:Control:2.0,0.079620580172913,-0.0710995939999996
FinR:Control:3.0,-0.0511500375044162,-0.0521087799999993
FinR:Del_finR:1.0,0.2812556651091399,-0.2452070309999996
FinR:Del_finR:2.0,0.578972241972795,-0.29436383
FinR:Del_finR:3.0,0.199620043385279,-0.2036400300000007
FleQ:Del_fleQ:1.0,-0.9472978601030828,0.1262491900000011
FleQ:Del_fleQ:2.0,-0.5491012132298461,0.3049467490000008
FleQ:Del_fleQ:3.0,-0.8313271235287825,0.2749339980000016
FleQ:OE_wspR:1.0,-0.7230555527831705,-0.3226111799999991
FleQ:OE_wspR:2.0,-1.2000704353505696,-0.3244620509999976
FleQ:Control:1.0,-0.0570036633374001,-0.052107659999999
FleQ:OE_wspR:3.0,-0.2539044139194947,-0.2993021949999974
FleQ:Control:2.0,-0.0271517914404119,0.1232079680000008
FleQ:Control:3.0,0.0841554542547197,-0.0711003079999983
Fuel:Butanol:1.0,7.139173035118649,0.5700501975000005
Fuel:Butanol:2.0,7.602991337831042,0.6061667924999998
Fuel:Control:1.0,-0.2604305233320392,0.0173462484999999
Fuel:Control:2.0,0.2604305236510026,-0.0173462484999999
Fuel:Isopentanol:1.0,-6.488664887099592,0.3448767245000006
Fuel:Isopentanol:2.0,-6.7104124401715,0.6799821334999994
Glycolaldehyde:Glycolaldehyde:1.0,8.550427508640645,0.4005954479999998
Glycolaldehyde:Control:1.0,0.4880680021688848,-0.0539010989999999
Glycolaldehyde:Glycolaldehyde:2.0,10.138525778386406,0.0952100609999995
Glycolaldehyde:Control:2.0,-0.4880680014825728,0.0539010989999999
HNS_protein:Control_ex:1.0,-0.976835815644303,-0.0985245025000001
HNS_protein:Del_turB_ex:1.0,-2.290051452623145,-0.3120619864999998
HNS_protein:Del_turB_ex:2.0,1.07007137203595,0.2142007084999999
HNS_protein:WT_pCAR1_ex:1.0,-7.3938197372745265,-0.4348356644999995
HNS_protein:WT_pCAR1_Del_turA_ex:1.0,-7.247409601127191,-0.1459147944999994
HNS_protein:WT_pCAR1_Del_turA_st:1.0,-9.979710954273664,-0.0559017124999989
HNS_protein:WT_pCAR1_Del_turA_ex:2.0,-7.816485008587889,-0.1420318074999986
HNS_protein:WT_pCAR1_Del_turA_st:2.0,-9.312005721317366,-0.1373362384999996
HNS_protein:WT_pCAR1_ex:2.0,-5.620493162666255,-0.431121963499999
HNS_protein:WT_pCAR1_Del_turB_ex:1.0,-3.590432414271853,-0.0407665754999992
HNS_protein:WT_pCAR1_Del_turB_st:1.0,-4.523325751898932,0.001065027500001
HNS_protein:WT_pCAR1_Del_turB_ex:2.0,-5.952893756410385,-0.0364680494999998
HNS_protein:WT_pCAR1_Del_pmr_ex:1.0,-4.745191069344013,0.0022641365000009
HNS_protein:WT_pCAR1_Del_pmr_ex:2.0,-6.948084022245316,-0.244027171499999
HNS_protein:WT_pCAR1_Del_turB_st:2.0,-12.608987700781576,-0.0722364974999987
HNS_protein:Control_ex:2.0,0.9768358155130518,0.0985245025000001
