,-0.08413331620023408,-0.06309998715017556,-0.042066658100117046,-0.02103332905005853,-1.3877787807814457e-17,0.021033329050058502,0.04206665810011702,0.06309998715017555,0.08413331620023405,0.10516664525029255,0.12619997430035107,0.14723330335040963,0.16826663240046813,0.18929996145052663,0.2103332905005852,0.2313666195506437,0.2523999486007022,0.2734332776507607,0.2944666067008192,0.31549993575087776
thresh,-0.09464998072526334,0.09464998072526334,2,,,,,,,,,,,,,,,,,
unreg,0,0,32,591,4439,442,27,4,3,1,3,4,4,2,0,0,0,1,0,0
FnrA,0,0,0,1,6,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],['PP_4103'],['yegQ' 'PP_5389' 'PP_2310'],['PP_5390' 'yhiI' 'fnrC' 'PP_5391'],['PP_2648' 'hemN' 'PP_0273' 'PP_5392'],['oprG' 'PP_5598'],[],[],[],['PP_1149'],[],[]
FnrA_genes,[],[],[],['cioA'],['cioB' 'cyoB' 'cyoA' 'cyoC' 'cyoE' 'cyoD'],[],[],['ccoP-I'],[],[],['ccoN-I' 'ccoO-I' 'ccoQ-I'],[],[],[],[],[],[],[],[],[]
