,-0.08211160360660356,-0.05474106907106904,-0.02737053453553452,0.0,0.02737053453553452,0.05474106907106903,0.08211160360660356,0.1094821381421381,0.1368526726776726,0.1642232072132071,0.1915937417487416,0.21896427628427617,0.24633481081981068,0.2737053453553452,0.30107587989087975,0.32844641442641426,0.35581694896194876,0.38318748349748327,0.4105580180330178,0.4379285525685523
thresh,-0.09579687087437083,0.09579687087437083,1,,,,,,,,,,,,,,,,,
unreg,0,20,337,3613,330,20,0,0,1,0,0,1,0,0,0,0,3,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],['azoRB'],[],[],['yvaC'],[],[],[],[],['yvaF' 'yvaD' 'yvaE'],[],[],[]
