,-0.18433472603544582,-0.15975676256405305,-0.13517879909266028,-0.11060083562126752,-0.08602287214987475,-0.061444908678481985,-0.03686694520708922,-0.012288981735696453,0.012288981735696314,0.03686694520708908,0.06144490867848185,0.08602287214987464,0.11060083562126738,0.13517879909266012,0.1597567625640529,0.1843347260354457,0.20891268950683844,0.23349065297823118,0.258068616449624,0.28264657992101677
thresh,-0.049155926942785554,0.049155926942785554,1,,,,,,,,,,,,,,,,,
unreg,1,0,2,1,4,16,76,2743,2603,101,13,5,4,1,1,1,0,0,0,0
unreg_genes,['PA4346'],[],['PA0526' 'PA2935'],['PA3990'],['PA0553' 'PA0986' 'PA4077' 'PA2763'],"['ccoQ2' 'PA1394' 'PA2703' 'purN' 'PA0200' 'PA3231' 'PA3031' 'PA0627'
 'cspD' 'PA3865a' 'PA1230' 'PA4817' 'PA0941' 'PA2358' 'dnaG' 'xylY']",[],[],[],[],"['PA0326' 'PA0493' 'PA3510' 'xylS' 'PA2763a' 'PA2460' 'rpmG' 'PA3601'
 'kdpF' 'PA1541' 'PA3410' 'PA4377' 'PA1332']",['PA1414' 'PA1571' 'PA4724.1' 'PA0712' 'PA0160'],['PA3411' 'hpcD' 'PA3661' 'PA2183'],['PA0442'],['PA1882'],['pqqA'],[],[],[],[]
