,yhjY
Cr_1,0.0017791191402634513
Cr_2,0.002851774656268644
Cr_3,0.012086965328117495
Cr_4,0.01553298242337696
Cr_5,0.022226731097839836
Cr_6,0.031041080998961263
Fe_1,-0.02831921502132049
Fe_2,-0.09682688087022874
Fe_3,-0.17026203294197345
Fe_4,-0.2370226727333588
Fe_5,-0.29786908745947466
Fe_6,-0.3451332691446484
Cd_1,0.011924370681701373
Cd_2,0.024682651271741827
Cd_3,0.03957345672818415
Cd_4,0.054176867495000766
Cd_5,0.06201748831040362
Cd_6,0.07276831949642405
Zn_1,0.1921776724643693
Zn_2,0.3106984856412194
Zn_3,0.3624620320673688
Zn_4,0.38445239257447017
Zn_5,0.3695107683666227
Zn_6,0.4540722540891593
Cu_1,0.0016386899844035429
Cu_2,0.008169394879475378
Cu_3,0.016849906317135892
Cu_4,0.022123663663755896
Cu_5,0.02446356520934796
Cu_6,0.038483715370742536
Pb_1,0.00586678076926801
Pb_2,0.017264791514379013
Pb_3,0.030009809280117407
Pb_4,0.04863084733096388
Pb_5,0.06300666937171923
Pb_6,0.08299886741762814
