,proB
Cr_1,-0.000981262570695019
Cr_2,-0.0035063166940904693
Cr_3,-0.004865890101305807
Cr_4,-0.004152997824171079
Cr_5,-0.003906726377778064
Cr_6,-0.006698545148737289
Fe_1,-0.011907831796521213
Fe_2,-0.033628028114042904
Fe_3,-0.05022166535796632
Fe_4,-0.06559958113187021
Fe_5,-0.0698367639174463
Fe_6,-0.06733091081062759
Cd_1,0.002976631723116645
Cd_2,0.005851362182371358
Cd_3,0.008100067542189095
Cd_4,0.009139271931530885
Cd_5,0.005767457549001793
Cd_6,0.009295190154233137
Zn_1,0.002749248368046355
Zn_2,0.005309948927129551
Zn_3,0.013102802822647648
Zn_4,0.023133421486205136
Zn_5,0.034679896693061166
Zn_6,0.04588902171584399
Cu_1,0.006651366268608743
Cu_2,0.017059768467888002
Cu_3,0.0291001383027011
Cu_4,0.03990072579367242
Cu_5,0.04826632503394082
Cu_6,0.05518462173579094
Pb_1,0.002497884739227657
Pb_2,0.007102866830145224
Pb_3,0.021262338801339112
Pb_4,0.03384200789173563
Pb_5,0.044948396709409824
Pb_6,0.0507538860539288
