,0
gene_id,BSU07250
name,yetO
operon,yetO
product,NADPH-cytochrome P450 reductase
cog,Energy production and conversion
regulator(s),
link,"<a href=""http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU07250"">SubtiWiki</a>"
