,yqfA
Cr_1,-0.002221588572941425
Cr_2,0.0005644780605404532
Cr_3,0.012556430978036787
Cr_4,0.01772792323768975
Cr_5,0.023930713702509213
Cr_6,0.03006288557946362
Fe_1,0.0075834312975333424
Fe_2,-0.006254906104225189
Fe_3,-0.03927842630533824
Fe_4,-0.1035586177201878
Fe_5,-0.1778395418689634
Fe_6,-0.2541745113681334
Cd_1,0.003406957286535102
Cd_2,0.006269350804485509
Cd_3,0.017876103968021462
Cd_4,0.027089761761837458
Cd_5,0.025777809184271173
Cd_6,0.03537380490570774
Zn_1,0.01014320925887028
Zn_2,0.04275281636935909
Zn_3,0.09077916082350966
Zn_4,0.14456511963085106
Zn_5,0.17155398168995348
Zn_6,0.17877683890661558
Cu_1,-0.004840209454229726
Cu_2,-0.011842516130004534
Cu_3,-0.0177903085812247
Cu_4,-0.019876458988154117
Cu_5,-0.016512861087830857
Cu_6,-0.006566742875521679
Pb_1,-0.01986625076023017
Pb_2,-0.030407475814503124
Pb_3,-0.035363337570534066
Pb_4,-0.03832297314925672
Pb_5,-0.04553040592475141
Pb_6,-0.05350769439320125
