,A,YcjW
R2,,0.12556813235785202
xmin,,-3.1554375145
xmid,,-1.8298009528204906
xmax,,1.2725951005
ystart,,2.1062473630005925
yend,,-0.37420211183960594
control__wt_glc__1,-0.2305638824,0.1546355525
control__wt_glc__2,0.2305638824,-0.1546355525
fur__wt_dpd__1,1.8384767297,-1.2455815575
fur__wt_dpd__2,1.7251280223,-1.3836187505
fur__wt_fe__1,0.0894438803,-0.42401310550000004
fur__wt_fe__2,-0.5844116687,0.0277610085
fur__delfur_dpd__1,0.7405395896,-0.9894853375
fur__delfur_dpd__2,0.8284969277,-0.9699671955
fur__delfur_fe2__1,0.4734290297,0.0895045435
fur__delfur_fe2__2,0.8760127733,0.1638422765
acid__wt_ph5__1,-0.056207654,-0.2902410965
acid__wt_ph5__2,-0.043330486700000004,-0.3172681965
acid__delgadx_ph5__2,0.16810028940000002,-0.28191148250000003
acid__delgadw_ph5__1,-0.1862546934,-0.3282615075
acid__delgadw_ph5__2,-0.14683268970000002,-0.1420680315
acid__delgade_ph5__1,-0.5272398529,-0.2557842825
acid__delgade_ph5__2,-0.1424458265,-0.4477064375
oxidative__wt_pq__1,0.7731683748,-1.2012989105
oxidative__wt_pq__2,0.8224065540000001,-0.8919328525
oxidative__deloxyr_pq__1,0.8477087168,-0.7814339945000001
oxidative__deloxyr_pq__2,0.6711538991,-0.8458537055
oxidative__delsoxr_pq__1,0.9510050679000001,-0.8643047515000001
oxidative__delsoxr_pq__2,1.0937436505,-1.0410967755
oxidative__delsoxs_pq__1,0.9565868687,-1.3419328695
oxidative__delsoxs_pq__2,1.221607862,-1.4512172405000001
nac_ntrc__wt_csn__1,1.7359600936000001,-0.3236630495
nac_ntrc__wt_csn__2,1.5710389761,-0.1959055295
nac_ntrc__wt_cytd__1,0.22064170700000002,-0.4308050345
nac_ntrc__wt_cytd__2,0.0393493434,-0.30883484650000004
nac_ntrc__wt_gln__1,0.4790243843,-0.30667443450000004
nac_ntrc__wt_gln__2,0.7294807926,-0.16366046450000002
nac_ntrc__bw_delnac_csn__1,3.0853137277,-0.0582456185
nac_ntrc__bw_delnac_csn__2,1.9151390782000002,-0.5459535355
nac_ntrc__bw_delnac_cytd__1,0.3674148358,0.1169861635
nac_ntrc__bw_delnac_cytd__2,1.2414285619,0.0197691355
nac_ntrc__bw_delnac_gln__1,0.8932884868000001,0.2653861715
nac_ntrc__bw_delnac_gln__2,0.8897531482000001,0.2870250815
nac_ntrc__bw_delnac_nh4__1,-0.0946063629,0.1569760635
nac_ntrc__bw_delnac_nh4__2,-0.1586231279,-0.2308716375
misc__wt_no_te__1,1.0072463816,-0.4919889575
misc__wt_no_te__2,0.4909546629,-0.1519595875
