,rluB
Cr_1,0.003947366768907009
Cr_2,0.007927288845450246
Cr_3,0.011087396625438155
Cr_4,0.012511173280640414
Cr_5,0.01582222016545579
Cr_6,0.017497434283346092
Fe_1,-0.006561772263994517
Fe_2,-0.006907134079603318
Fe_3,0.005733302021597266
Fe_4,0.01074493249671831
Fe_5,0.02582906957868529
Fe_6,0.03358605317195356
Cd_1,-0.013227686080803462
Cd_2,-0.02176954488417893
Cd_3,-0.027345234406223932
Cd_4,-0.03205933509442633
Cd_5,-0.04156091288404249
Cd_6,-0.04361546913185176
Zn_1,-0.013469147865131145
Zn_2,-0.023083074828824404
Zn_3,-0.029405576709769524
Zn_4,-0.033764728616000474
Zn_5,-0.0371698221640883
Zn_6,-0.0478514089962687
Cu_1,0.0020995832004238268
Cu_2,0.003988775583465117
Cu_3,0.0089575566455104
Cu_4,0.017753334691698104
Cu_5,0.03314780817426479
Cu_6,0.04748407610642561
Pb_1,0.009724454097206956
Pb_2,0.016723971960232682
Pb_3,0.031703670356938995
Pb_4,0.04391299543623328
Pb_5,0.0628063011636634
Pb_6,0.07909405987652299
