,Value,list
TF,arcA,
reg_genes,454,"['oppF' 'nrfB' 'dppC' 'puuC' 'yfiF' 'feoC' 'yeiB' 'paaJ' 'nuoI' 'rpoD'
 'argG' 'yffR' 'moaC' 'betA' 'moeB' 'yqcA' 'aceA' 'astD' 'hybC' 'uxaA'
 'gltB' 'leuB' 'avtA' 'dhaK' 'phnM' 'ydeA' 'pnp' 'grcA' 'csiD' 'rpsU'
 'mglA' 'thrC' 'citB' 'gatA' 'yncE' 'ypdA' 'yiaG' 'nuoK' 'fabG' 'nuoB'
 'aceB' 'fabR' 'caiD' 'ribF' 'paaG' 'moaD' 'rcsD' 'feoA' 'dcuB' 'astB'
 'macB' 'paaF' 'yrfF' 'cbdB' 'gadE' 'fadD' 'hybF' 'mdh' 'glcG' 'argR'
 'gatZ' 'hisM' 'rplW' 'fiu' 'puuB' 'gapA' 'ybiY' 'rutG' 'pepN' 'astA'
 'moeA' 'yeiG' 'yfcZ' 'yhhJ' 'fabF' 'guaA' 'yhjX' 'rpsO' 'mutM' 'mhpB'
 'feoB' 'yhgE' 'hcaE' 'leuD' 'ubiC' 'dnaA' 'citC' 'betB' 'ddpC' 'cycA'
 'gsiC' 'phnC' 'oppA' 'rplD' 'ugpE' 'rbbA' 'thrA' 'cadA' 'fumA' 'yeiQ'
 'rstA' 'paaE' 'rplU' 'nuoE' 'aceF' 'rpmF' 'exuT' 'citA' 'yghW' 'flhD'
 'ugpC' 'gatY' 'lspA' 'uxaB' 'thiH' 'cyoE' 'treC' 'suhB' 'acs' 'yeaD'
 'fadE' 'ndh' 'dhaL' 'rcsB' 'nupC' 'arcA' 'fdoH' 'argT' 'iaaA' 'uspC'
 'ycjG' 'aer' 'mhpE' 'yceJ' 'hyaA' 'thiC' 'potH' 'gltA' 'phnP' 'pntA'
 'cirA' 'fabD' 'dcuA' 'betI' 'gsiA' 'fadB' 'yacH' 'yhcC' 'thiF' 'nrfC'
 'mhpF' 'yigF' 'nrfE' 'ybjX' 'infB' 'sstT' 'hemG' 'glcF' 'gcvA' 'citF'
 'sucC' 'rpsQ' 'trxA' 'rimP' 'rpoS' 'rutB' 'rutC' 'nudJ' 'phnJ' 'icd'
 'hyaF' 'caiA' 'hisP' 'dsbB' 'nuoJ' 'pflB' 'rimO' 'hisJ' 'ybhK' 'potI'
 'ubiA' 'yccA' 'nuoF' 'yhiI' 'nuoG' 'pck' 'nudE' 'plsX' 'rstB' 'nuoA'
 'phnL' 'yhjE' 'ddpA' 'yncD' 'recF' 'ddpB' 'ompC' 'dppF' 'rpsC' 'cydC'
 'astE' 'phnF' 'rplV' 'rpsS' 'nuoN' 'nrfG' 'yecR' 'nepI' 'nuoC' 'pntB'
 'rutF' 'appA' 'kdpB' 'tpx' 'dppB' 'hyaB' 'ispH' 'ompW' 'gltF' 'yjiR'
 'hybD' 'thrB' 'ileS' 'sucD' 'moaE' 'gabT' 'ssb' 'puuP' 'thiS' 'dnaG'
 'phnO' 'sucB' 'ptsG' 'ypdC' 'focA' 'dppA' 'nuoH' 'acnA' 'caiC' 'hybB'
 'oppD' 'hisQ' 'folE' 'mhpC' 'hybE' 'truB' 'fadL' 'rpsJ' 'truC' 'paaD'
 'lldR' 'cydD' 'mglC' 'rpsT' 'caiB' 'fkpB' 'cbdA' 'mcbA' 'yjiJ' 'appY'
 'guaB' 'gsiD' 'ybfA' 'nrfA' 'glcE' 'fadI' 'paaH' 'hcaC' 'glcD' 'gabD'
 'treB' 'rnpA' 'gatB' 'rutD' 'aceK' 'osmY' 'cydA' 'xthA' 'ybiW' 'rplY'
 'rplC' 'gatD' 'ddpF' 'flhC' 'fadJ' 'macA' 'caiT' 'hyaE' 'leuA' 'rluE'
 'hcaB' 'fumB' 'actP' 'prfA' 'gsiB' 'mhpA' 'thiG' 'sucA' 'moaA' 'hcaF'
 'ypdB' 'carB' 'cspA' 'xylR' 'dppD' 'ackA' 'hcaD' 'thiE' 'lldD' 'trmJ'
 'paaK' 'yceI' 'nuoL' 'leuC' 'phnD' 'cydB' 'glcA' 'putP' 'gadA' 'ddpD'
 'hemA' 'hybA' 'yqcC' 'uvrA' 'trkH' 'mhpD' 'ybdN' 'carA' 'gabP' 'rpmG'
 'ybiU' 'fnr' 'yijD' 'moaB' 'fdoI' 'glpE' 'oppB' 'potF' 'gltD' 'hybO'
 'uxaC' 'feaR' 'yceD' 'ugpQ' 'glpG' 'phnN' 'hcaR' 'rpmB' 'infA' 'fumC'
 'betT' 'feaB' 'manA' 'rpmH' 'rutA' 'kdpA' 'nuoM' 'yigZ' 'puuE' 'mntH'
 'fdhE' 'dhaR' 'yjcH' 'glpC' 'rmf' 'fadH' 'rho' 'ddpX' 'clpA' 'lhgO'
 'rutE' 'pepQ' 'fabH' 'hyaD' 'rplB' 'oppC' 'xseA' 'potG' 'yfbM' 'rhlB'
 'pldA' 'gadW' 'rpmA' 'cadB' 'nrfD' 'aldA' 'paaC' 'gadX' 'paaA' 'putA'
 'clpS' 'fadA' 'hybG' 'rutR' 'kdpC' 'fsaA' 'acnB' 'phnI' 'paaB' 'yecJ'
 'nlpI' 'rpmC' 'pncB' 'dnaN' 'hyaC' 'glcB' 'rplP' 'acpP' 'aceE' 'mglB'
 'rbfA' 'yieE' 'secG' 'lpd' 'nusA' 'lacI' 'prmC' 'sodA' 'dhaM' 'puuR'
 'rhaT']"
comp_genes,50,"['pdhR' 'yeaC' 'ydcI' 'fixB' 'lsrG' 'gcd' 'kefG' 'dadA' 'ybjM' 'yqeJ'
 'ylaC' 'borD' 'mntS' 'trxC' 'dadX' 'yqeI' 'prpR']"
both_genes,33,"['phoH' 'glpA' 'ynaJ' 'glpD' 'ydgC' 'sthA' 'sdhB' 'glcC' 'lldP' 'puuA'
 'dcuC' 'cyoA' 'glpB' 'ugpA' 'mqo' 'sdhC' 'dctA' 'mhpR' 'ugpB' 'cyoC'
 'puuD' 'astC' 'yigI' 'cyoB' 'sdhD' 'sdhA' 'bssR' 'kgtP' 'fdoG' 'msrB'
 'yejG' 'ndk' 'cyoD']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,209,
comp_ops,40,
both_ops,25,
