,A,ArcA
R2,,0.003848178206809161
xmin,,8.3328685683
xmid,,11.040109184047882
xmax,,12.2565571494
ystart,,-4.413791625996481
yend,,-0.6150581699663746
control__wt_glc__1,-0.4402100862,9.5479930658
control__wt_glc__2,0.4402100862,9.560288983
fur__wt_dpd__1,-5.3673597306,10.7374775471
fur__wt_dpd__2,-5.6843005322,10.7886125931
fur__wt_fe__1,0.13117436570000002,9.4700786461
fur__wt_fe__2,0.34884293450000003,9.423209214
fur__delfur_dpd__1,-4.4363891131,10.7297105229
fur__delfur_dpd__2,-4.7704690274,10.7280613656
fur__delfur_fe2__1,-1.7991127385999999,9.5621983963
fur__delfur_fe2__2,-1.4742218702,9.5345241815
acid__wt_ph5__1,-2.1333532472,10.5650626937
acid__wt_ph5__2,-2.2071422797,10.553854197
acid__delgadx_ph5__1,-2.0708285644,10.3300999919
acid__delgadx_ph5__2,-2.0089212055,10.3653100124
acid__delgadw_ph5__1,-1.9779269156,10.465560448
acid__delgadw_ph5__2,-2.3390118337,10.5032229928
acid__delgade_ph5__1,-1.342249065,10.1320188512
acid__delgade_ph5__2,-1.5498672227,10.1277398444
oxidative__wt_pq__1,-0.36721817970000004,11.9407374916
oxidative__wt_pq__2,-0.1193089501,11.9176245336
oxidative__deloxyr_pq__1,1.3437455937,11.928162146
oxidative__deloxyr_pq__2,1.0495147981,11.9204286896
oxidative__delsoxr_pq__1,-1.4315938581,11.9436789759
oxidative__delsoxr_pq__2,-1.2758537339,11.8525851945
oxidative__delsoxs_pq__1,-0.49437701450000004,12.1477377007
oxidative__delsoxs_pq__2,-1.0909751675,12.2221403339
nac_ntrc__wt_csn__1,-3.3164083738,10.0818153171
nac_ntrc__wt_csn__2,-3.503906643,10.0457114048
nac_ntrc__wt_cytd__1,-1.4939979493,9.7642578442
nac_ntrc__wt_cytd__2,-1.4354359076,9.7538856783
nac_ntrc__wt_gln__1,-2.1487661533,10.4220642014
nac_ntrc__wt_gln__2,-2.851826049,10.3535071322
nac_ntrc__bw_delnac_csn__1,-7.7018531185,10.5091789181
nac_ntrc__bw_delnac_csn__2,-6.960452929,10.5563581874
nac_ntrc__bw_delnac_cytd__1,-3.2927055583,10.5355345426
nac_ntrc__bw_delnac_cytd__2,-3.2383914335,10.5365672151
nac_ntrc__bw_delnac_gln__1,-3.4850972788,11.3144949683
nac_ntrc__bw_delnac_gln__2,-3.5218427584,11.258541373
nac_ntrc__bw_delnac_nh4__1,-4.3950148025,10.1220919873
nac_ntrc__bw_delnac_nh4__2,-3.3245097854,10.1448629532
misc__wt_no_te__1,-3.8473863115,10.7323987651
misc__wt_no_te__2,-3.0001112632,10.4211605142
misc__bw_delcbl__1,-1.7547824564,9.94079791
misc__bw_delcbl__2,-2.2589670847,9.8831340714
misc__bw_delfabr__1,-0.6143454623,9.5789113877
misc__bw_delfabr__2,-1.5087995955,9.5494395717
misc__bw_delfadr__1,-2.738214977,10.4804400149
misc__bw_delfadr__2,-2.9104129669,10.4623214535
misc__nitr_031__1,-2.960097963,11.1330795605
omics__wt_glu__1,0.3566565634,9.4962027824
omics__wt_glu__2,-0.12335601300000001,9.5198653778
omics__wt_gly__1,1.315454423,9.3420102931
omics__wt_gly__2,0.5271823131,9.383765921
omics__wt_thr__1,-11.9959545357,9.5985125502
omics__wt_thr__2,-12.7915909159,9.6666433666
omics__bw_ac__1,5.3302895874,9.5564040117
omics__bw_ac__2,5.0127273862,9.5354802962
omics__bw_fum__1,2.1396299016,9.63252619
omics__bw_fum__2,2.3168987785,9.6289592524
omics__bw_glc__1,-1.5436899992000002,9.7686212303
omics__bw_glc__2,-1.7394177427000002,9.7754081889
omics__bw_pyr__1,4.2495162557,9.3082459874
omics__bw_pyr__2,4.4621378601,9.2778917337
ompr__wt_nacl__1,-7.3118424294,11.7451337721
ompr__wt_nacl__2,-7.4028507502,11.6837121402
ompr__bw_delompr_nacl__1,-10.0688807995,11.2198273531
ompr__bw_delompr_nacl__2,-9.3466635351,11.2921771825
minspan__wt_ade__1,-0.1672140574,9.738883324
minspan__wt_glc__1,-1.5270214809,9.7510471494
minspan__wt_glc__2,-1.888138986,9.8002891248
minspan__wt_glc__3,-1.1167095761,9.6922558138
minspan__wt_glc__4,-1.4530949311,9.7475995335
minspan__wt_glc_anaero__1,-29.0083575993,10.1795742742
minspan__wt_glc_anaero__2,-27.4754296763,9.9858296818
minspan__wt_trp__1,-20.949615947,9.6761309403
minspan__bw_delcra_glc__1,-21.8610954281,9.843718953
minspan__bw_delcra_glc__2,-22.1617203258,9.8355971443
minspan__bw_delcra_trp__1,-24.7007877672,9.8692886365
minspan__bw_delmntr__1,-14.0909086197,9.8273054451
minspan__bw_delnac_ade__1,4.3647231794,9.3658280821
minspan__bw_delnac_glc__1,-0.2402884198,9.7700320957
cra_crp__wt_ac__1,5.9865757229,9.7677150012
cra_crp__wt_ac__2,6.2705487594000004,9.7227176231
cra_crp__wt_fru__1,2.4879751754,9.4615105741
cra_crp__wt_fru__2,2.3920753933,9.5116502089
cra_crp__delcra_ac__1,4.0125909633,9.839425164
cra_crp__delcra_ac__2,4.8236781028,9.8813648077
cra_crp__delcra_fru__1,-4.1755057521,10.1637846963
cra_crp__delcra_fru__2,-4.3022498535,10.1540404456
cra_crp__delcra_glc__1,-1.6443398025,9.8171420205
cra_crp__delcra_glc__2,-1.6180219772000002,9.7954409958
rpoB__wt_031__1,2.9120559149,9.9054707513
rpoB__wt_044__1,-0.0299885174,10.0443543201
rpoB__wt_lb__1,6.7994063334,11.1660366743
rpoB__wt_lb__2,6.7734266407,11.1116778855
rpoB__rpoBE546V_031__1,1.4848892586,10.2566773405
rpoB__rpoBE546V_044__1,1.2700791384,10.1069538938
rpoB__rpoBE546V_lb__1,3.0755014364,10.827666197
rpoB__rpoBE546V_lb__2,2.2450124868,10.7458427874
rpoB__rpoBE546V_glc__1,0.056084015300000005,9.4076956592
rpoB__rpoBE672K_glc__1,-1.053944219,9.2728801171
rpoB__rpoBE672K_glc__2,-1.7207720154000001,9.3394883579
rpoB__rpoBE672K_lb__1,0.1687225567,9.8311947101
rpoB__rpoBE672K_lb__2,0.15878186600000002,9.8703728985
crp__wt_fru__1,1.8180903271000002,9.3320605044
crp__wt_glyc__1,3.056489149,9.4778869026
crp__wt_glyc__2,2.9890111817,9.3756306127
crp__delar1_glyc__1,-17.4979406266,10.289864189
crp__delar1_glyc__2,-25.8603574221,10.3888276055
crp__delar1ar2_glyc__1,0.5285443615000001,10.3675464246
crp__delar1ar2_glyc__2,0.1390148352,10.4234181273
crp__delar1ar2_glyc__3,0.45682846180000003,10.3676975111
crp__delar2_glyc__1,-29.7339006375,9.7620913888
crp__delar2_glyc__2,-30.8248966126,9.7962748534
crp__delar2_glyc__3,-32.0904865425,9.9068529243
crp__delcrp_fru__1,-2.5105615165,11.0219895662
crp__delcrp_fru__2,-3.0200800805,10.9547673186
crp__delcrp_fru__3,-3.0264585344,11.0532050212
crp__delcrp_glc__1,-1.5140550458000002,10.9683207583
crp__delcrp_glc__2,-1.7736359003,10.9820453665
crp__delcrp_glc__3,-1.3890280883,11.0125974402
crp__delcrp_glyc__1,-3.6155634968,10.6151505333
crp__delcrp_glyc__2,-3.1556229182,10.7001796819
crp__delcrp_glyc__3,-4.1173866139,10.6148716238
glu__glu_ale3__1,-11.9194501117,10.3826747485
glu__glu_ale4__1,-4.5445556169,9.4359351241
glu__glu_ale5__1,0.4711314029,9.6061515007
glu__glu_ale6__1,-1.7055726361999999,9.3039868031
glu__glu_ale8__1,-15.4557297965,10.4494688248
glu__glu_ale9__1,-10.9995698549,10.1373849304
glu__glu_ale10__1,-12.9132079711,10.1799821095
42c__wt_42c__1,-0.5421782316,10.056932356
42c__42c_ale1__1,-15.5561740208,10.4625318126
42c__42c_ale2__1,-4.9808067305,9.830588795
42c__42c_ale3__1,-6.1614343448,9.2321124325
42c__42c_ale4__1,-14.7709130857,9.5191433898
42c__42c_ale5__1,-5.0374259758,9.6807614734
42c__42c_ale6__1,-35.2599930903,10.6182742521
42c__42c_ale8__1,-21.0157380677,10.2281652236
42c__42c_ale9__1,-3.9289907112,9.3194242354
42c__42c_ale10__1,-19.2812950238,9.8500085685
ssw__wt_ac__1,0.36873810630000003,10.7247713272
ssw__wt_glc__1,-0.1532780968,9.6242446952
ssw__wt_glyc__1,-9.7871189136,10.4459536184
ssw__wt_xyl__1,-24.487622329,8.3328685683
ssw__glc_ale1__1,-28.6960073507,9.7833471987
ssw__glc_ale2__1,-20.2576421795,9.9171816777
ssw__glc_ale3__1,-24.6651909769,9.851557472
ssw__glyc_ale1__1,-5.1452742623,9.7833253347
ssw__glyc_ale2__1,-2.947657228,9.8662727951
ssw__xyl_ale1__1,-12.6191417965,10.1634046668
ssw__xyl_ale2__1,-4.0928641402,10.0561224339
ssw__xyl_ale3__1,-6.5964137217,9.667188237
ssw__glc_ac_ac2__1,3.8266906347000003,9.6251312985
ssw__glc_ac_glc1__1,-7.5254206677,9.7904116727
ssw__glc_ac_glc2__1,-24.6750462069,10.5000188849
ssw__glc_glyc_glc__1,-11.2403859718,9.5940703829
ssw__glc_glyc_glyc__1,-5.6138416125,9.5405376044
ssw__glc_xyl_glc__1,-12.8431721871,10.1531794951
ssw__glc_xyl_xyl__1,-1.9950833531,9.7074614068
