,idnR
Cr_1,0.0036062175751767522
Cr_2,0.01107069071271983
Cr_3,0.016160526050297608
Cr_4,0.019725921928619845
Cr_5,0.01799432661355511
Cr_6,0.02294144657111982
Fe_1,-0.011914239043162895
Fe_2,-0.0276458005356146
Fe_3,-0.03291981282662468
Fe_4,-0.03428104313637243
Fe_5,-0.03085331854087117
Fe_6,-0.028027300813307184
Cd_1,-3.7217928584778745e-05
Cd_2,-0.00033053063415223555
Cd_3,0.0017301297059666009
Cd_4,0.0029826609336287262
Cd_5,-0.0010986758120007
Cd_6,0.0030693985048964065
Zn_1,0.009165230490145842
Zn_2,0.02329713402646186
Zn_3,0.04393536494390222
Zn_4,0.06417562512283545
Zn_5,0.08183739149810475
Zn_6,0.09409872961389326
Cu_1,-0.002635551861780301
Cu_2,-0.0012225912564806571
Cu_3,0.0027584987274955875
Cu_4,0.0036239792655122275
Cu_5,0.010935790165611928
Cu_6,0.0221306734537718
Pb_1,-0.003671262429160028
Pb_2,-0.005813543659718265
Pb_3,0.006190154241421214
Pb_4,0.004441571621055261
Pb_5,0.010403350515933931
Pb_6,0.01642027022623524
