,-0.11741505442105263,-0.1043689372631579,-0.09132282010526316,-0.07827670294736842,-0.06523058578947369,-0.052184468631578954,-0.03913835147368422,-0.026092234315789484,-0.013046117157894749,-1.3877787807814457e-17,0.013046117157894721,0.02609223431578947,0.03913835147368419,0.05218446863157891,0.06523058578947366,0.07827670294736841,0.09132282010526313,0.10436893726315785,0.1174150544210526,0.13046117157894735
thresh,-0.123938113,0.123938113,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,1,1,12,56,262,1149,2871,1220,243,47,7,6,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
