,ycgN
Cr_1,0.0003285936041599281
Cr_2,-0.00032497520506694945
Cr_3,0.00047584190328094805
Cr_4,0.0033333390925323423
Cr_5,0.0074325770817348985
Cr_6,0.010112477544319563
Fe_1,-0.0016920643129179954
Fe_2,0.03269923288107745
Fe_3,0.08268663260674138
Fe_4,0.11417261123323225
Fe_5,0.12768753653329934
Fe_6,0.14234205078039044
Cd_1,-0.0006464463088238718
Cd_2,4.082238412797388e-05
Cd_3,0.002128078833162548
Cd_4,0.003045341117002233
Cd_5,0.00015762560957485088
Cd_6,0.0027863012136887834
Zn_1,-0.00467205025483307
Zn_2,-0.01688861926800158
Zn_3,-0.017783070657996322
Zn_4,-0.019450180572934902
Zn_5,-0.0206430261356197
Zn_6,-0.018615622198113826
Cu_1,0.0038476465622137657
Cu_2,0.005643865282306524
Cu_3,0.008148804629015578
Cu_4,0.009255899261869245
Cu_5,0.010961439255511844
Cu_6,0.015321470098931691
Pb_1,-0.004422475038980138
Pb_2,-0.00687458793464637
Pb_3,-0.003595701016879274
Pb_4,0.0026434719974678627
Pb_5,0.013064978200413729
Pb_6,0.0241709255698333
