,A,mumR
R2,,0.20115364917454304
xmin,,-3.8423909886
xmid,,0.05576519775549222
xmax,,2.5207247892
ystart,,-1.3475365773837567
yend,,8.96980613514954
AB0057_PGcoculture__PGAB__1.0,-5.9596059310000005,-0.33591845600000003
AB0057_PGcoculture__PGAB__2.0,-7.1954357063,0.07963331300000001
AB0057_PGcoculture__PGAB__3.0,-5.3402754707,-0.5243532969
AB0057_PGcoculture__AB __1.0,-0.046508889500000004,0.072174535
AB0057_PGcoculture__AB __2.0,-0.0120909425,-0.036942953300000005
AB0057_PGcoculture__AB __3.0,-0.0119716487,0.16171636650000001
AB0057_PGcoculture__AB __4.0,0.07057148070000001,-0.1969479482
AB0057_PGcoculture__ABPG__1.0,0.220097425,-0.7083231308
AB0057_PGcoculture__ABPG__2.0,-0.15456094,-0.7319346543
AB0057_PGcoculture__ABPG__3.0,0.7483901663,0.0894367602
AB0057_PGcoculture__ABPG__4.0,0.4792144907,-0.6005502315
AB5075_AZI__AZI_000__1.0,-0.32603742210000003,-0.0774469697
AB5075_AZI__preculture__1.0,-8.3690795888,-0.291199341
AB5075_AZI__preculture__2.0,-8.1274031837,-0.1303602528
AB5075_AZI__AZI_040__1.0,-8.8820081521,-0.0921027964
AB5075_AZI__AZI_028__1.0,-6.1720756064,0.8108155777
AB5075_AZI__AZI_003__1.0,0.6581169734,-0.2891292583
AB5075_AZI__AZI_000__2.0,0.32603742210000003,0.0774469697
AB5075_AZI__AZI_040__2.0,-9.9423000456,-0.3166071038
AB5075_AZI__AZI_028__2.0,-6.2998932895,0.950967281
AB5075_AZI__AZI_003__2.0,0.22851850740000001,-0.23776222830000002
AB5075_VIR-O_AV-T__AV-T/vector__1.0,-3.0126490036,0.1145781293
AB5075_VIR-O_AV-T__VIR-O/vector__1.0,-1.144007169,0.1363945553
AB5075_VIR-O_AV-T__VIR-O/vector__2.0,1.0955712495,-0.3792134535
AB5075_VIR-O_AV-T__VIR-O/vector__3.0,0.0484359195,0.2428188983
AB5075_VIR-O_AV-T__VIR-O/1645__1.0,-0.6780249539000001,-0.5461995869
AB5075_VIR-O_AV-T__VIR-O/1645__2.0,0.6518845679,-0.2252539771
AB5075_VIR-O_AV-T__VIR-O/1645__3.0,3.3077237883,0.42641072680000003
AB5075_VIR-O_AV-T__AV-T/vector__2.0,-0.0909195973,-0.1893174518
AB5075_VIR-O_AV-T__AV-T/vector__3.0,0.27941597700000004,-0.1908751471
AB5075_VIR-O_LSO__VIR-O__1.0,-3.4481053259,-0.004758358900000001
AB5075_VIR-O_LSO__LSO__1.0,-4.0912322422,-0.5084183870000001
AB5075_VIR-O_LSO__VIR-O__2.0,0.0828451238,0.0142792653
AB5075_VIR-O_LSO__LSO__2.0,-2.5858707246,-0.9485873593
AB5075_VIR-O_LSO__VIR-O__3.0,3.3652602021,-0.009520906400000001
AB5075_VIR-O_LSO__LSO__3.0,3.5765548807,-0.1653800432
AB5075_Zinc__Control__1.0,0.2340287779,0.1934656469
AB5075_Zinc__Control__2.0,-0.8586653711000001,-0.1790337977
AB5075_Zinc__Control__3.0,0.6246365931,-0.014431849200000001
AB5075_Zinc__Zinc__1.0,0.9805627691000001,0.22979599120000002
AB5075_Zinc__Zinc__2.0,1.7049053235,-0.4528097072
AB5075_biofilm+abx__planktonic__1.0,-1.17371477,1.497313644
AB5075_biofilm+abx__planktonic__2.0,0.8036786442,-0.5738195781000001
AB5075_biofilm+abx__biofilm__1.0,15.7723129582,1.4879822493
AB5075_biofilm+abx__planktonic__3.0,0.3700361258,-0.9234940659
AB5075_biofilm+abx__biofilm__2.0,7.4219566732,2.0433429756
AB5075_biofilm+abx__biofilm__3.0,8.157590339,2.2714757455
AB5075_biofilm+abx__cip_biofilm__1.0,9.3142276368,2.0879577097
AB5075_biofilm+abx__cip_biofilm__2.0,13.745699131,2.0127267134
AB5075_biofilm+abx__tet_biofilm__1.0,4.1189427694,0.9775267914
AB5075_biofilm+abx__cip_biofilm__3.0,10.7207924844,2.5207247892
AB5075_biofilm+abx__tet_biofilm__2.0,0.8818488718,1.8959982407
AB5075_biofilm+abx__tet_biofilm__3.0,9.8418415904,1.5566638577
AB5075_gigAB__kan_gigB__1.0,-5.1419147674,0.7145014348000001
AB5075_gigAB__kan_gigB__2.0,-3.322632177,0.4444229968
AB5075_gigAB__kan_gigB__3.0,-3.1117277704,1.2502320698
AB5075_gigAB__gigB__1.0,9.6483664177,0.7756708536
AB5075_gigAB__gigB__2.0,11.6817644549,0.7462935046
AB5075_gigAB__gigB__3.0,10.7070107422,0.7844133419
AB5075_gigAB__kan_gigA__1.0,-7.1295973142,1.9270131283
AB5075_gigAB__kan_gigA__2.0,-10.4764688708,0.7170344884000001
AB5075_gigAB__kan_gigA__3.0,-2.7383018619,0.594260103
AB5075_gigAB__gigA__1.0,10.9571781025,1.0990983055
AB5075_gigAB__gigA__2.0,-1.459510034,0.9357426944
AB5075_gigAB__gigA__3.0,9.0314320415,1.0198815603
AB5075_gigAB__kan_WT__1.0,-6.6337441457,0.4516743623
AB5075_gigAB__kan_WT__2.0,-6.9676147291,-0.0446972332
AB5075_gigAB__kan_WT__3.0,-5.8852340405,-0.0771245001
AB5075_gigAB__WT__1.0,-0.0782785674,0.0759957106
AB5075_gigAB__WT__2.0,1.0551564618,-0.46615388430000004
AB5075_gigAB__WT__3.0,-0.9768778944000001,0.3901581738
AB5075_med__CA-MHB__1.0,3.5135953906,-0.4358107539
AB5075_med__CA-MHB__2.0,-0.2241445866,-0.5853794178
AB5075_med__CA-MHB_pH6__1.0,-1.7984439053,0.12123420060000001
AB5075_med__CA-MHB_pH6__2.0,-0.5608750909,-0.0657230162
AB5075_med__RPMI+_pH7__1.0,-1.1770254822,-0.07235937540000001
AB5075_med__RPMI+_pH7__2.0,-2.083025579,0.119174494
AB5075_med__RPMI+_pH6__1.0,-2.9402277655,0.058794378
AB5075_med__RPMI+_pH6__2.0,2.1666066145,-0.0230426707
AB5075_med__RPMI+_-HCO3__1.0,1.7142633639,-0.1686926802
AB5075_med__RPMI+_-HCO3__2.0,2.409081159,0.1225047861
AB5075_med__LB__1.0,0.11473739999999999,-0.1736638707
AB5075_med__LB__2.0,-0.11473739999999999,0.1736638707
AB5075_med__M9+AA__1.0,1.7609228805,-0.0745595428
AB5075_med__M9+AA__2.0,2.5060461948,0.1209785736
AB5075_med__M9-AA__1.0,2.225587952,-0.0510289831
AB5075_med__M9-AA__2.0,1.4405378931000001,0.2466584588
AYE_adeB__WT__1.0,-0.4971849984,0.4217847321
AYE_adeB__WT__2.0,0.5245109192,-0.005669817000000001
AYE_adeB__WT__3.0,-0.0273259208,-0.41611491510000004
AYE_adeB__adeB__1.0,-4.7457317642,-3.8423909886
AYE_adeB__adeB__2.0,-5.6636405947,-3.8423909886
AYE_adeB__adeB__3.0,-5.3376868921,-3.8423909886
COL__0ug/ml__1.0,-2.0098441076,0.3302624525
COL__0ug/ml__2.0,2.0098441076,-0.3302624525
COL__0.25ug/ml__1.0,2.2872155301,-0.9308205185
COL__0.25ug/ml__2.0,-0.7279681159,-1.0992938885
COL__1ug/ml__1.0,-0.7188212968000001,-0.7162451195
COL__1ug/ml__2.0,0.9162984121000001,-0.8034055015
H2O2__0ug/ml__1.0,0.3948892532,-0.0603144918
H2O2__0ug/ml__2.0,-0.3948892532,0.0603144918
H2O2__1.25ug/ml__1.0,-4.4203896197,0.1431325285
H2O2__1.25ug/ml__2.0,-2.8246106652,0.074479895
H2O2__2.5ug/ml__1.0,-5.9226199425,-1.5489974829
H2O2__2.5ug/ml__2.0,-4.7149982659,-1.5781824557
H2O2__5ug/ml__1.0,-11.213811523,-0.44444709920000003
H2O2__5ug/ml__2.0,-11.6313329996,-1.1584589815
MRP__0ug/ml__1.0,1.6861222497,0.1617678679
MRP__0ug/ml__2.0,-1.6861222497,-0.1617678679
MRP__25ug/ml__1.0,1.9629301618000001,0.2715600136
MRP__25ug/ml__2.0,-0.38126370260000003,-0.1889123908
MRP__100ug/ml__1.0,-0.4009922647,-0.1217408148
MRP__100ug/ml__2.0,-2.0390294592,-0.22919903100000003
MRP__200ug/ml__1.0,0.28208661620000003,0.0983877246
MRP__200ug/ml__2.0,0.3390161571,-0.0654125993
growth__2h__1.0,1.3734511474,0.1567487759
growth__2h__2.0,-1.3734511474,-0.1567487759
growth__4h__1.0,5.73806706,0.676669949
growth__4h__2.0,4.0989639599,0.9813871604000001
growth__6h__1.0,9.4832018574,-0.2862295433
growth__6h__2.0,8.2438382675,0.5230414613000001
growth__8h__1.0,-3.5431777098,-0.6606080643000001
growth__8h__2.0,-4.9096224069000005,-0.0256768359
growth__10h__1.0,-2.5368941193,0.1366612206
growth__10h__2.0,-5.3333791575,0.2909773734
mutants__WT__1.0,-0.07641360950000001,-0.3502061895
mutants__WT__2.0,0.07641360950000001,0.3502061895
mutants__R7__1.0,-0.2870795982,-0.39980214350000004
mutants__R7__2.0,-1.1945072458000001,0.5353971605
mutants__gacA__1.0,-1.0824803524,0.7259391575
mutants__gacA__2.0,-0.8899042084000001,0.5230787425
vacJ_LL-37__WT__1.0,-0.0456635722,0.0308152561
vacJ_LL-37__WT__2.0,0.0456635722,-0.0308152561
vacJ_LL-37__WT+LL-37__1.0,0.09784158180000001,-0.061271673400000004
vacJ_LL-37__WT+LL-37__2.0,-1.0365889077,-0.1576683136
vacJ_LL-37__vacJ__1.0,-1.8965990074999999,-0.3112758077
vacJ_LL-37__vacJ__2.0,-1.1233369921,-0.1172715257
vacJ_LL-37__vacJ+LL-37__1.0,-1.0974511933,-0.4844821165
vacJ_LL-37__vacJ+LL-37__2.0,-0.9916370619,-0.1795869541
