,allS
Cr_1,-0.0030099964715858637
Cr_2,-0.0056353056719272284
Cr_3,0.0011972896063546835
Cr_4,0.012524267068807307
Cr_5,0.016796247459737273
Cr_6,0.024278698546842784
Fe_1,-0.016000547116174192
Fe_2,-0.02367736303362834
Fe_3,-0.026365887130327982
Fe_4,-0.053255911095108174
Fe_5,-0.04590610093154383
Fe_6,-0.0624437196587577
Cd_1,0.005211251460939386
Cd_2,0.01891139931195681
Cd_3,0.040287747419857016
Cd_4,0.049847418974152985
Cd_5,0.058398637913481335
Cd_6,0.06822744723358845
Zn_1,0.02817511112141148
Zn_2,-0.008412027899208903
Zn_3,-0.02297603702406279
Zn_4,0.01538102588239011
Zn_5,0.011726373554220777
Zn_6,0.013253532439586052
Cu_1,-0.0001867328559433645
Cu_2,0.014970835067709375
Cu_3,0.015506370961537484
Cu_4,0.018608426499924027
Cu_5,0.01904009506387555
Cu_6,0.021897447778220308
Pb_1,-0.0022324342977328294
Pb_2,0.0134984360950031
Pb_3,0.029225109089794137
Pb_4,0.04598539694322367
Pb_5,0.0543071549672775
Pb_6,0.058940754658623175
