,A,MraZ,LexA,PdhR
R2,,0.038331320396209345,0.014692346977299375,0.01156261074912146
xmin,,-4.3686157622,-3.6873092406,-7.947651277
xmid,,-0.060709427858128336,-0.2045946719696895,-0.29972105885217903
xmax,,1.9489502662,3.551763308,5.123006498
ystart,,0.06996775891302834,0.23921412964843117,0.30575716220355137
yend,,3.03937392160737,2.0088729820828988,2.248573449723405
aat__00m_00s__1,-0.4214585383,-0.2158754631,0.21345610950000002,0.0786388769
aat__00m_30s__1,0.7217496645,-0.2437592554,0.0560427147,1.7268348803
aat__01m_00s__1,0.385127659,-0.2897244543,-0.0318801971,3.5512277696
aat__02m_00s__1,-0.550276345,-0.38098045890000004,0.0986113649,3.7031529341000002
aat__05m_00s__1,-0.8526790042,-0.265916715,-0.032799058400000004,3.7042838061000003
aat__10m_00s__1,-0.7685057715,-0.40772281850000003,-0.13535324710000002,3.538023116
aat__00m_00s__2,0.5995248725,0.0912676303,-0.2736939055,-0.0471191304
aat__00m_30s__2,0.6247386348,0.2212134355,0.0379758441,2.8958078209
aat__01m_00s__2,0.17434989920000002,-0.1959938041,-0.0397968997,3.7406613857
aat__02m_00s__2,-0.731103903,-0.068186072,-0.2478123332,3.74836876
aat__05m_00s__2,-0.3574502732,-0.1336720151,-0.07040098900000001,3.6725961106
aat__10m_00s__2,-1.0805417866,0.24058508380000002,-0.0984861179,3.3628660916
aat__00m_00s__3,-0.17806633430000002,0.1246078328,0.060237796,-0.0315197465
aat__00m_30s__3,0.7860316147,0.1198031192,0.1276113234,1.8653251552999999
aat__01m_00s__3,0.742188842,-0.1030751298,0.059888556,3.4807715254
aat__02m_00s__3,0.0673033535,0.0147953983,0.11721442010000001,3.6670593325
aat__05m_00s__3,-0.0314541812,0.13566144930000001,0.1741593693,3.7439360697
aat__10m_00s__3,-0.5517369752,0.1085784758,0.0360779319,3.5139543053
abx_mega__dmso-2__1,-2.4543007522,0.5840622103,-2.7672731979,0.7253847981
abx_mega__ery_dmso__1,-0.7515825334,0.7017464195,-0.1041593063,1.3865036554999999
abx_mega__nal_naoh__1,-0.1653858537,0.3337639848,-1.2435699226999999,1.1613375295
abx_mega__dmso-5__1,-0.6990286905,0.139758668,-0.3866704388,-0.827989933
abx_mega__rif_dmso__1,-1.2813208633,0.6151304080000001,-0.6360534396,-1.6353559903
abx_mega__novo_h2o__1,7.2529098987000005,-0.880786642,-1.5185477034,-2.3337368603
abx_mega__rach_dmso__1,1.9537847971,0.15974098890000002,0.6464264268000001,0.1737032199
abx_mega__metro_dmso__1,1.4991854825,0.9074646815,0.7320629096,0.4052451144
abx_mega__dmso-6__1,-0.2221205815,0.20181964300000002,-1.0514421106,-0.8283493310000001
abx_mega__chl_h2o__1,-2.0016340879,0.08324315930000001,-0.7348726173,2.6850749404
