,-0.09797978309600743,-0.08398267122514923,-0.06998555935429103,-0.05598844748343283,-0.041991335612574635,-0.027994223741716437,-0.01399711187085824,-4.163336342344337e-17,0.013997111870858156,0.027994223741716354,0.04199133561257455,0.05598844748343275,0.06998555935429095,0.08398267122514914,0.09797978309600734,0.11197689496686554,0.12597400683772375,0.13997111870858192,0.15396823057944015,0.16796534245029837
thresh,-0.10497833903143652,0.10497833903143652,6,,,,,,,,,,,,,,,,,
unreg,0,0,2,4,20,183,937,1958,829,162,25,4,1,0,0,0,0,0,0,0
MraZ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PdhR,0,0,0,0,0,0,6,12,6,1,0,0,0,0,0,0,0,0,0,0
LexA,0,0,0,1,0,1,8,20,12,2,0,0,0,0,0,0,0,0,0,0
MraZ and PdhR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"MraZ, PdhR, and LexA",0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,3,3,2,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
MraZ_genes,[],[],[],[],[],[],[],[],['mioC'],[],[],[],[],[],[],[],[],[],[],[]
PdhR_genes,[],[],[],[],[],[],['grcA' 'cyoA' 'glcG' 'ndh' 'glcB' 'hemL'],"['fecC' 'glcF' 'fecA' 'fecB' 'cyoC' 'cyoB' 'fecE' 'pdhR' 'glcE' 'hha'
 'fecD' 'tomB']",['aceE' 'aceF' 'glcD' 'lpd' 'cyoE' 'cyoD'],['glcA'],[],[],[],[],[],[],[],[],[],[]
LexA_genes,[],[],[],['sbmC'],[],['recX'],['sulA' 'cho' 'yafO' 'rpoD' 'uvrY' 'dinF' 'rpsU' 'symE'],"['yafN' 'uvrB' 'yafQ' 'yehF' 'ruvB' 'dinD' 'recN' 'umuC' 'dinB' 'umuD'
 'uvrC' 'dinI' 'uvrA' 'insK' 'ybfE' 'ssb' 'dinG' 'yebG' 'dnaG' 'lexA']","['uvrD' 'ruvA' 'ydjM' 'yafP' 'ptrA' 'recQ' 'recA' 'polB' 'ybiB' 'recB'
 'phr' 'ftsK']",['dinJ' 'recD'],[],[],[],[],[],[],[],[],[],[]
MraZ and PdhR_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],['mraZ'],['rsmH'],[],[],[],[],[]
"MraZ, PdhR, and LexA_genes",[],[],[],[],[],[],[],['lpxC'],[],[],[],[],['ftsZ'],['ftsA'],['ftsQ'],['ftsL' 'ddlB'],['ftsI' 'murE' 'ftsW'],['mraY' 'murG' 'murF'],['murD' 'murC'],[]
