locus,gene_weight,gene_name,gene_product,cog,operon,regulator,MraZ,PdhR,LexA,link
b0091,0.14867595050000001,murC,UDP-N-acetylmuramate--L-alanine ligase,Cell wall/membrane/envelope biogenesis,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,"RpoD,LexA,MraZ,PdhR",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10619
b0088,0.147545264,murD,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,Cell wall/membrane/envelope biogenesis,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,"RpoD,YidZ,LexA,MraZ,PdhR,GlaR",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10620
b0086,0.1374497453,murF,D-alanyl-D-alanine-adding enzyme,Cell wall/membrane/envelope biogenesis,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,"RpoD,LexA,MraZ,PdhR",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10622
b0090,0.1374022094,murG,N-acetylglucosaminyl transferase,Cell wall/membrane/envelope biogenesis,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,"RpoD,LexA,MraZ,PdhR",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10623
b0087,0.1354799515,mraY,phospho-N-acetylmuramoyl-pentapeptide-transferase,Cell wall/membrane/envelope biogenesis,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,"RpoD,LexA,MraZ,PdhR",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10604
b0089,0.13225412150000002,ftsW,putative lipid II flippase FtsW,"Cell cycle control, cell division, chromosome partitioning",mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,"RpoD,LexA,MraZ,PdhR",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10344
b0085,0.12266569940000001,murE,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase,Cell wall/membrane/envelope biogenesis,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,"RpoD,LexA,MraZ,PdhR",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10621
b0084,0.11953187300000001,ftsI,peptidoglycan DD-transpeptidase FtsI,Cell wall/membrane/envelope biogenesis,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,"RpoD,YbaQ,LexA,MraZ,PdhR",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10341
b0092,0.10991384400000001,ddlB,D-alanine--D-alanine ligase B,Nucleotide transport and metabolism,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,"RpoD,LexA,MraZ,PdhR",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10214
b0083,0.1097693049,ftsL,cell division protein FtsL,"Cell cycle control, cell division, chromosome partitioning",mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,"RpoD,LexA,MraZ,PdhR",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11086
