,Value,list
TF,crp,
reg_genes,587,"['xylH' 'idnR' 'fbaA' 'crp' 'ugpE' 'deoC' 'mhpF' 'entH' 'fepA' 'melB'
 'cyoA' 'sxy' 'nuoB' 'yfeD' 'dadA' 'dksA' 'yadG' 'setB' 'cspD' 'paaZ'
 'sucC' 'malI' 'chbR' 'hflK' 'mhpE' 'raiA' 'speC' 'citA' 'malS' 'entB'
 'rimP' 'nfuA' 'yibI' 'rmuC' 'feaB' 'clpS' 'acnB' 'fecE' 'gatZ' 'puuC'
 'rhaB' 'yaiZ' 'ulaF' 'mhpD' 'gabT' 'paaK' 'uhpT' 'galE' 'yadH' 'mhpA'
 'rpoE' 'casC' 'idnT' 'gadB' 'putP' 'gyrA' 'glpT' 'ycjT' 'chbA' 'malF'
 'lgoR' 'nanK' 'lamB' 'ycjN' 'hofC' 'cysQ' 'nuoG' 'uxuB' 'cspE' 'gatY'
 'fiu' 'pncB' 'csgF' 'ygdG' 'fecC' 'gdhA' 'sdhB' 'srlE' 'chiP' 'rbsR'
 'yhhW' 'hyfD' 'glcF' 'ilvB' 'yedP' 'ivbL' 'galT' 'glpX' 'aceK' 'melR'
 'ugpA' 'rbsK' 'glpF' 'ygbT' 'ybgS' 'hpt' 'ubiG' 'puuR' 'lhgO' 'cirA'
 'gatD' 'cysG' 'yiaN' 'idnK' 'flhD' 'caiT' 'nuoK' 'glcC' 'ugpQ' 'rpsF'
 'gltB' 'narQ' 'hyfI' 'mazE' 'nanM' 'aaeB' 'uidC' 'cyoE' 'lsrD' 'nuoC'
 'gabP' 'mdtA' 'nanC' 'manX' 'ygeA' 'ompR' 'gabD' 'preT' 'gcvT' 'prpC'
 'entD' 'araE' 'entE' 'sucA' 'gadX' 'malY' 'lsrF' 'fur' 'nuoF' 'fdoH'
 'caiC' 'yjhQ' 'serA' 'uhpA' 'aer' 'glpQ' 'nrdA' 'rbfA' 'ycfQ' 'rpsO'
 'fucR' 'casD' 'idnD' 'ptsH' 'yjhP' 'prpD' 'manY' 'glpA' 'relA' 'fadL'
 'nuoJ' 'garR' 'nirC' 'cyaA' 'uxuA' 'paaA' 'uxaB' 'marA' 'sdaB' 'mdtC'
 'yhhX' 'sgbU' 'melA' 'rseB' 'sodB' 'srlD' 'lacZ' 'zraR' 'nuoL' 'yeaC'
 'nuoI' 'srlB' 'ychH' 'nirD' 'psiE' 'rhaS' 'pspA' 'ptsG' 'baeR' 'ldtB'
 'cdd' 'yfaE' 'eptB' 'casA' 'ysgA' 'pabA' 'garP' 'acnA' 'ybdD' 'gcvP'
 'paaG' 'truB' 'nanE' 'guaA' 'paaB' 'hyfR' 'guaB' 'yiaM' 'agp' 'fumA'
 'gcd' 'araD' 'exuT' 'nuoE' 'bglG' 'hyfF' 'yobF' 'yjjW' 'dadX' 'manA'
 'hlyE' 'chbC' 'nuoN' 'umpH' 'chbB' 'tdcC' 'metK' 'malM' 'gadA' 'thrA'
 'hofB' 'araF' 'csiD' 'tdcF' 'fecB' 'uxaA' 'manZ' 'glnL' 'tdcB' 'pck'
 'cyoB' 'nlpE' 'sdhD' 'fadD' 'mlc' 'hokB' 'yfeC' 'proP' 'aaeR' 'rhaR'
 'ucpA' 'glpB' 'malE' 'gntX' 'mhpC' 'ptsI' 'nusA' 'lacI' 'glcA' 'prpB'
 'citC' 'opgE' 'lldP' 'entA' 'tdcA' 'yiaK' 'exuR' 'cspA' 'tsgA' 'thrB'
 'ompG' 'aceA' 'nirB' 'paaC' 'rpsR' 'nagC' 'ugpC' 'yeiP' 'sgbH' 'gntP'
 'lpd' 'sfsA' 'rhaD' 'xylF' 'aceB' 'ascB' 'rtn' 'ulaE' 'pspC' 'araH'
 'fucU' 'lacA' 'mntH' 'caiB' 'pspE' 'fic' 'tam' 'rbsB' 'araG' 'pdhR'
 'fucO' 'rmf' 'rnk' 'araJ' 'yeiQ' 'citB' 'xylG' 'galP' 'fdoI' 'hupB'
 'uhpB' 'csgG' 'glpK' 'hflC' 'galK' 'chiQ' 'rplI' 'mdtB' 'aroA' 'rssB'
 'csgD' 'murP' 'preA' 'dcuR' 'rhaT' 'yibH' 'ompF' 'dusB' 'dsdX' 'ulaC'
 'caiA' 'iceT' 'infB' 'msrB' 'tsx' 'ycjS' 'gntK' 'rseC' 'chbG' 'hupA'
 'gapA' 'fucP' 'rpsU' 'ygbF' 'srlM' 'gntU' 'gatA' 'deoB' 'grcA' 'fucK'
 'yiaJ' 'galM' 'cspC' 'caiF' 'pspB' 'tdcE' 'yhfA' 'thrC' 'glgA' 'rplM'
 'fumB' 'sbmC' 'yjjI' 'dnaG' 'yaiY' 'uidB' 'mglC' 'puuE' 'glcD' 'fis'
 'malT' 'modB' 'trxA' 'araB' 'csgE' 'lsrC' 'udp' 'sdaC' 'nupG' 'tdcD'
 'cyoD' 'ompW' 'bglB' 'hflX' 'uxuR' 'gcvH' 'pgk' 'gltA' 'ynfK' 'hyfB'
 'rbsC' 'yjiY' 'cpdB' 'araA' 'gntT' 'nuoM' 'gpsA' 'puuD' 'entC' 'mdh'
 'glpE' 'envZ' 'gadE' 'ybiT' 'yaeQ' 'rpoS' 'feaR' 'mokB' 'ampD' 'lsrB'
 'yadI' 'focA' 'rhaA' 'glcB' 'hofM' 'glnA' 'fdoG' 'yhfK' 'lsrG' 'mglB'
 'lsrK' 'paaJ' 'rof' 'yhfG' 'rbsA' 'paaH' 'fucA' 'sohB' 'modC' 'glnG'
 'uhpC' 'yhcH' 'prpE' 'gltF' 'bhsA' 'casE' 'gadC' 'pnp' 'pflB' 'trg'
 'ycdZ' 'ycjM' 'lsrR' 'prpR' 'xseA' 'bglF' 'yiaO' 'modA' 'mglA' 'secB'
 'nagB' 'ugpB' 'yaeP' 'fixA' 'mhpR' 'nadC' 'paaE' 'lsrA' 'fecA' 'gltD'
 'araC' 'dctA' 'fumC' 'ribB' 'murQ' 'dsdA' 'glgC' 'malK' 'srlR' 'nuoH'
 'xylA' 'nupC' 'malX' 'flhC' 'treC' 'nrdB' 'cyoC' 'oxyR' 'chbF' 'ilvN'
 'deoA' 'priB' 'glcG' 'garL' 'ompA' 'glpD' 'lldD' 'sodA' 'ppiA' 'caiD'
 'focB' 'aceE' 'pka' 'epd' 'malG' 'mlrA' 'mazF' 'lacY' 'mpl' 'glgS' 'nanS'
 'rpoH' 'grpE' 'puuB' 'rseA' 'srlQ' 'lldR' 'serC' 'glpG' 'sdhA' 'glcE'
 'clpA' 'mdtE' 'osmY' 'deoD' 'yiaL' 'ycjQ' 'xylB' 'marR' 'rpsI' 'arfB'
 'aceF' 'zraS' 'xylR' 'glgP' 'gatB' 'sgbE' 'glpC' 'hyfG' 'nagE' 'crr'
 'ulaA' 'aaeA' 'mdtF' 'lyxK' 'paaF' 'fecD' 'paaD' 'mhpB' 'citF' 'nagA'
 'ytjA' 'ulaD' 'baeS' 'sucB' 'srlA' 'fixB' 'garK' 'ygjV' 'argG' 'dcuA'
 'hfq' 'fucI' 'idnO' 'fixC' 'ampE' 'nuoA' 'tdcG']"
comp_genes,60,"['ydcU' 'uspC' 'yagF' 'ydcJ' 'ydjL' 'yfbM' 'ykgE' 'rutE' 'psuK' 'ghoS'
 'ydcS' 'yagE' 'agaW' 'cra' 'ydcT' 'rihA' 'ygiS' 'phoH' 'aphA' 'nmpC_1'
 'mepS' 'agaV' 'yjdP' 'bax' 'ycaM' 'ybhQ' 'rpiB' 'bssR' 'ytfJ' 'yebK'
 'ygeV']"
both_genes,29,"['uxaC' 'nanA' 'yqeF' 'cytR' 'mtlD' 'mtfA' 'actP' 'fadH' 'sdhC' 'mtlA'
 'galS' 'aspA' 'mtlR' 'kbaZ' 'cstA' 'ansB' 'aldA' 'yjcH' 'tnaB' 'sucD'
 'csiE' 'nanT' 'uidA' 'treB' 'acs' 'dcuB' 'rbsD' 'tnaA' 'aldB']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,281,
comp_ops,48,
both_ops,22,
