,rrnH
Cr_1,-0.006853706788425599
Cr_2,-0.011360792962316364
Cr_3,-0.011340373615833364
Cr_4,-0.01045484084465676
Cr_5,-0.009788732464990835
Cr_6,-0.009980812803650218
Fe_1,0.002058332022081252
Fe_2,-0.008098211452340593
Fe_3,-0.011588160276890214
Fe_4,-0.011225527539115612
Fe_5,-0.005417624480978982
Fe_6,-0.0039555810604240795
Cd_1,0.002292536639715736
Cd_2,0.005514735063341443
Cd_3,0.013893450093143179
Cd_4,0.020881352727395008
Cd_5,0.023125612234103938
Cd_6,0.026538881487418103
Zn_1,-0.0018641702720268265
Zn_2,-0.0043404688108901685
Zn_3,-0.009844715718248569
Zn_4,-0.012723675235109396
Zn_5,-0.01876676827709376
Zn_6,-0.03480632019192965
Cu_1,0.0020611474079361507
Cu_2,0.011138384142717069
Cu_3,0.025291898180272446
Cu_4,0.035682399426839234
Cu_5,0.047995004968330916
Cu_6,0.05189762146969982
Pb_1,0.003966802322300452
Pb_2,0.008999909476433372
Pb_3,0.022224518088285974
Pb_4,0.030869655451123988
Pb_5,0.037564582067913264
Pb_6,0.04533360928133014
