,Value,list
TF,fur,
reg_genes,175,"['oppF' 'ompF' 'ygaQ' 'umpH' 'nagA' 'zinT' 'yrbL' 'feoC' 'fecR' 'sufE'
 'ygaC' 'gmr' 'cyoA' 'fhuE' 'hybC' 'purR' 'garR' 'yciO' 'gltB' 'gltF'
 'yjjZ' 'yagI' 'hybD' 'fecC' 'sucD' 'yjbJ' 'yoeA_1' 'zapB' 'cyoC' 'ydiE'
 'grcA' 'sucB' 'stfQ' 'yddA' 'nohQ' 'katG' 'ynfD' 'acnA' 'entE' 'fecD'
 'hybB' 'oppD' 'hybE' 'gpmA' 'nagB' 'uxuB' 'mntP' 'aspC' 'sufA' 'gspO'
 'rcnB' 'entC' 'soxS' 'adk' 'hybF' 'yhhY' 'map' 'ymgA' 'panM' 'fecB'
 'ybdZ' 'emrD' 'fiu' 'fecE' 'entF' 'garK' 'flhC' 'katE' 'nrdI' 'ymgC'
 'fumB' 'nac' 'sucA' 'fur' 'sufB' 'metH' 'glnK' 'ygfK' 'oppA' 'nrdE'
 'fecA' 'yhaJ' 'efeO' 'sdhB' 'yjhH' 'flhD' 'hybA' 'entD' 'cyoE' 'amtB'
 'entB' 'recN' 'fnr' 'ndh' 'ftnB' 'yjhI' 'sdhC' 'ompR' 'pepD' 'fepE'
 'oppB' 'hybO' 'glnD' 'gltD' 'yddB' 'sufD' 'sufS' 'rcnA' 'fhuB' 'zwf'
 'cirA' 'sdhD' 'fumC' 'gnd' 'entA' 'uxuA' 'mntH' 'fdhE' 'rmuC' 'efeB'
 'garL' 'tfaQ' 'sucC' 'cdh' 'nrdF' 'rpoS' 'ariR' 'yoeA_2' 'ycgZ' 'oppC'
 'argF' 'ybiX' 'adhP' 'garP' 'entH' 'hmp' 'ssnA' 'nagC' 'hybG' 'yqjH'
 'soxR' 'metJ' 'cyoB' 'gdhA' 'pyrC' 'sdhA' 'fepA' 'sufC' 'lpd' 'sdiA'
 'sodA' 'cyoD' 'yjiT']"
comp_genes,27,['gadW' 'ydhV' 'preT' 'bfd' 'ydhY']
both_genes,22,"['fhuC' 'fepB' 'feoA' 'fepC' 'tonB' 'entS' 'ybaN' 'nrdH' 'feoB' 'fepD'
 'exbD' 'fes' 'yncE' 'fepG' 'fecI' 'efeU_2' 'yojI' 'ftnA' 'fhuD' 'fhuA'
 'exbB' 'fhuF']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,102,
comp_ops,20,
both_ops,16,
