,-0.10788134016923077,-0.0899011168076923,-0.07192089344615384,-0.053940670084615366,-0.0359604467230769,-0.017980223361538428,4.163336342344337e-17,0.017980223361538497,0.03596044672307698,0.053940670084615464,0.07192089344615392,0.08990111680769237,0.10788134016923086,0.12586156353076933,0.14384178689230775,0.16182201025384624,0.17980223361538472,0.1977824569769232,0.2157626803384617,0.23374290370000012
thresh,-0.11687145185,0.11687145185,1,,,,,,,,,,,,,,,,,
unreg,0,0,4,30,100,366,790,323,70,17,7,1,1,3,2,3,3,3,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],['SP5448_05130' 'gcdB' 'citM'],['oadA' 'gcdC'],['oadA' 'citX' 'citF'],['citE' 'citD' 'SP5448_05085'],['gcdC' 'oadB' 'SP5448_05100'],[],[]
