,rrfD
Cr_1,0.0002127964145207045
Cr_2,0.00467424805041051
Cr_3,0.012983182260513013
Cr_4,0.01500029201525219
Cr_5,0.018867375467806462
Cr_6,0.027732149836317884
Fe_1,-0.0082241934139304
Fe_2,-0.03493197127287016
Fe_3,-0.05426235201689885
Fe_4,-0.07554604321924913
Fe_5,-0.0859292944618749
Fe_6,-0.0935009192195872
Cd_1,-0.001415957503596443
Cd_2,-0.0014191049947919715
Cd_3,-0.001695022613399569
Cd_4,0.002411278903336421
Cd_5,-0.000471512140496608
Cd_6,0.0021092451654450106
Zn_1,-0.02030042133283623
Zn_2,-0.03192469221437468
Zn_3,-0.028030963428538783
Zn_4,-0.028536390869969706
Zn_5,-0.026366065454933276
Zn_6,-0.02133300789780625
Cu_1,0.0019995340244038763
Cu_2,0.009294896967214078
Cu_3,0.012326443533903705
Cu_4,0.018062244508078303
Cu_5,0.01956294564920376
Cu_6,0.02568858956626791
Pb_1,0.0015691938503641244
Pb_2,0.006783695458723414
Pb_3,0.01306012126259796
Pb_4,0.01614963371803588
Pb_5,0.020623438482221163
Pb_6,0.031250286002316066
