,A,RpoH
R2,,0.0036611462024601638
xmin,,-2.9133666436
xmid,,-0.3669725650575516
xmax,,4.1537368575
ystart,,0.8765734559761665
yend,,3.260886776246966
SRX1125282,-0.8644311006000001,0.3158990847
SRX1125283,0.2682296011,0.2409029769
SRX1125284,0.30306569450000004,0.2002328318
SRX1125285,0.3706058612,0.18854769130000001
SRX1125286,1.4542843047,0.43648593950000003
SRX1125287,2.7746576228,-0.20375324690000002
SRX1125288,0.74941152,-0.2373944422
SRX1125289,0.4618554628,0.0515220279
SRX1125290,-0.12126985030000001,0.009921239
SRX1125291,-0.07991587400000001,0.012858076900000001
SRX1125292,0.6584683968,0.3126937497
SRX1125293,-0.3181464603,0.08921797100000001
SRX1125294,0.1150195806,-0.0785046425
SRX1125295,-0.45975630170000004,0.0397088413
SRX1125296,0.3735795239,-0.0542938684
SRX1125297,-0.0650898091,0.0389594141
SRX1125298,-0.017281476400000002,0.6132251999
SRX1125299,0.6347557334,0.3190932916
SRX5694250,-1.5671956242,-1.8356514133
SRX5694251,-9.6714435783,0.3571557738
SRX5694252,1.5505590428,-1.5155147868999999
SRX5694253,0.7386964087,-0.062338824
SRX5694254,-2.2153020902,-0.9687080964
SRX5694255,-8.1385596679,0.141840136
SRX5694256,-0.9183124232000001,-0.4366690435
SRX5694257,1.193563085,0.0678955502
SRX5694258,-2.7719927531,-0.8022118136
SRX5694259,-16.8187485282,0.0578202198
SRX5694260,2.015055778,-0.057762475300000005
SRX5694261,3.3225397019000003,-0.8281045003
SRX5694262,2.8139100562,-1.1474360118
SRX5694263,3.7195383336,0.19746903600000001
SRX5694264,0.5427274156,0.0143688064
SRX5694265,4.8250729565,-0.2551792164
SRX5694267,0.0676977757,-0.2644815505
SRX5694268,1.1931857231,0.1361183923
SRX5694269,3.9313184502,-0.3873424736
SRX5694271,-0.5530501475,-0.261972339
SRX5694273,-9.3707379533,-0.91358075
SRX5694274,2.266201612,-0.0391343383
SRX5694275,1.6877211412,-0.20660996550000002
SRX5694276,-9.9120386325,-0.4193002769
SRX5694277,3.8781579089,0.41619693090000004
SRX5694278,-4.888452851,-0.0165987565
SRX5694279,-0.7739652547,0.5000765312000001
SRX5694280,1.0760388394,-0.7262293705
SRX5694281,-1.6954169957,0.4167895327
SRX5694282,-7.7536122306,2.2999885315
SRX5694283,3.8875447559,-0.2468824043
SRX5694284,3.7824771377,0.3171122249
SRX5694285,3.8542160977,-0.7260852988000001
SRX5694286,2.9689853294,-0.40756522440000004
SRX5694287,2.1134355143,-0.3986841967
SRX5694288,-0.30290859810000004,0.0609582061
SRX5694289,1.4764501504,-0.5951615989
SRX5694290,0.5171757919000001,0.029012897000000003
SRX5694291,-8.7606938594,0.1938561823
SRX5694292,-0.5920383961,0.3538673027
SRX5694293,0.27815645780000003,-0.7718231807
SRX5694294,-4.4831199404,-0.9064641439000001
SRX5694295,-4.5726472395,0.1301564855
SRX5694296,-0.5277930235,0.1899324622
SRX5694297,-7.3841128174,0.2375834753
SRX5694298,3.9995879997,-0.40835691
SRX5694299,-2.6362877698,-0.462311574
SRX5694300,3.1188668783,-0.7020267388
SRX5694301,-0.3521203384,-0.0926881222
SRX5694302,3.6821825152,0.28227643880000003
SRX5694303,5.0560864671,0.3739748104
SRX5694304,1.4858735449,-0.033527718000000005
SRX5694305,-11.6354896198,-0.3093211296
SRX5694306,1.0295135747,-1.4675839978
SRX5694307,-7.9340550155,2.3288259978
SRX5694308,-0.2790022346,0.1847175178
SRX5694309,-13.7423358012,0.4649255383
SRX5694310,5.3385212342,0.7020411350000001
SRX5694311,-15.8726810464,-0.26464329470000003
SRX5694312,3.2341561525,-0.9772224573
SRX5694313,-3.6179818419,0.0145333586
SRX5694315,3.6916515049000003,-0.14310325570000001
SRX5694317,-1.3925899236000001,0.23107046420000002
SRX5694319,-1.3297685594,-0.0410008835
SRX5694320,-9.5608522817,0.5252350475
SRX5694321,-1.2373514043,-0.107973757
SRX5694322,5.8567426865000005,0.3346456534
SRX5694323,-1.0968711548,-0.09743531230000001
SRX5694324,1.8511313563,0.1936994316
SRX5694325,4.3542596336,-0.0475764913
SRX5694326,0.8248610308000001,-0.2398331518
SRX5694327,4.6448549592,0.5124724820000001
SRX5694328,-0.9929654533000001,-0.27152625810000003
SRX5694329,-9.3802912002,0.0075540726
SRX5694330,2.1838217329,-0.21775219110000002
SRX5694331,0.31487778580000003,-0.2490125017
SRX5694332,-1.1430500427,0.6299179779
SRX5694334,-0.4584598922,0.7002711382
SRX5694335,-9.6038683978,-0.8150696466
SRX5694336,-7.1697682591,-1.1396383345
SRX5694337,0.7655921686,0.3081553167
SRX5694338,1.2754793626,-0.3010621757
SRX5694339,-0.5133053369,0.17836618810000002
SRX5694340,1.8625346583,-0.7752192186
SRX5694341,-12.9402731046,0.6790849333
SRX5694342,-8.0915526628,0.3844396068
SRX5694343,-6.7746522554,-0.6334376965
SRX5694344,-7.2937666495,-0.0033294049
SRX5694345,0.1531859645,-0.24041198460000002
SRX5694346,-2.7524197321,-0.0073119971
SRX5694347,-0.8374062476,-0.3119954113
SRX5694348,0.47519179710000004,-0.1447872485
SRX5694349,-0.23452223430000002,-0.4009168214
SRX5694350,-0.6147815013,-1.076051937
SRX5694351,-6.5681988812,1.2038990858
SRX5694352,1.6371296624,0.1295048554
SRX5694353,-1.6687151218,0.0163467397
SRX5694354,0.4046510662,-0.7404136138
SRX5694356,-0.5276448101,0.3259181239
SRX5694357,-3.6501183914,0.4443284067
SRX5694358,-8.9291335014,-0.0634549752
SRX5694359,0.8665250875,-0.6535238917
SRX5694360,1.8720335812000002,-0.5477702347
SRX5694361,7.4847186567,0.5725411615
SRX5694362,3.6985719893,-0.9100640155
SRX5694363,0.3675244292,0.0516856554
SRX5694364,-14.2912165788,0.41956973610000003
SRX5694365,1.1316344756,-0.5642554128
SRX5694366,0.6979925346,0.4987647624
SRX5694367,4.123764565,0.2928702817
SRX5694368,5.3533720069,0.24232486550000001
SRX5694369,3.5835074177,-0.386645736
SRX5694370,0.22660236520000002,0.016221023
SRX5694371,-11.9205775617,0.3276447138
SRX5694372,2.3326197649,-0.5609114636
SRX5694373,-2.2593950184000002,-0.9318027331000001
SRX5694374,-8.1857052377,-0.40193461020000004
SRX5694375,-0.9326781405000001,0.013568494300000001
SRX5694376,1.3911045502000001,-0.9992458054000001
SRX5694377,-7.7733281627,0.8168041396
SRX5694378,-0.1230541099,-0.4831123894
SRX5694379,2.3823306976,-0.5662988597
SRX5694380,-5.3892977426,0.016381571600000002
SRX5694381,4.0811668722,0.5303951839000001
SRX5694382,-5.5325749944,-0.7028446344
SRX5694383,-0.8968670559,-0.15587261630000002
