,A,ZraR
R2,,0.18957120399337757
xmin,,-2.4873165525
xmid,,1.0760084131924745
xmax,,4.1528566305000005
ystart,,0.28484619236782205
yend,,6.582973542295042
control__wt_glc__1,-0.274011149526329,-0.11979349849999997
control__wt_glc__2,0.2740111495263226,0.11979349849999997
fur__wt_dpd__1,0.3871431176962174,1.0777894475000005
fur__wt_dpd__2,-0.109161218174465,1.1696869775
fur__wt_fe__1,0.4404448322599774,-0.05034920750000005
fur__wt_fe__2,0.2342399397906328,-0.11183544450000003
fur__delfur_dpd__1,0.4421999268106502,0.9946059855000002
fur__delfur_dpd__2,0.0901510636627205,0.8839931195000004
fur__delfur_fe2__1,-0.3442325161778321,0.5520079535000004
fur__delfur_fe2__2,-0.3152975411421566,0.5311670515000002
acid__wt_ph5__1,-0.1161972506514108,0.17904286050000007
acid__wt_ph5__2,-0.2803759600272566,0.4564931645000003
acid__delgadx_ph5__2,0.0959924856856767,0.3602207955000001
acid__delgadw_ph5__1,-0.2008981642088444,0.3103333335000005
acid__delgadw_ph5__2,0.2063971392154408,0.05546844950000018
acid__delgade_ph5__1,-0.0205199860134858,0.3831895385000004
acid__delgade_ph5__2,0.0493518490324531,0.4594769405000001
oxidative__wt_pq__1,-0.4040933592908899,1.1710205645
oxidative__wt_pq__2,-0.6605678567756368,0.9933383565000002
oxidative__deloxyr_pq__1,-0.2547922304675558,1.0859950095000004
oxidative__deloxyr_pq__2,-0.8551895780818777,0.7089857255000003
oxidative__delsoxr_pq__1,-0.5929078485082115,0.9408809465
oxidative__delsoxr_pq__2,-0.4468672741741001,1.0385414545000002
oxidative__delsoxs_pq__1,0.0779774654354089,1.3137889665000002
oxidative__delsoxs_pq__2,0.4260108421897396,1.5182807664999998
nac_ntrc__wt_csn__1,3.950588421506886,1.1275883435000005
nac_ntrc__wt_csn__2,4.170875204065897,1.0451250405000003
nac_ntrc__wt_cytd__1,4.572344500907544,0.6248152065000001
nac_ntrc__wt_cytd__2,3.7194270553436968,0.6780817865000001
nac_ntrc__wt_gln__1,4.959150827475928,0.7300808745
nac_ntrc__wt_gln__2,5.386752463069903,0.8971738375
nac_ntrc__bw_delnac_csn__1,4.0586904292762425,2.2938932045
nac_ntrc__bw_delnac_csn__2,4.774838564165289,2.5470936025
nac_ntrc__bw_delnac_cytd__1,4.25042233482854,1.3659594645000004
nac_ntrc__bw_delnac_cytd__2,4.046967630792584,1.2644529855000002
nac_ntrc__bw_delnac_gln__1,5.032585630456732,1.5011438295
nac_ntrc__bw_delnac_gln__2,4.434435548505355,1.8360132655000003
nac_ntrc__bw_delnac_nh4__1,1.4290661279777672,0.6691066645000001
nac_ntrc__bw_delnac_nh4__2,-0.0449323598327662,0.2825907115000001
misc__wt_no_te__1,-0.0016965462760989,0.11400849350000007
misc__wt_no_te__2,-0.4527993479017572,0.4774200655000005
misc__bw_delcbl__1,-1.4187715426540497,0.5051284225000003
misc__bw_delcbl__2,-0.6826432041160722,0.2080307245000004
misc__bw_delfabr__1,-1.3110520984011014,-0.1381402614999998
misc__bw_delfabr__2,-1.6632129660648516,0.10899376950000006
misc__bw_delfadr__1,-1.455060468211698,0.13782149150000045
misc__bw_delfadr__2,-0.6985178941209436,0.25015298249999995
misc__nitr_031__1,1.638633743451534,0.7985825895
omics__wt_glu__1,-1.6740227372223215,-0.6415226904999998
omics__wt_glu__2,-2.1007668391005394,-0.06906816349999989
omics__wt_gly__1,-2.4548458784144054,0.3534214715000004
omics__wt_gly__2,-1.6161926326838392,0.4956499455000003
omics__wt_thr__1,1.4486440186685272,1.7767058925000003
omics__wt_thr__2,0.4470197170083971,1.2596142145
omics__bw_ac__1,-0.1845462400727604,1.0511390895000003
omics__bw_ac__2,0.4665762525278308,0.8902470355000003
omics__bw_fum__1,1.0882583898615834,1.2615102235000002
omics__bw_fum__2,1.082484750532966,0.9903054735000004
omics__bw_glc__1,0.511958553142169,0.6104010855000004
omics__bw_glc__2,0.4210545790779182,0.6855783565000002
omics__bw_pyr__1,0.9736534779996082,0.9855685625
omics__bw_pyr__2,2.9167339654769333,0.5643266195000001
ompr__wt_nacl__1,-1.2311610565698032,0.2175155765000003
ompr__wt_nacl__2,-0.6377702047109175,0.3833712925000001
ompr__bw_delompr_nacl__1,-1.476121045477625,-0.3412684274999997
ompr__bw_delompr_nacl__2,-1.9293204691485144,-0.09150371849999983
minspan__wt_ade__1,-0.78308943491417,-0.7836084024999999
minspan__wt_glc__2,-0.9897835850601128,-0.11636819249999995
minspan__wt_glc__3,-0.5187523622974479,-0.14731388050000005
minspan__wt_glc__4,-0.6676029092130208,0.13413451350000027
minspan__wt_glc_anaero__1,3.1741809908344174,0.8087432985000005
minspan__wt_glc_anaero__2,0.3657525890419812,1.2284026325000004
minspan__wt_trp__1,3.24392779700938,-0.01430710849999972
minspan__bw_delcra_glc__2,-0.5866084222080458,0.8662137345
minspan__bw_delcra_trp__1,5.191141031924294,0.9400030865000001
minspan__bw_delmntr__1,-0.5204162754602932,0.8687772845000001
minspan__bw_delnac_ade__1,-0.5889990600894758,0.08565860150000004
minspan__bw_delnac_glc__1,0.8926829702163418,-0.05491568449999962
cra_crp__wt_ac__1,-1.690239085079318,0.3639884825000004
cra_crp__wt_ac__2,-2.375702925807972,0.36857148350000013
cra_crp__wt_fru__1,-1.5101108289789409,0.0007586025000003714
cra_crp__wt_fru__2,-1.7282183735572556,0.2014774915000004
cra_crp__delcra_ac__1,0.4125667130119572,1.3176351995000002
cra_crp__delcra_ac__2,0.4999709468541664,1.1303200285000004
cra_crp__delcra_fru__1,0.912557905370166,0.5572880725
cra_crp__delcra_fru__2,0.8721771280478022,0.4967394655000002
cra_crp__delcra_glc__1,0.7834612285588055,0.3034278875000003
cra_crp__delcra_glc__2,1.199353437116189,0.4048731245000004
rpoB__wt_031__1,0.4036807791599294,0.30429573150000033
rpoB__wt_044__1,0.9129017394751148,0.4585172145000001
rpoB__wt_lb__1,-1.5239535820350714,0.15744563350000007
rpoB__wt_lb__2,-1.255235611822906,0.5502712615000003
rpoB__rpoBE546V_031__1,1.508624039954485,0.2911566725000001
rpoB__rpoBE546V_044__1,1.2802808628724476,-0.18166615649999995
rpoB__rpoBE546V_lb__1,-1.119884684249477,0.3127098095000003
rpoB__rpoBE546V_lb__2,-0.2232609089065562,0.5992027455
rpoB__rpoBE546V_glc__1,1.694784815198727,0.7040229215
rpoB__rpoBE672K_glc__1,-0.3946436399457162,-0.4638448934999997
rpoB__rpoBE672K_glc__2,-1.2478466937822354,-0.5586258204999999
rpoB__rpoBE672K_lb__1,1.913068992406768,0.4443052825000002
rpoB__rpoBE672K_lb__2,0.3405173620173282,0.5505176214999999
crp__wt_fru__1,0.3578313914515248,0.2562219514999997
crp__wt_glyc__1,0.3000861760567273,0.5774267415000001
crp__wt_glyc__2,0.3660904045776816,0.2243669885000004
crp__delar1_glyc__1,-1.1123344131338055,1.0810214275
crp__delar1_glyc__2,0.0631625390817944,1.2540350555000002
crp__delar1ar2_glyc__1,-0.0507794389816296,0.4634471685000006
crp__delar1ar2_glyc__2,-0.361275073281301,0.12691622050000007
crp__delar1ar2_glyc__3,0.4502130398692431,0.4050998745000003
crp__delar2_glyc__1,3.741865222773391,0.8698026365000002
crp__delar2_glyc__2,2.9610593464396717,0.7756711815000004
crp__delar2_glyc__3,4.116015407343701,0.7785581955000005
crp__delcrp_fru__1,0.1216952132189605,0.5031777065000003
crp__delcrp_fru__2,-1.5053439928733623,0.6400392655000005
crp__delcrp_fru__3,0.3085536734404963,0.6100283765000003
crp__delcrp_glc__1,0.0387339261823226,0.7781065195000001
crp__delcrp_glc__2,0.4538268831995641,0.5877617655000003
crp__delcrp_glc__3,0.244506963658372,0.6286551635000001
crp__delcrp_glyc__1,0.1505011519500554,0.8874430545000003
crp__delcrp_glyc__2,-0.540346786806933,0.9456287605000004
crp__delcrp_glyc__3,0.2511761735010538,0.9583687435000005
glu__glu_ale3__1,1.7844856701730474,1.2332643075000005
glu__glu_ale4__1,0.5621900159583357,0.6233953805000003
glu__glu_ale5__1,0.5037437197590694,0.3445031175
glu__glu_ale6__1,-0.6654876734734875,-0.016773135499999814
glu__glu_ale8__1,1.5206241879331983,0.5032379415000001
glu__glu_ale9__1,1.5603153588403074,1.0180261305000005
glu__glu_ale10__1,0.4686728119806795,0.8760479475
42c__wt_42c__1,-1.654642346404615,0.3921471945000001
42c__42c_ale1__1,4.614685413605177,1.2440899865
42c__42c_ale2__1,1.5138650672727356,1.2538609575000002
42c__42c_ale3__1,0.2005116235362722,0.8321440375
42c__42c_ale4__1,-0.6233366363946957,1.5199494465000003
42c__42c_ale5__1,-0.0873726300530379,0.33834587650000003
42c__42c_ale6__1,7.21111095006068,1.4394745115000005
42c__42c_ale8__1,2.180183774104894,1.3785485215
42c__42c_ale9__1,-0.1636553947276811,0.14677091850000012
42c__42c_ale10__1,2.6672439969535726,1.2672536505000005
