,Value,list
TF,CueR,
reg_genes,0,[]
comp_genes,43,"['macA' 'xdhB' 'PSPTO_2879' 'PSPTO_RS18825' 'PSPTO_3640' 'fdhD' 'ilvA'
 'guaD' 'syfB' 'PSPTO_2871' 'xdhA' 'macB' 'PSPTO_RS18945' 'PSPTO_2877'
 'PSPTO_3332' 'PSPTO_0203' 'PSPTO_0202' 'syfA' 'bfr' 'PSPTO_RS18950'
 'PSPTO_2873' 'PSPTO_2875' 'PSPTO_0914' 'PSPTO_RS06455' 'PSPTO_5407'
 'PSPTO_0753' 'PSPTO_3641' 'PSPTO_2878' 'PSPTO_2874' 'PSPTO_RS01075'
 'PSPTO_2589' 'PSPTO_2872' 'PSPTO_2876' 'cheA-1' 'PSPTO_4849' 'PSPTO_0912'
 'syrR' 'PSPTO_5408' 'PSPTO_4460' 'cheR-1']"
both_genes,0,['copZ' 'PSPTO_0750' 'cueR']
reg_genes2,3,
comp_genes2,0,
both_genes2,0,
