,A,CueR
R2,,0.13441654767252909
xmin,,-2.0301544969
xmid,,
xmax,,3.4648941117
ystart,,-2.9396347933517575
yend,,18.03773927387763
algU_regulon__empty_vector__1.0,0.47400224150000003,0.32622670400000003
algU_regulon__algU_overexpression__1.0,11.529286459,-0.28117609460000004
algU_regulon__empty_vector__2.0,0.0897418066,-0.2571309775
algU_regulon__algU_overexpression__2.0,11.6656247203,-0.7978886557
algU_regulon__empty_vector__3.0,-0.5637440481,-0.0690957265
algU_regulon__algU_overexpression__3.0,12.4489118828,-0.5562350174
co_culture__c_viol_40__1.0,15.4385309135,3.1024995333
co_culture__c_viol_12.5__1.0,8.4467271335,1.3434738001
co_culture__b_thai_30__1.0,26.3366567417,0.4651705815
co_culture__b_thai_25__1.0,24.1031057689,0.3205804654
co_culture__mono_30__1.0,1.7566936248,0.7150586023000001
co_culture__b_thai_12.5__1.0,20.981496414,0.9291115153
co_culture__b_thai_35__1.0,27.1392990204,0.2828150245
co_culture__mono_25__1.0,2.3278120411,0.6538219137
co_culture__c_viol_30__1.0,18.8602178941,3.2979861871000002
co_culture__c_viol_35__1.0,18.3447461166,3.4164097183
co_culture__b_thai_40__1.0,27.1284762739,0.4196013871
co_culture__b_thai_45__1.0,27.0491801013,0.5634214221
co_culture__b_thai_c_viol_40__1.0,25.2433649456,-0.7410185008
co_culture__mono_35__1.0,0.36937979400000004,1.0025408986
co_culture__c_viol_40__2.0,17.8739818502,3.0796031191
co_culture__b_thai_c_viol_45__1.0,25.5191182038,-0.29757482490000003
co_culture__b_thai_25__2.0,22.7969604003,-0.682811888
co_culture__c_viol_25__1.0,16.2633265104,2.9342188904
co_culture__mono_45__1.0,-4.3183170847,0.0256989514
co_culture__b_thai_c_viol_40__2.0,26.6569200853,-0.11862980390000001
co_culture__mono_30__2.0,-1.014113893,0.0670417658
co_culture__mono_40__1.0,-5.3353956653,0.14668818620000001
co_culture__mono_35__2.0,-4.1051886457,-0.32284468050000004
co_culture__mono_45__2.0,-0.31701396600000004,0.97675416
co_culture__b_thai_c_viol_35__1.0,24.0740423982,-0.9286814841000001
co_culture__mono_40__2.0,-1.5673019079000001,0.7760476052
co_culture__b_thai_c_viol_35__2.0,26.5428245435,-0.0303638991
co_culture__c_viol_12.5__2.0,9.6702087067,1.3988736958999999
co_culture__b_thai_c_viol_45__2.0,26.3505478144,-0.6247244912000001
co_culture__b_thai_c_viol_25__1.0,26.0095749152,0.6875969488
co_culture__b_thai_c_viol_30__1.0,25.4279364306,0.7113542178000001
co_culture__mono_12.5__1.0,-0.3165720023,-0.0430863921
co_culture__mono_25__2.0,0.057288610100000005,0.4224505616
co_culture__c_viol_45__1.0,18.1315389759,3.0696134668
co_culture__c_viol_40__3.0,19.5222865257,3.4648941117
co_culture__c_viol_30__2.0,18.1868233944,3.2049728461
co_culture__c_viol_25__2.0,15.9825243616,2.6169756150000003
co_culture__c_viol_45__2.0,16.2058794896,2.9741851372
co_culture__b_thai_c_viol_30__2.0,27.9031652536,2.7014497950000003
co_culture__b_thai_c_viol_45__3.0,28.0153774562,1.6530802033
co_culture__mono_12.5__2.0,0.48447388480000003,0.1622044457
co_culture__b_thai_c_viol_12.5__1.0,16.0341014144,-0.2940753841
co_culture__b_thai_35__2.0,24.8592494802,1.1473743778
co_culture__b_thai_25__3.0,22.588544241,1.0732480032
co_culture__b_thai_45__2.0,26.3382985678,1.149338786
co_culture__b_thai_30__2.0,24.5488744845,1.2841433096000001
co_culture__c_viol_35__2.0,18.190622147,3.385320098
co_culture__b_thai_40__2.0,26.9818351006,0.9768927212
co_culture__b_thai_12.5__2.0,18.1064040759,-0.4969029776
co_culture__b_thai_c_viol_12.5__2.0,14.8741230107,-0.45126934160000004
co_culture__mono_35__3.0,-2.1374994538,-0.0088558599
co_culture__mono_12.5__3.0,0.20357775520000002,0.0679975394
co_culture__b_thai_c_viol_45__4.0,26.13467325,-0.5309886448
co_culture__b_thai_c_viol_35__3.0,24.120593727,-0.8059520385000001
co_culture__b_thai_c_viol_30__3.0,22.8277642712,-0.6018586211
co_culture__b_thai_c_viol_30__4.0,24.0196730805,-0.8422724428
co_culture__b_thai_c_viol_40__3.0,26.8285348757,-0.5295893763
co_culture__c_viol_40__4.0,8.1977171442,1.1267309129
co_culture__b_thai_35__3.0,27.0541463561,1.2028169957000001
co_culture__b_thai_30__3.0,26.1886528031,1.4122260641
co_culture__b_thai_45__3.0,27.4109394342,0.5870773446
co_culture__mono_25__3.0,-1.4711118106,0.20207221050000002
co_culture__mono_45__3.0,-3.252174853,0.0254763335
co_culture__mono_40__3.0,-1.7109727503,0.09034442250000001
co_culture__c_viol_25__3.0,13.1715022067,1.1900639506
co_culture__c_viol_35__3.0,10.2793984244,1.1363591486
co_culture__mono_25__4.0,1.5842883822,0.5229675278
co_culture__mono_35__4.0,0.4834301681,0.7374135732
co_culture__mono_45__4.0,1.488547147,0.246931895
co_culture__mono_40__4.0,-1.5790665884,0.4392069415
co_culture__b_thai_30__4.0,26.139197058,-0.4999046958
co_culture__b_thai_40__3.0,26.7836546815,0.26209843
co_culture__b_thai_35__4.0,27.3154355871,0.2503471615
co_culture__c_viol_25__4.0,15.0981193728,2.7573610487
co_culture__c_viol_35__4.0,14.8873268429,2.7382757140000002
co_culture__c_viol_12.5__3.0,6.6620626506,0.7918533175
co_culture__c_viol_12.5__4.0,8.2499363348,0.864527887
co_culture__b_thai_12.5__3.0,24.0209789048,1.6553737431000002
co_culture__mono_12.5__4.0,-0.37147963770000003,-0.18711559300000002
co_culture__c_viol_30__3.0,10.8866898772,1.1645401846
co_culture__b_thai_c_viol_35__4.0,27.1858259357,2.913631108
immunity_2__WT_sid2__1.0,1.0211620461,0.1318428025
immunity_2__WT_pad4__1.0,-1.088777134,-0.3566404541
immunity_2__WT_PS__1.0,-2.2777112288,0.0520290625
immunity_2__WT_sid2__2.0,-0.3226283526,0.20621998760000002
immunity_2__WT_pad4__2.0,0.3716089956,-0.2175625445
immunity_2__WT_PS__2.0,-1.8823324814,-0.0380067153
immunity_2__WT_sid2__3.0,-0.6985336935,-0.3380627901
immunity_2__WT_pad4__3.0,1.4679989093999999,0.0645822753
immunity_2__WT_PS__3.0,-1.9010029427,-0.0042497188
immunity_in_vitro__WT_MM__1.0,-0.6134454881,-0.8327899838
immunity_in_vitro__WT_MM__2.0,0.0594188222,0.3654124924
immunity_in_vitro__WT_MM__3.0,-0.3873634007,0.32254155300000004
immunity_in_vitro__WT_MM__4.0,0.9413900666,0.1448359384
immunity_isolated__WT_DE__1.0,0.1247897979,-0.43958102800000004
immunity_isolated__WT_DEPS__1.0,1.011561849,-0.0740754726
immunity_isolated__WT_WT__1.0,-1.6140634820000002,-0.7563348854
immunity_isolated__WT_npr1__1.0,-1.3897785817,-0.3819606044
immunity_isolated__WT_DE__2.0,-0.6197184793,-1.1907069169
immunity_isolated__WT_DEPS__2.0,-0.6892558217,-0.3440441005
immunity_isolated__AvrRpt2_WT__1.0,-2.5200925659999998,-1.455753587
immunity_isolated__AvrRpt2_npr1__1.0,-1.6514478878,-0.9442189675
immunity_isolated__AvrRpt2_DE__1.0,-1.4592987001,0.0334706004
immunity_isolated__AvrRpt2_DEPS__1.0,-0.1986771967,-0.15463900460000002
immunity_isolated__WT_WT__2.0,-1.4041911674,1.3833305143999999
immunity_isolated__WT_pad4__1.0,-1.3124706984,0.2061036879
immunity_isolated__WT_PS__1.0,-1.2216451132000001,0.3229182604
immunity_isolated__AvrRpt2_WT__2.0,-1.5380372817999999,0.7059574749
immunity_isolated__AvrRpt2_sid2__1.0,-1.4655392207,1.0823184556
immunity_isolated__AvrRpt2_pad4__1.0,-1.108224331,0.5006457595
immunity_isolated__AvrRpt2_PS__1.0,-0.0587525946,-0.1183824286
immunity_isolated__WT_WT__3.0,-0.8517171871,-1.9630875279
immunity_isolated__WT_sid2__1.0,0.1320669288,-1.0333995028
immunity_isolated__WT_pad4__2.0,-1.0940727662,-1.3469592007
immunity_isolated__WT_PS__2.0,0.43233350600000003,-0.509566845
immunity_isolated__AvrRpt2_WT__3.0,-2.0669871957,-0.1683779057
immunity_isolated__AvrRpt2_sid2__2.0,-1.8625847034,-2.0301544969
immunity_isolated__AvrRpt2_pad4__2.0,-2.6582909968,-0.4475301229
immunity_isolated__AvrRpt2_PS__2.0,-0.3370138333,-1.6749302013
immunity_isolated__WT_WT__4.0,-0.03399655,0.2203157135
immunity_isolated__WT_npr1__2.0,0.7109480554000001,-0.4849721169
immunity_isolated__AvrRpt2_WT__4.0,-0.16921252550000002,0.2819751591
immunity_isolated__AvrRpt2_npr1__2.0,0.0162025983,0.1942846669
immunity_isolated__AvrRpt2_DE__2.0,0.1788511474,-0.5995798805
immunity_isolated__WT_WT_mock__1.0,-1.0154095808,-0.35709843690000004
immunity_isolated__WT_WT__5.0,0.4166948863,0.1271071739
immunity_isolated__WT_SP__1.0,0.1372392004,-0.30915667820000003
immunity_isolated__AvrRpt2_b2b3__1.0,-2.260285865,-0.7800066053
immunity_isolated__WT_WT__6.0,0.047628027600000004,0.2742959673
immunity_isolated__WT_SP__2.0,-0.6458784121000001,-0.2254425103
immunity_isolated__AvrRpt2_WT__5.0,-0.9605770830000001,-0.314735782
immunity_isolated__AvrRpt2_b2b3__2.0,-1.9472109302,-0.2612645901
immunity_isolated__WT_WT__7.0,-0.1500426802,0.4252434593
immunity_isolated__WT_sid2__2.0,0.8665309247,0.1013360363
immunity_isolated__WT_pad4__3.0,0.3628420271,0.0729682505
immunity_isolated__WT_PS__3.0,0.9005153762,-0.0876072
immunity_isolated__AvrRpt2_WT__6.0,0.09885770390000001,-0.2506364108
immunity_isolated__AvrRpt2_sid2__3.0,-0.0898470636,0.0242210695
immunity_isolated__AvrRpt2_pad4__3.0,0.5150907238,-0.1966113093
immunity_isolated__AvrRpt2_WT__7.0,-2.1915259365,-0.037282154000000005
immunity_isolated__AvrRpt2_npr1__3.0,-1.6568503149,0.6371740652
immunity_isolated__AvrRpt2_DE__3.0,-3.9307175507,0.0137717701
immunity_isolated__AvrRpt2_DEPS__2.0,0.0759953575,-0.0432601189
immunity_isolated__AvrRpt2_RR__1.0,0.2766007641,0.2888664815
immunity_isolated__AvrRpt2_WT__8.0,0.08809538600000001,0.8814187517000001
immunity_isolated__AvrRpt2_RR__2.0,1.9649780229,0.9450461458
immunity_isolated__WT_WT_mock__2.0,1.2683062393,0.22866488340000002
immunity_isolated__WT_WT_SA__1.0,0.2342749167,0.7035665659
immunity_isolated__WT_WT_chitin__1.0,-0.6859769736,1.4578410145
immunity_isolated__WT_WT_SA__2.0,-0.0384295083,0.6978993961000001
immunity_isolated__WT_WT_mock__3.0,0.8699609194,0.0344690267
immunity_isolated__WT_WT_chitin__2.0,-0.5701254975,0.9879696973000001
immunity_isolated__WT_WT_SA__3.0,0.42718954680000004,0.5378392714
immunity_isolated__WT_WT__8.0,1.4698030866,0.24338445490000002
immunity_isolated__AvrRpt2_WT__9.0,-0.8963939852,-0.228860485
immunity_isolated__AvrRpt2_WT__10.0,-0.9703609562000001,-0.6429686244
immunity_isolated__WT_WT__9.0,1.5190102819,0.4250431317
immunity_isolated__AvrRpt2_WT__11.0,-1.2263620465,-0.9331141051
immunity_isolated__WT_WT__10.0,0.6749765654000001,-0.1470947004
