,yhgE
Cr_1,-0.0084784793250574
Cr_2,-0.0033204352469731586
Cr_3,-0.0031638022635300605
Cr_4,0.003474422899799501
Cr_5,0.007891910531268195
Cr_6,0.0011044326670999198
Fe_1,-0.0330716232104956
Fe_2,-0.05319759927692717
Fe_3,-0.04062914566289448
Fe_4,-0.023970616018997026
Fe_5,-0.01646260245755864
Fe_6,0.0010375492710298071
Cd_1,0.000180105694412454
Cd_2,0.007894987455949836
Cd_3,0.01890265467489193
Cd_4,0.03361253753876863
Cd_5,0.03941789105153234
Cd_6,0.05305752344633567
Zn_1,-0.0040242736575333
Zn_2,-0.00977597266684654
Zn_3,-0.0061662799387254275
Zn_4,-0.008872277744813582
Zn_5,-0.005597573367939304
Zn_6,0.0011532562708956842
Cu_1,0.007927474497254512
Cu_2,0.02648580168664593
Cu_3,0.043136567946095966
Cu_4,0.05574371557416282
Cu_5,0.07673708344192078
Cu_6,0.0905198265445412
Pb_1,0.007659216918553437
Pb_2,0.02259621599710634
Pb_3,0.05258513745068577
Pb_4,0.07018520794988622
Pb_5,0.0950682453004208
Pb_6,0.11618305971838158
