,ychH
Cr_1,0.006770225351880831
Cr_2,0.01001673864856377
Cr_3,0.01964141074480125
Cr_4,0.03690318677372738
Cr_5,0.05301991626422528
Cr_6,0.06210085788850365
Fe_1,-0.022518386458039014
Fe_2,-0.02869643428051086
Fe_3,-0.04277414867179805
Fe_4,-0.0534669157723249
Fe_5,-0.05522145472954141
Fe_6,-0.071581355701988
Cd_1,0.005464751113639736
Cd_2,0.008534684518761075
Cd_3,0.006378331160184547
Cd_4,0.005855778239210883
Cd_5,-0.0025160020852766523
Cd_6,-0.0027748462406204442
Zn_1,-0.0538230961709827
Zn_2,-0.02047212335967136
Zn_3,-0.01294779069209983
Zn_4,-0.005676019063878963
Zn_5,-0.02727495710307534
Zn_6,-0.036808874463522684
Cu_1,0.0038810394064717744
Cu_2,0.007608691208887922
Cu_3,0.01060008719924245
Cu_4,0.011728391991460769
Cu_5,0.012322153310569284
Cu_6,0.0222526144570703
Pb_1,-0.0019000144480002129
Pb_2,0.008388696021074213
Pb_3,0.016282328280940797
Pb_4,0.022487187430398025
Pb_5,0.02763997428334267
Pb_6,0.033558717080993505
