,-0.11733944686379605,-0.10616426144819642,-0.09498907603259679,-0.08381389061699716,-0.07263870520139754,-0.06146351978579791,-0.05028833437019828,-0.03911314895459865,-0.027937963538999022,-0.016762778123399394,-0.005587592707799766,0.005587592707799863,0.01676277812339949,0.027937963538999133,0.03911314895459875,0.05028833437019836,0.061463519785798004,0.07263870520139765,0.08381389061699726,0.09498907603259688
thresh,-0.06705111249359774,0.06705111249359774,2,,,,,,,,,,,,,,,,,
unreg,0,1,1,4,4,11,24,37,111,379,1058,1428,587,103,22,7,2,0,0,0
ABUW_1645,1,1,2,7,2,6,6,11,18,17,21,11,7,1,2,2,0,1,0,0
unreg_genes,[],['carO'],['ABUW_3157'],['ABUW_2724' 'ABUW_0673' 'ABUW_3875' 'ABUW_3158'],['ABUW_2965' 'ABUW_2887' 'ABUW_1787' 'ABUW_3045'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
ABUW_1645_genes,['ABUW_1536'],['ABUW_0233'],['ABUW_3147' 'ABUW_0646'],"['ABUW_0328' 'ABUW_2730' 'ABUW_2621' 'ABUW_0053' 'ABUW_2065' 'ABUW_1631'
 'ABUW_3106']",['ABUW_0259' 'ABUW_1466'],['aqpZ' 'ABUW_2554' 'ABUW_2933' 'acnA' 'ABUW_3579' 'ABUW_1227'],['ABUW_2434' 'ABUW_1652' 'ABUW_2060' 'add2' 'ABUW_1128' 'ABUW_3351'],"['ABUW_1473' 'ABUW_1471' 'ABUW_1659' 'ABUW_1903' 'ABUW_2673' 'ABUW_3026'
 'ABUW_2064' 'ABUW_0851' 'ABUW_2149' 'ABUW_2861' 'ABUW_1210']","['ABUW_1693' 'ABUW_1508' 'degP' 'bfr2' 'ABUW_2161' 'ABUW_0116' 'ABUW_2519'
 'cbpA' 'ABUW_3865' 'katE' 'ABUW_0771' 'sndH2' 'ampC' 'ABUW_2639'
 'ABUW_2058' 'ABUW_0628' 'ABUW_1632' 'ABUW_1905']","['ABUW_0944' 'ABUW_1499' 'ABUW_0813' 'ABUW_0651' 'ABUW_0235' 'gst'
 'ABUW_2578' 'ABUW_0118' 'ABUW_3352' 'ABUW_1572' 'ABUW_2455' 'mdfA'
 'ABUW_2686' 'ABUW_1651' 'ABUW_1573' 'ABUW_2442' 'ABUW_2074']","['ABUW_2061' 'ABUW_2684' 'ABUW_1467' 'ABUW_2456' 'ABUW_2832' 'ABUW_2834'
 'ABUW_1660' 'ABUW_2451' 'ABUW_2452' 'ABUW_0181' 'ABUW_1076' 'ABUW_2685'
 'ABUW_1633' 'ABUW_2453' 'ABUW_0068' 'mgh' 'ABUW_0117' 'ABUW_0381'
 'ABUW_2923' 'otsB' 'ABUW_2450']","['fahA' 'ABUW_2696' 'ABUW_0121' 'hppD' 'ABUW_0566' 'ABUW_2818' 'ABUW_2691'
 'ABUW_1287' 'ABUW_0274' 'ABUW_2921' 'ABUW_0810']","['ABUW_0812' 'aadA1' 'ABUW_1282' 'ABUW_1286' 'ABUW_1044' 'ABUW_2435'
 'ABUW_0904']",['ABUW_2408'],['ABUW_3403' 'ABUW_2122'],['ABUW_1988' 'ABUW_0143'],[],['ABUW_1645'],[],[]
