locus,gene_weight,gene_name,gene_product,cog,operon,regulator,ABUW_1645,link
ABUW_1645,0.07745793520000001,ABUW_1645,transcriptional regulator%2C TetR family,Transcription,,ABUW_1645,True,
ABUW_3045,-0.06852899030000001,ABUW_3045,OmpA/MotB domain protein,Cell wall/membrane/envelope biogenesis,,AbaM,False,
ABUW_1466,-0.0725217631,ABUW_1466,hypothetical protein,Function unknown,,"Fur,AbaM,ABUW_1645",True,
ABUW_1787,-0.07321735700000001,ABUW_1787,hypothetical protein,No COG annotation,Op926,,False,
ABUW_2887,-0.0738739472,ABUW_2887,lipoprotein,Cell wall/membrane/envelope biogenesis,Op1496,,False,
ABUW_2965,-0.0761732185,ABUW_2965,hypothetical protein,No COG annotation,,,False,
ABUW_0259,-0.0762112581,ABUW_0259,sulfate transporter,Inorganic ion transport and metabolism,Op143,"AbaM,ABUW_1645",True,
ABUW_3106,-0.078910071,ABUW_3106,peptidoglycan-binding LysM,Function unknown,,ABUW_1645,True,
ABUW_1631,-0.0790941719,ABUW_1631,hypothetical protein,Function unknown,Op840,ABUW_1645,True,
ABUW_2065,-0.08035403940000001,ABUW_2065,hypothetical protein,No COG annotation,Op1071,ABUW_1645,True,
ABUW_0053,-0.080997863,ABUW_0053,UPF0391 membrane protein,Function unknown,Op34,ABUW_1645,True,
ABUW_3158,-0.0822394244,ABUW_3158,hypothetical protein,No COG annotation,,,False,
ABUW_3875,-0.083535544,ABUW_3875,lipoprotein%2C putative,No COG annotation,,,False,
ABUW_2621,-0.0842959933,ABUW_2621,hypothetical protein,No COG annotation,Op1330,ABUW_1645,True,
ABUW_0673,-0.0853751527,ABUW_0673,hypothetical protein,Function unknown,,,False,
ABUW_2724,-0.0857636969,ABUW_2724,hypothetical protein,No COG annotation,Op1394,,False,
ABUW_2730,-0.0886157439,ABUW_2730,OmpA/MotB,Cell wall/membrane/envelope biogenesis,Op1400,"GacA,ABUW_1645",True,
ABUW_0328,-0.08865483140000001,ABUW_0328,hemerythrin,Function unknown,Op180,ABUW_1645,True,
ABUW_0646,-0.0923065359,ABUW_0646,hypothetical protein,Function unknown,Op341,ABUW_1645,True,
ABUW_3147,-0.0971411908,ABUW_3147,hypothetical protein,No COG annotation,,"AbaM,ABUW_1645",True,
ABUW_3157,-0.09923776220000001,ABUW_3157,hypothetical protein,Cell wall/membrane/envelope biogenesis,,,False,
ABUW_0233,-0.10402687440000001,ABUW_0233,hypothetical protein,No COG annotation,,ABUW_1645,True,
ABUW_1015,-0.1080496839,carO,outer membrane protein CarO,Function unknown,,,False,
ABUW_1536,-0.1206825941,ABUW_1536,hypothetical protein,No COG annotation,Op791,ABUW_1645,True,
