,A,ABUW_1645
R2,,0.028580183011605698
xmin,,-2.7793908819
xmid,,
xmax,,7.6622106786
ystart,,-2.0316924765883337
yend,,13.25066094452691
AB0057_PGcoculture__PGAB__1.0,-17.1812174179,0.006508201900000001
AB0057_PGcoculture__PGAB__2.0,-12.013162348,0.1586859168
AB0057_PGcoculture__PGAB__3.0,-25.1318915203,0.2226886721
AB0057_PGcoculture__AB __1.0,0.42240230040000004,0.1149881162
AB0057_PGcoculture__AB __2.0,-0.3347976421,0.19959978720000002
AB0057_PGcoculture__AB __3.0,0.054461527700000005,-0.0094332719
AB0057_PGcoculture__AB __4.0,-0.1420661859,-0.3051546316
AB0057_PGcoculture__ABPG__1.0,7.1227755828,-0.6758850737000001
AB0057_PGcoculture__ABPG__2.0,7.0275067807,-0.6534623868
AB0057_PGcoculture__ABPG__3.0,3.9611486536,0.0247865526
AB0057_PGcoculture__ABPG__4.0,7.0657224798,-0.8490373926
AB5075_AZI__AZI_000__1.0,-0.9974179067000001,0.2859452678
AB5075_AZI__preculture__1.0,4.7664019775,-1.1376098245
AB5075_AZI__preculture__2.0,5.5685034919,-1.4530477331
AB5075_AZI__AZI_040__1.0,28.9196412302,0.0455942687
AB5075_AZI__AZI_028__1.0,1.1081351026,0.5075255922
AB5075_AZI__AZI_003__1.0,1.7076664897,-0.1036537007
AB5075_AZI__AZI_000__2.0,0.9974179067000001,-0.2859452678
AB5075_AZI__AZI_040__2.0,26.974185857,-0.1258317085
AB5075_AZI__AZI_028__2.0,3.1587650479000002,0.0641401021
AB5075_AZI__AZI_003__2.0,-0.1781217829,-0.29629702480000003
AB5075_VIR-O_AV-T__AV-T/vector__1.0,17.2492744265,1.7334509728
AB5075_VIR-O_AV-T__VIR-O/vector__1.0,4.9196487215,0.0310264689
AB5075_VIR-O_AV-T__VIR-O/vector__2.0,-3.2345051236,0.7904198704000001
AB5075_VIR-O_AV-T__VIR-O/vector__3.0,-1.685143598,-0.8214463392
AB5075_VIR-O_AV-T__VIR-O/1645__1.0,15.449913933,7.5086020171
AB5075_VIR-O_AV-T__VIR-O/1645__2.0,18.5139104294,7.4309639364
AB5075_VIR-O_AV-T__VIR-O/1645__3.0,13.3877437891,7.6622106786
AB5075_VIR-O_AV-T__AV-T/vector__2.0,3.6090243353,2.123239949
AB5075_VIR-O_AV-T__AV-T/vector__3.0,11.9377527631,2.460949407
AB5075_VIR-O_LSO__VIR-O__1.0,0.4888492142,-0.2677283258
AB5075_VIR-O_LSO__LSO__1.0,-1.8071660903,-0.7363566629
AB5075_VIR-O_LSO__VIR-O__2.0,-2.6869601110000003,-0.0784677466
AB5075_VIR-O_LSO__LSO__2.0,4.8298596696,-0.7466909604
AB5075_VIR-O_LSO__VIR-O__3.0,2.1981108968,0.3461960724
AB5075_VIR-O_LSO__LSO__3.0,-9.7174423228,-0.48111618840000003
AB5075_Zinc__Control__1.0,1.5706814343,-0.1115285554
AB5075_Zinc__Control__2.0,-6.6545648004,2.7099393593
AB5075_Zinc__Control__3.0,5.0838833661,-2.5984108039000002
AB5075_Zinc__Zinc__1.0,16.9127641955,0.5587447779
AB5075_Zinc__Zinc__2.0,18.321702428000002,1.6661711329000002
AB5075_biofilm+abx__planktonic__1.0,9.7621744365,0.7260823387
