,cbdA
Cr_1,0.0003624704374465089
Cr_2,-0.000861851856046175
Cr_3,-0.006599483114844179
Cr_4,-0.008216673513662972
Cr_5,-0.0022595608543190863
Cr_6,0.0008519187375209918
Fe_1,-0.0188421104009291
Fe_2,-0.04326176035773895
Fe_3,-0.07425512109817492
Fe_4,-0.1163832264547454
Fe_5,-0.15462936750848735
Fe_6,-0.18233866089134346
Cd_1,-0.007977298723128941
Cd_2,-0.01981323313262937
Cd_3,-0.02916052108288348
Cd_4,-0.03747866499475315
Cd_5,-0.04941282512485932
Cd_6,-0.05501913923254044
Zn_1,-0.013813371599027178
Zn_2,-0.02282671309204591
Zn_3,-0.022693431517039155
Zn_4,-0.021650108134430128
Zn_5,-0.0210011578448419
Zn_6,-0.02091623459130429
Cu_1,0.011699216413900159
Cu_2,0.02263418278003466
Cu_3,0.02990420804859568
Cu_4,0.035868678530363816
Cu_5,0.034954640055640834
Cu_6,0.04128431870361245
Pb_1,-0.0016548470642468766
Pb_2,-0.0041413452467315435
Pb_3,-0.009830858405022777
Pb_4,-0.012902594012290242
Pb_5,-0.017919552713850703
Pb_6,-0.018095808727694458
