,metG
Cr_1,-0.0005271879229093753
Cr_2,-0.007650600758769457
Cr_3,-0.005859050852126298
Cr_4,-0.007091169077729319
Cr_5,-0.0058249836284023455
Cr_6,-0.0009945624096537784
Fe_1,-0.02986000072890989
Fe_2,-0.050410782937296235
Fe_3,-0.062358729075466385
Fe_4,-0.0722102928292074
Fe_5,-0.07853801938844268
Fe_6,-0.07709938761414675
Cd_1,0.0028450343545950423
Cd_2,0.009098090940731746
Cd_3,0.009142628909576856
Cd_4,0.005958493067208638
Cd_5,0.004670342506333071
Cd_6,0.010089216495087844
Zn_1,-0.05808066831578933
Zn_2,-0.09194278347051432
Zn_3,-0.09535048927080876
Zn_4,-0.1288491685501957
Zn_5,-0.11948601000446812
Zn_6,-0.13787939582678946
Cu_1,0.005594557759749268
Cu_2,0.01668700868256224
Cu_3,0.022724886886831015
Cu_4,0.021665257516470592
Cu_5,0.02234088870575255
Cu_6,0.02784745622366575
Pb_1,0.014309725698793687
Pb_2,0.02253664492415617
Pb_3,0.03653483621555298
Pb_4,0.04489826412596098
Pb_5,0.04914900417588064
Pb_6,0.0516241901633199
