,yncC
Cr_1,-0.013366059809797123
Cr_2,-0.010846648059910268
Cr_3,-0.006995376461740555
Cr_4,-0.005471913412722165
Cr_5,-0.0038248454371265705
Cr_6,0.003748650450995017
Fe_1,-0.02968113431431002
Fe_2,-0.06310860327824483
Fe_3,-0.09362387064324296
Fe_4,-0.12023561415128925
Fe_5,-0.13528166049635712
Fe_6,-0.1401421799580859
Cd_1,0.004927042198050366
Cd_2,0.009948204873574194
Cd_3,0.017008139463286612
Cd_4,0.019866706141715082
Cd_5,0.01979964881980214
Cd_6,0.020284310113073856
Zn_1,-0.070400004806457
Zn_2,-0.12200658261903527
Zn_3,-0.1505734070940865
Zn_4,-0.1442518968576982
Zn_5,-0.13514529465217234
Zn_6,-0.12114281613777125
Cu_1,0.005582815082003882
Cu_2,0.017006612418551382
Cu_3,0.02973685059830572
Cu_4,0.04229838620868872
Cu_5,0.0537382347563408
Cu_6,0.06693787221340586
Pb_1,0.0018656034678695246
Pb_2,0.009053105834122496
Pb_3,0.020803030758429555
Pb_4,0.029329028683067332
Pb_5,0.04484359520801669
Pb_6,0.052837759620531694
