,A,FruR
R2,,0.7246133581864547
xmin,,-5.7128564456625455
xmid,,
xmax,,3.55381599547872
ystart,,-13.433408788912226
yend,,8.271257399114544
SRX8138083,-1.5217636091721372,-0.32508328898185024
SRX8138084,0.6214279247375836,0.07859767851876409
SRX8138085,0.9003356844345377,0.2464856104630861
SRX8138086,-0.7020208806562077,-0.22148241973518168
SRX8138087,-0.3879973778365965,-0.18210219551897566
SRX8138088,-0.04317508520607959,0.1290316790342141
ERX4111143,-0.10774317724385024,-0.07189855749034191
ERX4111144,-0.5149357015414301,-0.3989593279378969
ERX4111145,0.28712716207632605,0.4117352819925788
ERX4111146,-1.681594188269668,-0.4066255383920905
ERX4111148,0.28665355380125984,0.14382235471164506
ERX4111149,-0.8534066864999325,0.021694458109131176
ERX4111150,-0.5245121346643057,0.3052980766251423
ERX4111151,0.1077431772438508,0.07189855749034191
ERX4111152,0.0009068871919632283,-0.015975302284903847
ERX4111153,0.17920942327318454,0.4308734591066683
ERX4111154,-1.0803127960622645,-0.2048631810309569
ERX4111156,-0.7111308952520932,-0.24352446617479906
ERX4111157,-1.2625608940620479,0.3002208818114198
ERX4111158,-0.6572900664807181,0.3901115887887219
SRX5577041,0.22018696254881687,-0.11207032262298533
SRX5577042,-0.03869077335664473,0.07006707548089519
SRX5577043,-0.15425696473949213,0.08270609898356351
SRX5577044,-0.02723922445267713,-0.04070285184147515
SRX5577045,2.0313260979945995,0.16124720579310114
SRX5577046,2.2106287039371844,0.6963302841834382
SRX5577047,0.93030471098497,0.517671254014628
SRX5577048,1.330514389121467,0.5505185048265924
SRX5577049,0.763568816893848,0.5755065708622684
SRX5577050,2.4283762803527784,0.4334537172183017
SRX5577051,0.5580009127047427,0.6552162834194428
SRX5577052,0.3162999571518696,0.7945808320391743
SRX5577053,-3.5168757799865866,-0.2645988539654027
SRX5577054,-2.698839144872266,-0.6445515103316648
SRX5577055,-3.5239287814671285,-0.049598135341025966
SRX5577056,-3.539585834453112,-0.6476130641101054
SRX5577057,-2.630390183286894,-0.3981281937345385
SRX5577058,-2.865572817326353,-0.6112458107704724
SRX5577059,-3.95005718802172,-1.0490987067271431
SRX5577060,-4.1041756144412815,-0.8918094204178262
SRX5577061,-3.1878209403666915,0.3730232521115831
SRX5577062,-4.4347017126869925,-0.7011801760145246
SRX5577063,-3.757304184696812,-0.2800401467460452
SRX5577064,-3.916716292161373,-0.20036077105670191
SRX5577065,-3.5981046718631133,0.08349874092810873
SRX5577066,-4.5327785403515115,0.10340336367242298
SRX5577067,-3.67322117918724,0.6580281169286949
SRX5577068,-4.109233733227464,0.3920044551642574
SRX533166,-0.4703411944146627,-0.28870682908015777
SRX533171,0.47034119441466704,0.28870682908015777
SRX533786,0.294136071972392,0.19036377575732374
SRX533787,0.3206754712255704,0.08408649011787794
SRX533789,-0.32880692585295257,0.12459865967807016
SRX533791,0.4657815132636769,0.2763390027952841
SRX533792,0.2890607843671653,-0.01853105352355744
SRX533793,-0.009846969033070505,0.1878048975609232
SRX533794,0.4358345064245024,0.09942261049373258
SRX533795,0.8396120568533145,0.15174374496454224
SRX4703435,0.07814875357610282,0.1131470557356522
SRX4703436,-0.03583756050208112,0.2355445330448527
SRX4703437,-0.04231119307403062,-0.34869158878050394
SRX4703438,4.652675315695512,1.6992850364449916
SRX4703439,5.340084149230564,1.9448368938674718
SRX4703440,6.119621729146958,2.0640753611974985
SRX6902408,3.8231427296767633,1.2309361618959516
SRX6902409,1.8174607451496712,0.8058516062968444
SRX6902410,2.6426056500193758,1.218309808855242
SRX6902411,-1.3326320116662311,0.0570637045930873
SRX6902412,0.4513300956149965,0.35890593430080475
SRX6902413,-0.2536761611311085,0.32396035117761546
SRX6902414,-0.10293710177806673,-0.2234791278767956
SRX6902415,0.10293710177806843,0.2234791278767956
SRX5278698,-1.2845823652856387,-0.4970765877000476
SRX5278699,0.8232722972070364,0.3728307578664398
SRX5278700,0.4613100680785937,0.12424582983360775
SRX5278701,0.4420469539590938,0.34915724065297704
SRX5278702,1.744953670753984,0.29532540431228993
SRX5278703,0.4032453873375546,0.6541805182233333
SRX5278704,8.098120634011588,1.0870561729050907
SRX5278705,9.483453936671696,1.1217082222515788
SRX5278707,2.6948096859559394,0.1530305623003918
SRX5278708,1.5011775165488723,-0.009006093759897915
SRX5278709,3.0564994820522053,0.7005157277592895
SRX5278710,-2.375890878444749,-0.1171033433677291
SRX5278711,-3.599823469120419,-0.5619969116690999
SRX5278713,-0.37945849381844027,0.4874760131689375
SRX5278714,-0.3365258672081985,0.5771388961539654
SRX5278715,3.1292071972866893,1.0238267567614725
SRX5278716,-0.3307701414886333,0.35713154063603936
SRX5278717,0.9520484248378992,0.454967369326071
SRX5278718,0.5142040801389434,0.5327964105764775
