locus,gene_weight,gene_name,gene_product,cog,operon,regulator,FruR,link
BSU_14380,0.31445335610172337,fruR,transcriptional regulator (DeoR family),Transcription,Op1130,FruR,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_14380
BSU_14390,0.3011323716865068,fruK,fructose-1-phosphate kinase,Carbohydrate transport and metabolism,Op1130,FruR,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_14390
BSU_14400,0.2803072714833073,fruA,phosphotransferase system (PTS) fructose-specific enzyme IIABC component,Carbohydrate transport and metabolism,Op1130,FruR,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_14400
