locus,gene_weight,gene_name,gene_product,cog,regulator,link
PSPTO_1243,0.1330322863,algD,nucleotide sugar dehydrogenase,Coenzyme transport and metabolism,,
PSPTO_1240,0.1212468914,algK,sel1 repeat family protein,Function unknown,,
PSPTO_1242,0.1139896578,PSPTO_1242,glycosyltransferase family 2 protein,Cell wall/membrane/envelope biogenesis,,
PSPTO_1239,0.1067635752,algE,alginate export family protein,Function unknown,,
PSPTO_1241,0.1061489604,PSPTO_1241,PilZ domain-containing protein,Cell wall/membrane/envelope biogenesis,,
PSPTO_1238,0.0990728652,algG,mannuronan 5-epimerase AlgG,Cell wall/membrane/envelope biogenesis,,
PSPTO_1236,0.09407341870000001,algL,mannuronate-specific alginate lyase,Cell wall/membrane/envelope biogenesis,,
PSPTO_1234,0.09312805980000001,algJ,alginate O-acetylase,Function unknown,,
PSPTO_1235,0.09038977990000001,algI,MBOAT family protein,Cell wall/membrane/envelope biogenesis,,
PSPTO_1237,0.08841204450000001,algX,alginate biosynthesis protein AlgX,Cell wall/membrane/envelope biogenesis,,
PSPTO_0209,0.0882767066,lysA,diaminopimelate decarboxylase,Amino acid transport and metabolism,,
PSPTO_0210,0.0830976036,PSPTO_0210,DMT family transporter,Amino acid transport and metabolism,,
PSPTO_1233,0.08178132020000001,algF,alginate biosynthesis protein AlgF,Cell wall/membrane/envelope biogenesis,,
PSPTO_1232,0.0817449916,algA,mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase,Cell wall/membrane/envelope biogenesis,,
PSPTO_3583,0.0697935452,PSPTO_3583,ankyrin repeat domain-containing protein,Function unknown,,
PSPTO_RS15225,-0.0677726286,PSPTO_RS15225,phenol degradation protein meta,Energy production and conversion,,
PSPTO_0396,-0.068057122,dgcA,dimethylglycine demethylation protein DgcA,Energy production and conversion,,
PSPTO_2950,-0.0705518742,xylcC,benzaldehyde dehydrogenase,Energy production and conversion,,
PSPTO_0097,-0.0763623247,PSPTO_0097,DUF1127 domain-containing protein,Function unknown,PSPTO_0096,
PSPTO_0459,-0.0775090675,soxD-1,sarcosine oxidase subunit delta,Amino acid transport and metabolism,,
