,yjdF
Cr_1,0.002554428000942144
Cr_2,0.0037355268087994335
Cr_3,0.008361299061105516
Cr_4,0.008332270368774939
Cr_5,0.004572200730224157
Cr_6,0.004201141956543658
Fe_1,-0.011550665714407122
Fe_2,-0.029802370965950068
Fe_3,-0.05255397886973316
Fe_4,-0.07374100695953026
Fe_5,-0.08864063963699334
Fe_6,-0.09711622000790554
Cd_1,0.002052395302094522
Cd_2,0.002511978911160261
Cd_3,0.004638740761425276
Cd_4,0.0048566929478080995
Cd_5,0.0035174350361431
Cd_6,0.007968812093305142
Zn_1,-0.004116873271561429
Zn_2,-0.0004004035161310344
Zn_3,0.009162393332013248
Zn_4,0.021622361509021283
Zn_5,0.03364272186584387
Zn_6,0.048472120959204106
Cu_1,-0.0019238231916031386
Cu_2,0.0014453805380881546
Cu_3,0.0025767672308416377
Cu_4,0.0023933858841485626
Cu_5,0.0008327956757900504
Cu_6,0.006712856038991268
Pb_1,-0.0008713241443115363
Pb_2,0.00376836478903534
Pb_3,0.005192328965947827
Pb_4,0.008354965528555584
Pb_5,0.010337593546065385
Pb_6,0.015547189901253797
