,-0.03279739766666666,6.938893903907228e-18,0.03279739766666667,0.06559479533333333,0.098392193,0.1311895906666667,0.1639869883333333,0.19678438599999998,0.22958178366666665,0.2623791813333333,0.295176579,0.32797397666666667,0.3607713743333333,0.39356877199999996,0.42636616966666663,0.4591635673333333,0.491960965,0.5247583626666666,0.5575557603333333,0.590353158
thresh,-0.049196096499999994,0.049196096499999994,2,,,,,,,,,,,,,,,,,
unreg,126,5318,105,7,1,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0
BexR,0,0,0,1,2,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0
unreg_genes,[],[],[],['aprE' 'PA1245' 'PA2429' 'PA0571' 'gcd' 'pagL' 'PA2433'],['PA2699'],['PA2428'],['PA0572' 'PA2431'],['PA2697' 'PA2430'],['PA2696'],[],[],[],['bexR'],[],[],[],[],[],[],[]
BexR_genes,[],[],[],['aprA'],['PA1206' 'kefB'],[],['PA1204' 'PA1205'],['PA2698'],['PA1203'],[],[],[],['PA1202'],[],[],[],[],[],[],[]
