,fhuA
Cr_1,0.002475752567626547
Cr_2,0.008436833063706416
Cr_3,0.018584840685110796
Cr_4,0.03053723657246664
Cr_5,0.04119303816662635
Cr_6,0.0504857729850482
Fe_1,-0.0030496787656597336
Fe_2,-0.016419863087649308
Fe_3,-0.034615481178572216
Fe_4,-0.061544228404632875
Fe_5,-0.09451512969185716
Fe_6,-0.12657147869338414
Cd_1,-0.009039514882431257
Cd_2,-0.014990935014779563
Cd_3,-0.015748267687574605
Cd_4,-0.01649154846184643
Cd_5,-0.021994623402721028
Cd_6,-0.014189334521094272
Zn_1,-0.0011466966798785092
Zn_2,0.004284789590837916
Zn_3,0.01094390072341282
Zn_4,0.01842081886840857
Zn_5,0.026507158585999984
Zn_6,0.03919174262078
Cu_1,0.009110970643315472
Cu_2,0.017404369091892708
Cu_3,0.027650586274499168
Cu_4,0.03763508247671781
Cu_5,0.04292672608683083
Cu_6,0.05099493097982283
Pb_1,0.0030674392310929928
Pb_2,0.00765987321857897
Pb_3,0.009087407779578036
Pb_4,0.013809813189392669
Pb_5,0.021785751181161567
Pb_6,0.0313814034471922
