,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A
0,algU_regulon__empty_vector,0.0,0.8208883960652966,3.0,0.0,0.4577224112,2.0,0.48997494020000004,4.0,-0.9476973514,,,,,,,,,,,,,,,,,,,,,,
1,algU_regulon__algU_overexpression,-37.9225096293,0.3438981744211782,3.0,1.0,-38.3004578914,3.0,-37.8390451554,5.0,-37.6280258411,,,,,,,,,,,,,,,,,,,,,,
2,co_culture__c_viol_40,-0.2695625237,0.8867918239743265,4.0,6.0,-0.0454036187,20.0,-0.3046517898,40.0,0.7059136572,63.0,-1.4341083435,,,,,,,,,,,,,,,,,,,,
3,co_culture__c_viol_12.5,-1.23033832885,0.15452956404926851,4.0,7.0,-1.1170592063,33.0,-1.4557506449,81.0,-1.1450453731,82.0,-1.2034980911,,,,,,,,,,,,,,,,,,,,
4,co_culture__b_thai_30,2.53929742065,4.261889519376146,4.0,8.0,-2.1824347314,51.0,7.196034548,65.0,4.8640688543,76.0,0.2795210117,,,,,,,,,,,,,,,,,,,,
5,co_culture__b_thai_25,-0.5737591685666668,3.293724253234823,3.0,9.0,-2.8989689248,22.0,-2.0176210845,49.0,3.1953125036,,,,,,,,,,,,,,,,,,,,,,
6,co_culture__mono_30,-0.47014711600000003,1.267017207071079,2.0,10.0,-1.366063575,26.0,0.425769343,,,,,,,,,,,,,,,,,,,,,,,,
7,co_culture__b_thai_12.5,-2.6519803124999997,0.9245808428165246,3.0,11.0,-3.0419473137,54.0,-3.3176907402999998,83.0,-1.5963028835,,,,,,,,,,,,,,,,,,,,,,
8,co_culture__b_thai_35,3.51635454805,3.632141879682875,4.0,12.0,-0.12260687220000001,48.0,8.1540600977,64.0,4.4880817324,78.0,1.5458832343000002,,,,,,,,,,,,,,,,,,,,
9,co_culture__mono_25,-0.70031701075,0.8163295978548386,4.0,13.0,-1.6935076276,38.0,0.1338536361,67.0,-1.010851954,72.0,-0.2307620975,,,,,,,,,,,,,,,,,,,,
