,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X
0,U01-Set001__USA300 LAC CA-MHB PreCulture,2.0559312800000002,0.7814121368951056,2.0,0.0,2.6084731009,5.0,1.5033894591,,
1,U01-Set001__USA300 LAC CA-MHB Control,3.0795197123499998,0.8837492201692502,2.0,1.0,2.4546146459,6.0,3.7044247788,,
2,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.15,2.93613077945,0.48593175937786776,2.0,2.0,2.5925251372,7.0,3.2797364217,,
3,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.5 ,2.66416249065,0.39369764335007373,2.0,3.0,2.942548764,8.0,2.3857762173,,
4,U01-Set001__USA300 LAC CA-MHB Nafcillin 1,3.27300729505,0.1539378721094222,2.0,4.0,3.3818578083,9.0,3.1641567818,,
5,U01-Set000__USA300 TCH1516 CA-MHB Control,2.2128170473499997,0.27323481727299237,2.0,10.0,2.4060232395,29.0,2.0196108552,,
6,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.0625,2.39521321235,0.32016726733988643,2.0,11.0,2.1688207665,30.0,2.6216056582,,
7,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.5,2.2361167921000003,1.0314306915232216,2.0,12.0,2.9654484284000002,31.0,1.5067851558,,
8,U01-Set001__USA300 LAC RPMI+10%LB PreCulture,4.0084780935,0.15450835249616543,2.0,13.0,4.1177319973,14.0,3.8992241897,,
9,U01-Set001__USA300 LAC RPMI+10%LB Control,3.9381798397,0.1353955135875614,2.0,15.0,4.0339189255,18.0,3.8424407539,,
10,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.1,4.3685999163,0.07797724497490459,2.0,16.0,4.3134616776,19.0,4.423738155,,
11,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.15,4.55282863795,0.1345534687000824,2.0,17.0,4.4576849678,20.0,4.6479723081,,
12,U01-Set000__USA300 TCH1516 RPMI+10%LB Control,4.1620804097,0.10200801946625736,2.0,21.0,4.0899498474,24.0,4.234210972,,
13,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.031,3.98341974165,0.3809864064631674,2.0,22.0,3.7140216701,25.0,4.2528178132,,
14,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.0625,3.763621987,0.07408625768245823,2.0,23.0,3.7112350918,26.0,3.8160088822000002,,
15,U01-Set000__USA300 TCH1516 CA-MHB PreCulture,2.63929001595,0.05650767552101685,2.0,27.0,2.5993330554,28.0,2.6792469765,,
16,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 1,2.8487596647,0.0987554493294802,2.0,32.0,2.7789290168000003,33.0,2.9185903126,,
17,U01-Set004__USA300 LAC CA-MHB Vancomycin 0,3.53159249505,0.3571630033390562,2.0,34.0,3.7841448767,38.0,3.2790401134,,
18,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.65,3.5500250292,0.11837837003845239,2.0,35.0,3.466318881,39.0,3.6337311774,,
19,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.7,3.08887570295,0.6499217197137284,2.0,36.0,2.6293116477,40.0,3.5484397582,,
20,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.8,3.8465915822500003,0.5695096214100078,2.0,37.0,3.443887467,41.0,4.2492956975,,
21,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0,4.969711618450001,0.055589458191930424,2.0,42.0,5.0090193013,45.0,4.9304039356,,
22,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0.6,5.0768375226,0.08124231463825327,2.0,43.0,5.1342845142,46.0,5.019390531,,
23,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0.8,5.18685286855,0.14918923302217485,2.0,44.0,5.2923455869,47.0,5.0813601502,,
24,U01-Set003__USA300 TCH1516 CA-MHB Control,1.1547099905,0.05078942750306522,2.0,48.0,1.1906235391,52.0,1.1187964419,,
25,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.45,1.5801661472000001,0.18155563405087932,2.0,49.0,1.4517869272000001,53.0,1.7085453672000002,,
26,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.65,1.713621668,0.7316119363639925,2.0,50.0,2.2309494294,54.0,1.1962939066,,
27,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.7,1.7708678238500002,0.13798792607570648,2.0,51.0,1.6732956256,55.0,1.8684400221000002,,
28,ICA-Set001__USA300 LAC RPMI+10%LB Control,3.8575279376999996,0.32079161172710774,2.0,56.0,3.6306940137,57.0,4.0843618617,,
29,ICA-Set001__USA300 LAC RPMI+10%LB 1.5mMIle,3.8262770913999997,0.7999370022315959,2.0,58.0,4.3919179702,59.0,3.2606362126,,
30,ICA-Set001__USA300 LAC RPMI+10%LB 4percentNaCl,3.82469386165,0.3837167853131059,2.0,60.0,3.5533651207,61.0,4.0960226026,,
31,ICA-Set001__USA300 LAC RPMI+10%LB 5.5pH,3.8715194219,0.11806931912023941,2.0,62.0,3.7880318057,63.0,3.9550070380999998,,
32,BK-Set001__USA300 TCH1516 THB 0ug-mL Antibiotic,1.6783470075500002,0.4569218630711483,2.0,64.0,1.3552544597,65.0,2.0014395554,,
33,BK-Set001__USA300 TCH1516 THB 0.25ug-mL Linezolid,2.87729322735,0.10111404493961043,2.0,66.0,2.8057948005,67.0,2.9487916542,,
34,BK-Set001__USA300 TCH1516 THB 2.5 ug-mL Nafcillin,3.26636767255,0.21496846557591998,2.0,68.0,3.1143620128,69.0,3.4183733323,,
35,BK-Set001__USA300 TCH1516 THB 0.5ug-mL Vancomycin,2.26151321115,0.03294096389644875,2.0,70.0,2.2382204322,71.0,2.2848059901,,
36,ICA-Set002__USA300 LAC CA-MHB 25mMNaCHO3,2.71004767385,0.16182184444333936,2.0,72.0,2.5956223503,73.0,2.8244729974,,
37,ICA-Set002__USA300 LAC CA-MHB 2gLglucose,2.89330163235,0.39101967299201473,2.0,74.0,3.1697942947,75.0,2.61680897,,
38,ICA-Set002__USA300 LAC CA-MHB Control,1.82505340695,0.130091787262512,2.0,76.0,1.9170421919,77.0,1.733064622,,
39,ICA-Set002__USA300 LAC RPMI+10%LB 25ugmLadenine,4.43872320655,0.06834554177079846,2.0,78.0,4.3903956105,79.0,4.4870508026,,
40,ICA-Set002__USA300 LAC RPMI+10%LB 25ugmLguanine,2.959351583,0.2552329131919141,2.0,80.0,3.1398285067,81.0,2.7788746593,,
41,ICA-Set002__USA300 SNFM1 CA-MHB Control,2.1227632660499998,0.3947070747669274,2.0,82.0,1.8436632169,83.0,2.4018633152,,
42,ICA-Set002__USA300 SNFM1 RPMI+10%LB Control,3.54146921445,0.13532291811631747,2.0,84.0,3.6371569675,85.0,3.4457814614,,
43,ICA-Set002__USA300 SNFR19 CA-MHB Control,2.6872853175,0.09793945475079482,2.0,86.0,2.7565389701000003,87.0,2.6180316649,,
44,ICA-Set002__USA300 SNFR19 RPMI+10%LB Control,3.58772472115,0.09561582854084243,2.0,88.0,3.6553353219,89.0,3.5201141204,,
45,ICA-Set002__USA300 TCH1516 CA-MHB Control,2.4526706127,0.20449194201950757,2.0,90.0,2.5972682516,91.0,2.3080729738,,
46,ICA-Set002__USA300 TCH1516 RPMI+10%LB Control,2.296505673,0.49156911819842786,2.0,92.0,2.6440975299,93.0,1.9489138161000001,,
47,ICA-Set002__USA300 LAC R10LBnoGlu 1gLmaltose,3.1763337565,0.10970513996461702,2.0,94.0,3.2539070049,96.0,3.0987605081,,
48,ICA-Set002__USA300 LAC CAMHB 0.0195ug/mLMupirocin,3.23920125445,0.14744969660034077,2.0,95.0,3.3434639348,97.0,3.1349385741,,
49,ICA-Set003__USA300 TCH1516 CA-MHB 250nMParaquat,1.5704335193,0.280880581525073,2.0,98.0,1.3718209554,99.0,1.7690460832000001,,
50,ICA-Set003__USA300 TCH1516 CA-MHB 2gLGalactose,1.50758876565,0.12284228232720623,2.0,100.0,1.4207261548,101.0,1.5944513765,,
51,ICA-Set003__USA300 TCH1516 CA-MHB 2gLPyruvate,2.0722099557,0.5589166317098796,2.0,102.0,1.6769962153,103.0,2.4674236961,,
52,ICA-Set003__USA300 TCH1516 CA-MHB Control,2.4697615879,0.019281131878161422,2.0,104.0,2.4561277688,105.0,2.483395407,,
53,ICA-Set003__USA300 TCH1516 CA-MHB StationaryPhase,0.9255986744,0.6800520150479761,2.0,106.0,1.4064680658,107.0,0.44472928300000003,,
