,lpxP
Cr_1,0.01225629660462658
Cr_2,0.028852729037958713
Cr_3,0.04557061735073735
Cr_4,0.06447633618604304
Cr_5,0.07827326040301344
Cr_6,0.08495294367819589
Fe_1,-0.015020652170534774
Fe_2,-0.04252331069089698
Fe_3,-0.07627617291678981
Fe_4,-0.1212025234994473
Fe_5,-0.14935095241829052
Fe_6,-0.16828288776383654
Cd_1,0.0020689514885899023
Cd_2,0.002950560965024433
Cd_3,0.008332173193181209
Cd_4,0.00976758297588415
Cd_5,0.00867131573944928
Cd_6,0.019439974445481917
Zn_1,-0.07187197553305492
Zn_2,-0.13316823383017368
Zn_3,-0.1730282869826845
Zn_4,-0.1943611912279752
Zn_5,-0.22059378455408926
Zn_6,-0.2490109635520223
Cu_1,0.009899506508273271
Cu_2,0.017015922345760406
Cu_3,0.0274661416646982
Cu_4,0.03882183343744308
Cu_5,0.04959523401993867
Cu_6,0.06439323019302923
Pb_1,0.005621164564107689
Pb_2,0.01086963784792565
Pb_3,0.02272633436912538
Pb_4,0.039324274578057684
Pb_5,0.051448931657414924
Pb_6,0.06710222814475003
