,0
gene_id,new_18866_18974
name,S11
operon,<i>Not Available</i>
gene_product,intergenic region
COG,No COG category
regulator,<i>Not Available</i>
link,"<a href=""http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_18866_18974""><i>Subti</i>Wiki</a>"
