,dfp
Cr_1,0.009851980709723391
Cr_2,0.0059686171151388315
Cr_3,-2.793570220381389e-05
Cr_4,0.0061641706251003075
Cr_5,0.010852229191464474
Cr_6,0.003052546757271569
Fe_1,-0.03997601505886061
Fe_2,-0.06038405635839356
Fe_3,-0.07832279377183747
Fe_4,-0.08007958775200934
Fe_5,-0.0676755000177381
Fe_6,-0.0601257792802053
Cd_1,0.009156781592970623
Cd_2,0.017233350875298408
Cd_3,0.024921094999957483
Cd_4,0.03498990054200592
Cd_5,0.041449776441502065
Cd_6,0.049916719117882
Zn_1,0.01791579890071077
Zn_2,0.04920327770507738
Zn_3,0.05255136410455245
Zn_4,0.03253406086229636
Zn_5,0.044264977959156696
Zn_6,0.061459474213008236
Cu_1,-0.000980571620218977
Cu_2,-0.002328153497568919
Cu_3,0.0017055323591223645
Cu_4,0.004116010868239015
Cu_5,0.009142027546206324
Cu_6,0.01749824549962924
Pb_1,0.003043418007451001
Pb_2,0.007352963164769925
Pb_3,0.010453502185375066
Pb_4,0.0086686157937603
Pb_5,0.016566402576284608
Pb_6,0.02744549853177659
