,ppa
Cr_1,0.004147529531207558
Cr_2,0.009050545562780931
Cr_3,0.01190708552766896
Cr_4,0.01723757662890674
Cr_5,0.02278316852452636
Cr_6,0.0240302392070213
Fe_1,0.0011246666905531558
Fe_2,-0.004147157195410694
Fe_3,-0.010161126825566942
Fe_4,-0.0214228102537686
Fe_5,-0.02426485261571095
Fe_6,-0.025389516005880096
Cd_1,0.0038994792634027037
Cd_2,0.007767984134035019
Cd_3,0.014147609736153253
Cd_4,0.019742270772933685
Cd_5,0.023622089806139168
Cd_6,0.029619268116003582
Zn_1,0.0012977370472963595
Zn_2,0.008880689715955755
Zn_3,0.016689144580299943
Zn_4,0.02354587360287106
Zn_5,0.02460888497720662
Zn_6,0.02241480004216539
Cu_1,0.0023056725445268892
Cu_2,-0.00022108625692707432
Cu_3,0.0004652969717296605
Cu_4,-0.0036855118061484963
Cu_5,-0.0023849200960735298
Cu_6,0.003718055489595581
Pb_1,0.0009589426182620668
Pb_2,0.0027114101897791933
Pb_3,0.005783514793497347
Pb_4,0.009564915186083234
Pb_5,0.013306678973521249
Pb_6,0.017967222084995422
