,ppiA
Cr_1,0.0034296747436427647
Cr_2,0.01010629151714674
Cr_3,0.020735294358545747
Cr_4,0.028005322156071936
Cr_5,0.0362522823525542
Cr_6,0.04461873426905339
Fe_1,-0.00851569547160342
Fe_2,-0.018543165576092827
Fe_3,-0.027718847333542827
Fe_4,-0.03999884301250064
Fe_5,-0.04662203614360767
Fe_6,-0.05194725274605698
Cd_1,0.00019912279732417813
Cd_2,-0.0016864107403071686
Cd_3,-0.002690261875620841
Cd_4,-0.006512208088602553
Cd_5,-0.016068972106315492
Cd_6,-0.01596566268612264
Zn_1,-0.003719923057430843
Zn_2,-0.00622858033361523
Zn_3,-0.0037728642506354593
Zn_4,0.005482234872336346
Zn_5,0.01426341889303693
Zn_6,0.022329004580653608
Cu_1,0.006079990113611968
Cu_2,0.012536719104971023
Cu_3,0.02108780155159535
Cu_4,0.02387180547807486
Cu_5,0.025850456871112683
Cu_6,0.030843226833823807
Pb_1,-0.005106800926462993
Pb_2,-0.006585112801332451
Pb_3,-0.004790592116551314
Pb_4,0.0014000286089465856
Pb_5,0.00604970667462501
Pb_6,0.006409322592823662
