,thiM
Cr_1,-0.002408095442997757
Cr_2,-0.002750278017993239
Cr_3,-0.0022996751632974113
Cr_4,-0.008955363887078984
Cr_5,-0.019108581870524718
Cr_6,-0.032175806313675365
Fe_1,-0.00864150943176156
Fe_2,-0.004521455120640005
Fe_3,0.022504798852607102
Fe_4,0.04505560815535956
Fe_5,0.0602631862253931
Fe_6,0.07666626861578953
Cd_1,-0.0011007613302825372
Cd_2,0.0019808498224568997
Cd_3,0.006039643249852512
Cd_4,0.008571041036939422
Cd_5,0.007231346782141364
Cd_6,0.008216304280970869
Zn_1,-0.005125772252747104
Zn_2,0.0017219196248135756
Zn_3,0.0076140327675518205
Zn_4,0.01534874478075455
Zn_5,0.021027579541122138
Zn_6,0.01862720208509649
Cu_1,0.01013946755206828
Cu_2,0.018682374485360042
Cu_3,0.03654831271679045
Cu_4,0.05451391384819239
Cu_5,0.06877691491120401
Cu_6,0.08853434109276137
Pb_1,-0.0035849745687275064
Pb_2,-0.003248351741742123
Pb_3,0.0036020147465017226
Pb_4,0.01612325237966882
Pb_5,0.032626877320559626
Pb_6,0.050285939522589036
