,yeiP
Cr_1,-0.0044856879762493135
Cr_2,-0.0038394928559285
Cr_3,-0.0010708539963168908
Cr_4,-5.3310230648995586e-05
Cr_5,-0.0005457532483175745
Cr_6,-0.003539959290411385
Fe_1,-0.0244031190394028
Fe_2,-0.047569581069203455
Fe_3,-0.06313524108678037
Fe_4,-0.06140779360027278
Fe_5,-0.0569186038735327
Fe_6,-0.05455648129064269
Cd_1,0.0036172561258966092
Cd_2,0.0074563877615063156
Cd_3,0.01248149601281122
Cd_4,0.02152331479423148
Cd_5,0.02798436252852956
Cd_6,0.028666491284060236
Zn_1,0.0016323105459209652
Zn_2,0.0039556028404302696
Zn_3,0.017322015722592347
Zn_4,0.01681559914675087
Zn_5,0.034245992402472385
Zn_6,0.037958036049505664
Cu_1,0.007289899377730447
Cu_2,0.017750912678963518
Cu_3,0.028254288744483488
Cu_4,0.04471072405782421
Cu_5,0.05365904838266791
Cu_6,0.06564108503706705
Pb_1,0.005337810808721643
Pb_2,0.019491125638311943
Pb_3,0.021142817516688568
Pb_4,0.022328039725363125
Pb_5,0.0174382725155516
Pb_6,0.014399416918121771
