,yhjK
Cr_1,0.001938914925623295
Cr_2,0.00237500681504818
Cr_3,0.0032243504353686413
Cr_4,0.0052299959150648645
Cr_5,0.008291667126995203
Cr_6,0.006712485087459503
Fe_1,-0.008308598657721163
Fe_2,-0.01629506309055049
Fe_3,-0.0197572978132526
Fe_4,-0.029594580627632736
Fe_5,-0.035418844764048316
Fe_6,-0.036359425285737636
Cd_1,0.001973661322395659
Cd_2,0.005044579976471057
Cd_3,0.009569819453928374
Cd_4,0.013705883535591566
Cd_5,0.012933454958931357
Cd_6,0.01566524962022583
Zn_1,0.002543482267805837
Zn_2,0.002312860069520086
Zn_3,0.0049044315987902065
Zn_4,0.0073616732173395144
Zn_5,0.010481611801262985
Zn_6,0.012649638265577069
Cu_1,0.004209196995214807
Cu_2,0.008534828117932282
Cu_3,0.011711344054702456
Cu_4,0.013028795709784224
Cu_5,0.014244929370864341
Cu_6,0.01589019458647671
Pb_1,0.00257194629255884
Pb_2,0.006734652953595797
Pb_3,0.011088690756695982
Pb_4,0.017608232987427096
Pb_5,0.02979970101241448
Pb_6,0.04316630989834884
