,galS
Cr_1,-0.0008350801410438447
Cr_2,0.0063788664928830325
Cr_3,0.012666291609816707
Cr_4,0.011947637905922374
Cr_5,0.015453236076386781
Cr_6,0.01471693935923726
Fe_1,-0.01103518511853095
Fe_2,-0.014824697737418084
Fe_3,-0.011186043279087315
Fe_4,-0.011295556298950252
Fe_5,-0.0024825749448409433
Fe_6,0.007595525503597386
Cd_1,-0.0008009626493986358
Cd_2,0.0020436509640516768
Cd_3,0.005484653421031127
Cd_4,0.008738011513943442
Cd_5,0.009193613403090013
Cd_6,0.013133696672178737
Zn_1,-0.0021737933709961247
Zn_2,0.001344234983891392
Zn_3,0.01321924272186866
Zn_4,0.022712281173736838
Zn_5,0.033477607152324465
Zn_6,0.040505720600729545
Cu_1,0.0029196803100631948
Cu_2,0.008065977251296893
Cu_3,0.021993883338206944
Cu_4,0.027728575141749544
Cu_5,0.03611405189726175
Cu_6,0.04119168456794437
Pb_1,0.0032372480295687093
Pb_2,0.004112345044070153
Pb_3,0.0117220373960325
Pb_4,0.021875893713628476
Pb_5,0.03344957046414146
Pb_6,0.039058357055409824
