,-0.03856243116647441,-0.012854143722158137,0.012854143722158137,0.03856243116647441,0.06427071861079069,0.08997900605510696,0.11568729349942324,0.1413955809437395,0.1671038683880558,0.19281215583237205,0.21852044327668835,0.2442287307210046,0.2699370181653209,0.2956453056096372,0.32135359305395345,0.3470618804982697,0.372770167942586,0.3984784553869023,0.42418674283121854,0.4498950302755348
thresh,-0.05141657488863255,0.05141657488863255,5,,,,,,,,,,,,,,,,,
unreg,10,3130,2363,20,5,0,2,2,1,1,1,1,1,1,0,0,0,0,0,0
Dnr,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Anr,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NorR,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dnr and Anr,0,0,5,0,2,2,1,3,1,2,0,0,0,0,0,0,0,0,0,0
unreg_genes,[],[],[],[],['PA1137' 'PA3911' 'PA3913' 'PA3303a' 'PA3912'],[],['nosL' 'PA0526'],['nosY' 'nosF'],['nosD'],['nosR'],['nosZ'],['PA0525'],['norB'],['norC'],[],[],[],[],[],[]
Dnr_genes,[],[],[],[],[],['nirQ'],['PA0522'],['PA0521'],[],[],[],[],[],[],[],[],[],[],[],[]
Anr_genes,[],['hcnA' 'hcnC' 'arcC' 'hcnB' 'ccoN2' 'ccoQ2' 'ccoP2' 'arcB' 'arcD'],['arcA' 'ccoO2'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
NorR_genes,[],[],['PA2665'],[],['ppyR' 'PA2662'],['fhp'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Dnr and Anr_genes,[],[],['moaE' 'moaD' 'moaB1' 'moeA1' 'moaC'],[],['nirN' 'PA0510'],['PA0512' 'nirJ'],['nirL'],['PA0515' 'PA0513' 'nirF'],['nirC'],['nirM' 'nirS'],[],[],[],[],[],[],[],[],[],[]
