,A,Cbl,CysB
R2,,0.28729313310624005,0.07335953343166457
xmin,,-5.7992459005,-4.4330305179
xmid,,-3.9090592304810805,-0.5551333774129547
xmax,,6.917377464,3.9772486522
ystart,,-2.7707178982689973,-0.14769071930108735
yend,,7.3243796689789145,5.40707045548413
SRX1125282,1.5594611578,-0.1393561418,-0.1277888639
SRX1125283,0.2866821658,-0.2292808594,-0.1394835766
SRX1125284,0.12022528560000001,-0.40234666500000005,-0.0189607874
SRX1125285,0.3044716766,-0.2493559049,0.38422940310000003
SRX1125286,1.1624964067999999,1.1026532565,1.3395606398
SRX1125287,2.7193296622,1.6982355362,1.3076250607
SRX1125288,0.6161979991000001,0.116133462,0.1269884803
SRX1125289,-1.2565844682,-0.3007470342,0.4347601231
SRX1125290,0.9296920102,-0.1479372977,0.5324037686
SRX1125291,-0.013594272800000001,0.3240314126,0.9816632017
SRX1125292,1.789805044,1.5017942168,1.5246939245
SRX1125293,3.5673603627,2.3570027969,1.7517866319
SRX1125294,-2.1756591569,0.0232226798,0.0008003836
SRX1125295,0.8473618959,-0.1648078646,0.0789020814
SRX1125296,0.4584798852,-0.1035121708,0.1364204376
SRX1125297,0.59647974,0.1277002471,0.409513528
SRX1125298,1.9030240506,1.5136735266999999,1.2692347137
SRX1125299,2.6952403209,2.0484441207,1.3613592837000001
SRX5694250,0.6252989734000001,0.3753294833,0.6382570215000001
SRX5694251,2.2187039902,0.4812478026,-0.3315318367
SRX5694252,-0.3940059978,-0.1900902002,0.5764907361
SRX5694253,1.4676674647,0.28841007620000003,0.0167750786
SRX5694254,5.4104722793,1.4264608364,-0.750527241
SRX5694255,2.5357422296000003,-0.8086872241,-0.5703463240000001
SRX5694256,-0.3036808494,-0.6369804932,-0.8555429246
SRX5694257,1.2019729767,-0.1825925697,0.13888758980000002
SRX5694258,-0.6895510484,-0.46352351680000003,-0.0554193082
SRX5694259,2.7999109583,-0.13188689080000002,0.2284818394
SRX5694260,0.8407944659000001,-0.34429155650000004,-0.1196698382
SRX5694261,0.4489984598,-0.9756746421,-0.3449798935
SRX5694262,-1.5823421515,-0.7250611104,1.1169475663
SRX5694263,0.5088898619000001,-0.2123474958,-0.41485102150000003
SRX5694264,-0.6717942981,-1.2578991704,0.0507313958
SRX5694265,-0.3420964502,-0.1217130507,-0.7274179601
SRX5694267,1.7932498803999999,0.3505703251,-0.178849966
SRX5694268,0.1125541837,-0.8278968846,-0.4623337051
SRX5694269,0.2330578305,-0.6611669315,-0.0059149482
SRX5694271,-0.6566469513000001,-0.46908011720000004,0.2578506941
SRX5694273,1.2433294152,-1.999819661,-0.9428703262
SRX5694274,-0.09135568370000001,-0.4686370691,-0.22410519610000001
SRX5694275,-0.48167091240000004,-1.0089289327,-0.9213158863
SRX5694276,1.2946784647,-1.3402580326,-0.1420263347
SRX5694277,-0.3924345466,-0.1258367199,0.0499046126
SRX5694278,0.0039385874000000005,-0.8755459670000001,-0.8714365168
SRX5694279,-0.40174811320000003,-0.1373018169,0.050923295300000004
SRX5694280,2.1188204785,-1.3466231615,-1.2156187584
SRX5694281,-0.209106639,-0.3493608593,-0.1479042026
SRX5694282,3.0353978902,1.3842666425,-1.6984036122
SRX5694283,0.1414043305,-0.6204038856,-0.7096658302000001
SRX5694284,-0.0608729853,-1.0034455398,-1.1675629643
SRX5694285,0.3488328617,-0.5188492238,-0.8004458663
SRX5694286,-0.059631225700000005,-0.7384104948,-0.7581876553
SRX5694287,1.239685189,-0.9030397586000001,-0.4149425651
SRX5694288,0.54030824,-0.9768990109000001,0.2654321007
SRX5694289,2.0393029711,-0.4246399428,-0.5713505280000001
SRX5694290,-0.4272969784,-1.0794941016,0.08557556990000001
SRX5694291,3.7990175111999998,-1.6114140306,-0.7039500648
SRX5694292,0.5729621603,-0.2674399294,-0.029483668900000003
SRX5694293,-0.2457237925,-0.4338529037,0.477140883
SRX5694294,1.9824513748,0.0548963772,-0.254379026
SRX5694295,4.8460897217,0.6542113313,-0.6794357417
SRX5694296,1.5382322846,0.2258170967,0.1655219721
SRX5694297,2.4056122174,0.9810147509,1.2737312755999999
SRX5694298,1.5478180666,-0.0079207007,-1.3039878138
SRX5694299,-0.384945476,0.2371862421,-0.3585026432
SRX5694300,-0.9653262727,0.1488704977,-0.4365184614
SRX5694301,0.8921560656,-0.2845680216,-0.1612514081
SRX5694302,0.11022702150000001,-0.6502156187,-0.33153991200000005
SRX5694303,0.0414552381,-0.46045340170000004,-0.6348405651
SRX5694304,-0.300239,-0.182655071,-0.3200119741
SRX5694305,5.4450406897,0.3876458527,-0.4444153279
SRX5694306,-1.12174602,-1.0837144928,1.2585524715
SRX5694307,0.3475549861,0.0485682063,-1.3723799895
SRX5694308,0.06885062410000001,-0.8260014925,-0.4908106057
SRX5694309,1.3069135950000002,-1.094933602,-0.1305869494
SRX5694310,2.2443062651,-0.9119868926,-1.7433654145
SRX5694311,3.3110572199,-0.3039534309,-0.0013947216
SRX5694312,-0.8684127027,-1.6485997430000001,1.4866050731
SRX5694313,2.5717575024,0.2646322478,-0.2640412325
SRX5694315,0.4047604977,-0.9798170987,-0.7181229062000001
SRX5694317,1.6275425635,0.5413943551,0.665466915
SRX5694319,1.123485684,-0.8487910191,0.1864304155
SRX5694320,3.6756472085,-1.3930822561,-1.0224591735
SRX5694321,4.6256958516,-0.2496131738,-0.5937793484
SRX5694322,2.2562352009,-1.2347575675,1.0941587765
SRX5694323,5.8772452412,0.0702572203,-0.46431013060000004
SRX5694324,2.3675944784,0.0809837341,-0.1644565626
SRX5694325,1.7081959854000002,-0.8528945518000001,-1.1875707491
SRX5694326,0.29727166860000004,-0.20189407680000002,-0.9643255846000001
SRX5694327,1.5637824453,-0.742404858,-1.3495922889
SRX5694328,1.5677153575,-0.2308884884,0.4396449687
SRX5694329,4.4499915285,0.2892463156,0.2441485931
SRX5694330,2.2215854971,-0.0456590163,1.3566370926
SRX5694331,-1.4402404642,-0.7325639776,0.39672072
SRX5694332,3.5891982614,0.20369005340000002,-0.0777484673
SRX5694334,1.1514769906,-1.1226297305,-0.4971913264
SRX5694335,7.8117301128,1.6679461079,0.15816996730000002
SRX5694336,-0.4577379869,-1.4583722583,-0.5915403427
SRX5694337,0.0137943269,-1.1770052868,-1.1691689314
SRX5694338,-0.2880081164,-0.6119797189,-0.6111798557
SRX5694339,0.3486200349,-0.7848482855000001,-0.0330035617
SRX5694340,2.0312564874,-0.8392689389,-1.4370782794
SRX5694341,2.0304595404,-0.9074922468000001,-0.2496137599
SRX5694342,4.8815698189,0.4358871493,1.0085594271
SRX5694343,6.6949867691,1.1630715769,-0.0686931306
SRX5694344,1.9180315777999999,0.2486366711,0.145929406
SRX5694345,-0.6692849306,-0.8727981249000001,-0.5271852221000001
SRX5694346,6.3112268007,1.7184117673000001,-0.3546943853
SRX5694347,1.5839511331,0.0635242985,-0.3219547018
SRX5694348,0.8956464419,0.2924722467,0.0925357151
SRX5694349,0.9537709039000001,-0.9509862241,-0.7372962806000001
SRX5694350,2.4307159204,0.5524223573,-1.010036914
SRX5694351,3.7280703196,-0.5211621886,-0.8607983401
SRX5694352,0.7930356898,0.1115559341,-0.9712833334000001
SRX5694353,-0.4219467149,0.2853185278,0.0167715041
SRX5694354,-0.0734600024,-0.8359649308,-0.1513688412
SRX5694356,-1.2144556804,0.0056988105,-0.0061755658
SRX5694357,1.9704037876,0.2261506059,1.0847875129
SRX5694358,4.8303629292,-1.5427578151999999,-1.5934407462
SRX5694359,-0.0891491217,-0.42207315240000004,-0.4270276556
SRX5694360,0.5616778067,-0.5473417622,-0.6473005649
SRX5694361,0.4579244464,-4.0572195152,1.1217405427
SRX5694362,-0.3983271923,-1.6670327689,1.2585416181
SRX5694363,1.6542572449000001,0.4065225985,0.0636813822
SRX5694364,0.0410449379,-1.1217749429,-0.0133337018
SRX5694365,-0.5857448546,0.7178103456,1.5457958743
SRX5694366,-0.9132424977,-1.1156999379,-0.1323879316
SRX5694367,0.5165410403,-1.457733507,-1.1353964961
SRX5694368,-0.7818410265,-0.5665332965000001,-0.7097302112
SRX5694369,-0.23420220890000001,-0.5048178322,-0.5563124988
SRX5694370,-0.5138797454,-0.8587028675,-0.1934761488
SRX5694371,2.072257734,-0.6946647925,-0.19825515130000002
SRX5694372,0.7242992104,-0.45717805570000003,-0.7023073118000001
SRX5694373,4.9232626314,0.6974357958,-0.8911994291
SRX5694374,2.9930743629,-1.2049993271,-2.1928421267
SRX5694375,-0.2523118149,-0.7919063978,-0.5413029418
SRX5694376,-0.1833587815,-0.7174514660000001,0.7945932606
SRX5694377,1.6280048740000002,-1.6142451861,-1.9525625749
SRX5694378,0.4397038744,-1.460492732,-0.5775101681
