,ycdM
Cr_1,0.014217919105337597
Cr_2,0.0188982516216529
Cr_3,0.02846309979455929
Cr_4,0.04006381626154818
Cr_5,0.04811505462729257
Cr_6,0.0504536114411431
Fe_1,-0.0040468266664074005
Fe_2,-0.014832737837993847
Fe_3,-0.022727715794631224
Fe_4,-0.020386074995723397
Fe_5,-0.013772974597831236
Fe_6,0.004662982715790447
Cd_1,0.004839073299688762
Cd_2,-0.0004942842246768461
Cd_3,0.007302602511144042
Cd_4,0.010416365875885056
Cd_5,0.01175421884459343
Cd_6,0.02230890743357051
Zn_1,0.013859083458094251
Zn_2,0.025699172513803176
Zn_3,0.0581124892705598
Zn_4,0.09608952686345848
Zn_5,0.1287728414234112
Zn_6,0.16151559266066126
Cu_1,0.0029619335019547307
Cu_2,0.009336681844758532
Cu_3,0.017993603037885008
Cu_4,0.019828301579188804
Cu_5,0.02303696166245779
Cu_6,0.026214762912717304
Pb_1,0.0032397238341498468
Pb_2,0.0032599258296189698
Pb_3,0.013793366704880485
Pb_4,0.013900639418042
Pb_5,0.02228562074462676
Pb_6,0.02241004168454473
